Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Afghanistan,,12/31/2019,"Rain (with a chance of 1–3 in. of snow) until night, starting again in the afternoon.",rain,0.2,0.0156,0.1515,0.71,rain,48.36,32.13,23.88,0.6,1019.1,0.99,2,32.96,48.36,33.0,65.0
Afghanistan,,1/1/2020,Light rain throughout the day.,rain,0.23,0.0235,0.0985,0.95,rain,40.42,28.9,33.61,0.9,1021.2,0.99,2,32.33,40.42,33.0,65.0
Afghanistan,,1/2/2020,Clear throughout the day.,rain,0.26,0.0016,0.0062,0.25,rain,46.53,28.8,29.86,0.76,1022.7,0.22,3,28.9,46.53,33.0,65.0
Afghanistan,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.3,0.0003,0.0012,0.14,rain,45.77,32.84,26.61,0.69,1021.9,0.32,3,28.8,45.77,33.0,65.0
Afghanistan,,1/4/2020,Light rain throughout the day.,rain,0.33,0.0145,0.031,0.83,rain,40.84,37.25,33.14,0.88,1016.1,1.0,2,32.84,40.84,33.0,65.0
Afghanistan,,1/5/2020,Light rain until afternoon.,rain,0.36,0.0196,0.0442,0.91,rain,44.54,28.1,34.56,0.85,1016.7,0.74,3,34.89,44.54,33.0,65.0
Afghanistan,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0004,0.0051,0.12,rain,44.15,23.66,20.55,0.58,1022.7,0.15,3,28.1,44.15,33.0,65.0
Afghanistan,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.03,,44.69,26.65,10.64,0.41,1025.3,0.0,3,23.66,44.69,33.0,65.0
Afghanistan,,1/8/2020,Clear throughout the day.,clear-day,0.46,0.0,0.0001,0.01,,48.08,24.53,6.56,0.31,1023.1,0.01,3,26.65,48.08,33.0,65.0
Afghanistan,,1/9/2020,Clear throughout the day.,partly-cloudy-day,0.5,0.0001,0.0003,0.02,snow,45.21,30.78,7.94,0.34,1023.4,0.39,3,24.53,45.21,33.0,65.0
Afghanistan,,1/10/2020,Possible light rain (with a chance of 1–2 in. of snow) throughout the day.,rain,0.53,0.0142,0.034,0.75,rain,40.02,31.64,27.14,0.76,1019.9,1.0,2,30.78,40.02,33.0,65.0
Afghanistan,,1/11/2020,Snow (2–5 in.) throughout the day.,rain,0.57,0.0454,0.0954,0.88,rain,37.52,25.23,30.29,0.89,1013.7,0.99,2,28.38,37.52,33.0,65.0
Afghanistan,,1/12/2020,"Foggy until morning, starting again in the evening.",snow,0.61,0.0019,0.0065,0.34,snow,34.74,20.15,22.14,0.78,1019.4,0.76,3,22.92,34.74,33.0,65.0
Afghanistan,,1/13/2020,Overcast throughout the day.,cloudy,0.64,0.0,0.0,0.0,,35.45,23.12,14.7,0.6,1022.7,0.91,2,20.15,35.45,33.0,65.0
Afghanistan,,1/14/2020,Clear throughout the day.,clear-day,0.68,0.0,0.0001,0.03,,39.13,22.36,15.08,0.56,1025.7,0.17,3,23.12,39.13,33.0,65.0
Afghanistan,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0002,0.03,snow,39.47,13.98,12.64,0.51,1026.9,0.46,3,22.36,39.47,33.0,65.0
