Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Albania,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.09,rain,51.43,29.8,23.38,0.52,1027.0,0.14,2,32.8,51.43,41.1533,20.1683
Albania,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.08,rain,48.89,32.28,18.26,0.48,1030.3,0.08,2,29.8,48.89,41.1533,20.1683
Albania,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.01,rain,54.15,36.11,20.5,0.44,1026.6,0.08,1,32.39,54.15,41.1533,20.1683
Albania,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.3,0.0005,0.0039,0.1,rain,52.6,36.67,19.5,0.4,1021.9,0.46,1,36.11,52.6,41.1533,20.1683
Albania,,1/4/2020,Overcast throughout the day.,rain,0.33,0.0019,0.0063,0.34,rain,48.53,31.49,26.38,0.59,1018.2,0.7,1,34.02,48.53,41.1533,20.1683
Albania,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,44.55,29.21,16.67,0.46,1022.3,0.03,1,31.17,44.55,41.1533,20.1683
Albania,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.04,rain,47.03,31.09,11.26,0.37,1024.7,0.0,1,29.21,47.03,41.1533,20.1683
Albania,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.02,,50.75,32.16,9.89,0.31,1028.2,0.0,1,31.09,50.75,41.1533,20.1683
Albania,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0,0.0,,53.52,33.28,17.28,0.4,1028.4,0.04,2,32.16,53.52,41.1533,20.1683
Albania,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.04,rain,54.59,38.4,20.62,0.42,1025.0,0.05,2,33.28,54.59,41.1533,20.1683
Albania,,1/10/2020,Possible light rain in the afternoon and evening.,rain,0.54,0.0067,0.0277,0.66,rain,52.39,41.66,32.77,0.64,1024.3,0.92,1,38.4,52.39,41.1533,20.1683
Albania,,1/11/2020,Light rain in the morning and afternoon.,rain,0.57,0.0045,0.0292,0.75,rain,47.25,39.13,37.33,0.79,1026.1,0.92,1,39.33,47.25,41.1533,20.1683
Albania,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.08,rain,58.0,38.04,37.19,0.73,1027.4,0.29,2,39.13,58.0,41.1533,20.1683
Albania,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,56.71,37.88,37.01,0.74,1026.7,0.1,2,38.04,56.71,41.1533,20.1683
Albania,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.03,,57.21,39.16,33.82,0.65,1027.4,0.12,2,37.88,57.21,41.1533,20.1683
Albania,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0,0.0002,0.06,,60.33,36.23,29.94,0.54,1025.8,0.22,2,38.89,60.33,41.1533,20.1683
Albania,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.04,rain,56.82,36.93,28.56,0.53,1025.6,0.11,2,36.23,56.82,41.1533,20.1683
Albania,,1/17/2020,Clear throughout the day.,clear-day,0.8,0.0,0.0002,0.04,,56.22,38.05,31.51,0.62,1024.0,0.31,2,36.93,56.22,41.1533,20.1683
Albania,,1/18/2020,Mostly cloudy throughout the day.,rain,0.83,0.0004,0.0014,0.25,rain,53.88,35.61,36.71,0.74,1023.6,0.56,1,38.05,53.88,41.1533,20.1683
Albania,,1/19/2020,Clear throughout the day.,clear-day,0.87,0.0,0.0002,0.02,,53.94,32.57,30.65,0.64,1036.0,0.25,2,35.61,53.94,41.1533,20.1683
Albania,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0001,0.0002,0.04,rain,55.48,35.55,19.87,0.42,1039.4,0.07,2,32.57,55.48,41.1533,20.1683
