Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Algeria,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.02,rain,61.83,36.86,23.89,0.4,1031.9,0.0,4,37.67,61.83,28.0339,1.6596
Algeria,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.04,rain,63.83,38.4,20.06,0.37,1031.5,0.0,4,36.86,63.83,28.0339,1.6596
Algeria,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0004,0.02,rain,66.57,38.87,18.72,0.3,1030.7,0.04,4,38.4,66.57,28.0339,1.6596
Algeria,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.3,0.0002,0.0003,0.04,rain,69.74,41.24,15.64,0.27,1027.6,0.58,4,38.87,69.74,28.0339,1.6596
Algeria,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.03,rain,70.31,40.71,16.22,0.26,1024.4,0.26,4,41.24,70.31,28.0339,1.6596
Algeria,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,66.62,44.24,14.25,0.23,1023.0,0.02,4,41.54,66.62,28.0339,1.6596
Algeria,,1/6/2020,Mostly cloudy throughout the day.,cloudy,0.4,0.0001,0.0002,0.05,rain,64.54,43.24,30.99,0.44,1023.6,0.92,3,44.24,64.54,28.0339,1.6596
Algeria,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.01,,67.14,41.1,26.24,0.37,1023.4,0.15,4,43.24,67.14,28.0339,1.6596
Algeria,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0001,0.01,,65.05,38.07,22.72,0.34,1022.3,0.0,4,41.1,65.05,28.0339,1.6596
Algeria,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.03,rain,63.6,38.04,28.52,0.47,1022.6,0.0,4,38.04,63.6,28.0339,1.6596
Algeria,,1/10/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.02,rain,63.63,42.08,29.73,0.48,1022.8,0.39,3,38.04,63.63,28.0339,1.6596
Algeria,,1/11/2020,Clear throughout the day.,partly-cloudy-day,0.57,0.0009,0.0047,0.14,rain,59.81,38.69,35.49,0.59,1024.6,0.37,4,42.08,59.81,28.0339,1.6596
Algeria,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.03,rain,63.21,40.83,30.76,0.5,1025.7,0.05,5,38.69,63.21,28.0339,1.6596
Algeria,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,64.9,42.31,28.91,0.44,1026.0,0.0,5,40.83,64.9,28.0339,1.6596
Algeria,,1/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0001,0.01,,64.3,46.66,30.65,0.44,1026.0,0.59,4,42.31,64.3,28.0339,1.6596
Algeria,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0004,0.03,rain,63.37,43.64,37.56,0.54,1025.2,0.74,4,46.84,63.37,28.0339,1.6596
Algeria,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.05,rain,68.15,43.0,34.82,0.51,1027.7,0.1,5,43.64,68.15,28.0339,1.6596
Algeria,,1/17/2020,Clear throughout the day.,clear-day,0.8,0.0,0.0002,0.02,,71.14,43.43,28.61,0.39,1028.8,0.0,5,43.0,71.14,28.0339,1.6596
Algeria,,1/18/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0,0.0,,73.17,49.78,20.68,0.3,1020.7,0.0,5,43.43,73.17,28.0339,1.6596
Algeria,,1/19/2020,Windy until evening.,wind,0.87,0.0,0.0002,0.01,,73.7,54.06,14.18,0.17,1010.7,0.05,5,49.78,73.7,28.0339,1.6596
Algeria,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0,0.0,0.0,,76.08,55.18,16.77,0.16,1013.5,0.21,5,54.06,76.08,28.0339,1.6596
Algeria,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0,0.0,0.0,,79.47,49.53,20.53,0.18,1016.7,0.0,5,55.18,79.47,28.0339,1.6596
Algeria,,1/22/2020,Clear throughout the day.,clear-day,0.97,0.0,0.0,0.0,,79.01,52.15,25.38,0.25,1019.9,0.13,6,49.53,79.01,28.0339,1.6596
Algeria,,1/23/2020,Overcast throughout the day.,partly-cloudy-day,1.0,0.0001,0.0002,0.02,rain,78.6,53.56,22.32,0.21,1021.7,0.82,4,52.15,78.6,28.0339,1.6596
Algeria,,1/24/2020,Overcast throughout the day.,partly-cloudy-day,0.03,0.0001,0.001,0.06,rain,77.32,57.29,22.44,0.21,1021.4,0.76,4,53.56,77.32,28.0339,1.6596
Algeria,,1/25/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.06,0.0001,0.0003,0.05,rain,81.64,49.81,32.64,0.29,1019.6,0.75,4,57.29,81.64,28.0339,1.6596
Algeria,,1/26/2020,Clear throughout the day.,clear-day,0.09,0.0001,0.0004,0.04,rain,74.26,49.87,24.59,0.26,1021.7,0.31,5,49.81,74.26,28.0339,1.6596
Algeria,,1/27/2020,Clear throughout the day.,clear-day,0.12,0.0,0.0002,0.01,,71.82,44.35,30.42,0.37,1023.5,0.07,5,49.87,71.82,28.0339,1.6596
Algeria,,1/28/2020,Clear throughout the day.,clear-day,0.15,0.0001,0.0003,0.01,rain,71.42,42.5,17.07,0.25,1024.1,0.0,5,44.35,71.42,28.0339,1.6596
