Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Andorra,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.05,rain,59.15,39.76,16.84,0.31,1032.7,0.39,2,40.7,59.15,42.5063,1.5218
Andorra,,1/1/2020,Clear throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.04,rain,61.3,38.97,19.48,0.34,1031.2,0.6,2,39.74,61.3,42.5063,1.5218
Andorra,,1/2/2020,Overcast throughout the day.,cloudy,0.27,0.0001,0.0003,0.02,rain,53.82,32.26,20.12,0.39,1031.6,0.9,1,37.6,53.82,42.5063,1.5218
Andorra,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0003,0.1,rain,53.65,37.12,24.87,0.55,1033.8,0.31,2,32.26,53.65,42.5063,1.5218
Andorra,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.02,rain,58.55,38.27,8.07,0.23,1031.4,0.29,2,37.12,58.55,42.5063,1.5218
Andorra,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,59.96,39.92,19.0,0.34,1029.3,0.0,2,38.27,59.96,42.5063,1.5218
Andorra,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.0002,0.06,rain,58.85,41.27,19.35,0.35,1030.8,0.46,1,39.8,58.85,42.5063,1.5218
Andorra,,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.43,0.0,0.0002,0.04,,57.22,37.62,31.82,0.58,1030.2,0.57,1,40.93,57.22,42.5063,1.5218
Andorra,,1/8/2020,Foggy overnight.,clear-day,0.47,0.0,0.0002,0.02,,55.76,37.38,32.58,0.67,1026.3,0.13,2,37.62,55.76,42.5063,1.5218
Andorra,,1/9/2020,Possible light rain in the morning.,rain,0.5,0.0062,0.0202,0.56,rain,45.93,28.83,29.24,0.67,1026.6,0.67,1,33.98,45.93,42.5063,1.5218
Andorra,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0008,0.03,rain,52.62,34.17,6.39,0.28,1031.9,0.02,2,28.83,52.62,42.5063,1.5218
Andorra,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.04,rain,55.5,34.12,-1.78,0.17,1030.8,0.19,2,34.82,55.5,42.5063,1.5218
Andorra,,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.0001,0.0003,0.02,rain,53.78,34.18,2.49,0.2,1024.2,0.55,2,34.12,53.78,42.5063,1.5218
Andorra,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,55.17,33.77,6.52,0.24,1020.1,0.31,2,34.18,55.17,42.5063,1.5218
Andorra,,1/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0001,0.01,,55.48,31.77,11.62,0.31,1022.3,0.58,2,33.77,55.48,42.5063,1.5218
Andorra,,1/15/2020,Foggy in the evening and overnight.,clear-day,0.72,0.0,0.0002,0.05,,52.55,35.78,26.59,0.6,1026.4,0.16,2,31.77,52.55,42.5063,1.5218
Andorra,,1/16/2020,Possible light rain in the afternoon.,rain,0.76,0.0061,0.0469,0.53,rain,45.92,28.95,30.84,0.75,1027.0,0.67,2,31.38,45.92,42.5063,1.5218
Andorra,,1/17/2020,Foggy overnight.,partly-cloudy-day,0.8,0.0,0.0002,0.04,,48.31,32.4,14.98,0.43,1027.8,0.67,1,28.95,48.31,42.5063,1.5218
Andorra,,1/18/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.83,0.001,0.0031,0.11,rain,37.48,24.44,17.94,0.56,1025.0,0.78,1,26.58,39.21,42.5063,1.5218
Andorra,,1/19/2020,Overcast throughout the day.,cloudy,0.87,0.0002,0.0008,0.09,snow,44.7,32.6,16.79,0.52,1030.8,0.93,1,24.44,44.7,42.5063,1.5218
Andorra,,1/20/2020,Possible light rain overnight.,rain,0.9,0.003,0.0073,0.35,rain,50.03,36.77,27.87,0.62,1027.4,0.95,1,32.6,50.03,42.5063,1.5218
Andorra,,1/21/2020,Rain throughout the day.,rain,0.93,0.057,0.0966,0.88,rain,45.35,37.91,34.91,0.8,1023.0,0.99,1,36.77,45.35,42.5063,1.5218
Andorra,,1/22/2020,Rain in the morning and afternoon.,rain,0.97,0.0429,0.1217,0.87,rain,47.71,29.39,35.44,0.83,1021.6,0.78,1,33.74,47.71,42.5063,1.5218
Andorra,,1/23/2020,Partly cloudy throughout the day.,partly-cloudy-day,1.0,0.0001,0.0002,0.11,rain,49.57,30.66,28.55,0.74,1022.6,0.47,2,29.39,49.57,42.5063,1.5218
Andorra,,1/24/2020,Possible drizzle in the afternoon and evening.,rain,0.03,0.0036,0.01,0.67,rain,47.15,33.86,31.61,0.81,1020.1,0.87,2,30.66,47.15,42.5063,1.5218
Andorra,,1/25/2020,Light rain in the morning and afternoon.,rain,0.06,0.0075,0.0445,0.72,rain,48.21,29.29,32.23,0.8,1020.5,0.94,2,33.82,48.21,42.5063,1.5218
Andorra,,1/26/2020,Foggy in the afternoon and evening.,cloudy,0.09,0.0002,0.0005,0.23,rain,50.18,31.21,29.29,0.74,1020.0,0.92,2,29.29,50.18,42.5063,1.5218
Andorra,,1/27/2020,Foggy in the afternoon.,partly-cloudy-day,0.12,0.0002,0.0009,0.21,rain,52.92,30.05,31.98,0.76,1018.2,0.86,2,31.21,52.92,42.5063,1.5218
Andorra,,1/28/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.15,0.0001,0.0003,0.05,rain,55.57,34.21,24.41,0.55,1021.8,0.61,2,30.05,55.57,42.5063,1.5218
Andorra,,1/29/2020,Foggy in the afternoon.,rain,0.18,0.0004,0.0017,0.28,rain,56.97,41.17,38.01,0.78,1020.6,0.85,2,34.21,56.97,42.5063,1.5218
Andorra,,1/30/2020,Mostly cloudy throughout the day.,rain,0.21,0.0002,0.0006,0.29,rain,58.22,36.98,38.88,0.77,1021.0,0.73,2,39.86,58.22,42.5063,1.5218
Andorra,,1/31/2020,Foggy in the afternoon.,partly-cloudy-day,0.24,0.0003,0.0007,0.19,rain,59.57,39.0,34.82,0.68,1021.4,0.55,2,36.98,59.57,42.5063,1.5218
Andorra,,2/1/2020,Foggy in the afternoon.,partly-cloudy-day,0.27,0.0,0.0002,0.09,,65.0,43.8,36.69,0.64,1026.1,0.67,2,39.0,65.0,42.5063,1.5218
Andorra,,2/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.31,0.0001,0.0003,0.05,rain,64.57,42.39,34.64,0.55,1027.7,0.68,2,43.16,64.57,42.5063,1.5218
Andorra,,2/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.34,0.0002,0.0013,0.14,rain,52.24,30.17,30.52,0.59,1025.8,0.35,3,34.79,52.24,42.5063,1.5218
Andorra,,2/4/2020,Clear throughout the day.,clear-day,0.37,0.0001,0.0003,0.02,rain,54.27,31.98,1.19,0.23,1031.2,0.1,3,30.17,54.27,42.5063,1.5218
Andorra,,2/5/2020,Clear throughout the day.,clear-day,0.41,0.0,0.0,0.0,,54.96,33.82,2.75,0.23,1027.0,0.1,3,31.98,54.96,42.5063,1.5218
Andorra,,2/6/2020,Overcast throughout the day.,partly-cloudy-day,0.44,0.0001,0.0003,0.02,rain,56.26,35.4,4.25,0.24,1024.6,0.8,2,33.82,56.26,42.5063,1.5218
Andorra,,2/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.48,0.0,0.0003,0.02,,55.69,31.31,18.94,0.41,1024.6,0.48,3,35.4,55.69,42.5063,1.5218
Andorra,,2/8/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.52,0.0001,0.0003,0.08,rain,55.2,39.13,31.44,0.69,1027.7,0.62,2,31.31,55.2,42.5063,1.5218
Andorra,,2/9/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.56,0.0001,0.0004,0.1,rain,66.17,40.62,36.82,0.62,1026.0,0.64,3,39.38,66.17,42.5063,1.5218
Andorra,,2/10/2020,Foggy in the evening.,partly-cloudy-day,0.6,0.0001,0.0002,0.06,rain,60.39,35.97,35.85,0.62,1024.4,0.71,3,40.62,60.39,42.5063,1.5218
Andorra,,2/11/2020,Foggy in the evening and overnight.,cloudy,0.64,0.0002,0.0015,0.18,rain,55.18,38.56,34.63,0.7,1024.8,0.98,3,35.97,55.18,42.5063,1.5218
Andorra,,2/12/2020,Foggy in the morning.,partly-cloudy-day,0.67,0.0002,0.0009,0.13,rain,58.56,36.51,37.64,0.73,1020.9,0.77,3,38.56,58.56,42.5063,1.5218
Andorra,,2/13/2020,Clear throughout the day.,clear-day,0.71,0.0001,0.0003,0.05,rain,62.89,38.36,32.09,0.6,1025.2,0.22,3,36.51,62.89,42.5063,1.5218
Andorra,,2/14/2020,Clear throughout the day.,clear-day,0.75,0.0001,0.0003,0.03,rain,64.03,39.45,29.97,0.51,1025.6,0.13,3,38.36,64.03,42.5063,1.5218
Andorra,,2/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.78,0.0001,0.0003,0.05,rain,64.44,40.71,24.78,0.4,1024.6,0.37,3,39.45,64.44,42.5063,1.5218
Andorra,,2/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.81,0.0001,0.0004,0.08,rain,60.5,32.5,31.23,0.51,1025.0,0.68,3,40.71,60.5,42.5063,1.5218
Andorra,,2/17/2020,Clear throughout the day.,partly-cloudy-day,0.85,0.0002,0.0004,0.1,rain,56.45,31.44,26.33,0.57,1031.7,0.4,3,32.5,56.45,42.5063,1.5218
