Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Antigua and Barbuda,,12/31/2019,Possible drizzle in the morning.,rain,0.19,0.0059,0.0107,0.62,rain,83.07,75.56,72.04,0.78,1014.0,0.2,6,75.92,83.07,17.0608,-61.7964
Antigua and Barbuda,,1/1/2020,Possible drizzle in the morning.,rain,0.22,0.0045,0.0152,0.58,rain,82.9,75.39,71.61,0.77,1014.4,0.15,7,75.56,82.9,17.0608,-61.7964
Antigua and Barbuda,,1/2/2020,Possible light rain in the morning.,rain,0.25,0.005,0.0262,0.51,rain,83.06,75.83,71.22,0.77,1015.6,0.09,7,75.39,83.06,17.0608,-61.7964
Antigua and Barbuda,,1/3/2020,Humid throughout the day.,clear-day,0.28,0.0002,0.0009,0.11,rain,82.52,75.95,70.42,0.75,1017.3,0.09,7,75.83,82.52,17.0608,-61.7964
Antigua and Barbuda,,1/4/2020,Humid throughout the day.,clear-day,0.31,0.0008,0.0026,0.2,rain,81.88,75.75,70.61,0.76,1017.0,0.22,7,75.95,81.88,17.0608,-61.7964
Antigua and Barbuda,,1/5/2020,Humid throughout the day.,clear-day,0.34,0.0009,0.004,0.24,rain,81.93,74.87,69.88,0.75,1015.6,0.25,6,75.75,81.93,17.0608,-61.7964
Antigua and Barbuda,,1/6/2020,Clear throughout the day.,clear-day,0.37,0.0004,0.0012,0.15,rain,81.59,74.79,69.02,0.73,1015.3,0.16,7,75.1,81.59,17.0608,-61.7964
Antigua and Barbuda,,1/7/2020,Partly cloudy throughout the day.,rain,0.4,0.0017,0.006999999999999999,0.31,rain,82.25,75.83,70.17,0.76,1016.6,0.35,7,74.79,82.25,17.0608,-61.7964
Antigua and Barbuda,,1/8/2020,Humid throughout the day.,rain,0.44,0.0048,0.0201,0.46,rain,82.99,75.75,71.41,0.78,1018.3,0.32,7,75.83,82.99,17.0608,-61.7964
Antigua and Barbuda,,1/9/2020,Humid throughout the day.,rain,0.47,0.0044,0.0186,0.44,rain,82.64,76.22,70.93,0.76,1019.0,0.38,7,75.75,82.64,17.0608,-61.7964
Antigua and Barbuda,,1/10/2020,Windy throughout the day.,wind,0.51,0.0013,0.0059,0.22,rain,81.68,75.66,69.58,0.73,1019.2,0.27,7,76.68,81.68,17.0608,-61.7964
Antigua and Barbuda,,1/11/2020,Possible drizzle overnight.,rain,0.55,0.0065,0.0274,0.46,rain,81.88,75.4,70.29,0.76,1018.7,0.35,6,75.66,81.88,17.0608,-61.7964
Antigua and Barbuda,,1/12/2020,Possible drizzle in the morning.,rain,0.58,0.0079,0.0162,0.68,rain,81.51,74.38,69.64,0.75,1019.3,0.35,6,75.4,81.51,17.0608,-61.7964
Antigua and Barbuda,,1/13/2020,"Possible light rain until morning, starting again in the evening.",rain,0.62,0.0099,0.0218,0.71,rain,80.25,73.97,68.61,0.75,1018.6,0.45,6,74.38,80.25,17.0608,-61.7964
Antigua and Barbuda,,1/14/2020,Light rain throughout the day.,rain,0.66,0.0265,0.0328,0.98,rain,80.78,74.77,69.76,0.78,1016.8,0.54,5,73.97,80.78,17.0608,-61.7964
Antigua and Barbuda,,1/15/2020,Light rain in the morning.,rain,0.69,0.0124,0.031,0.85,rain,81.2,74.46,68.98,0.74,1016.4,0.36,6,74.77,81.2,17.0608,-61.7964
Antigua and Barbuda,,1/16/2020,Clear throughout the day.,rain,0.73,0.0024,0.0096,0.36,rain,81.51,74.08,69.42,0.76,1017.5,0.25,7,74.46,81.51,17.0608,-61.7964
Antigua and Barbuda,,1/17/2020,Clear throughout the day.,rain,0.77,0.001,0.0036,0.28,rain,81.8,73.68,69.85,0.76,1017.9,0.21,7,74.08,81.8,17.0608,-61.7964
Antigua and Barbuda,,1/18/2020,Possible drizzle in the morning.,rain,0.8,0.0053,0.0128,0.57,rain,80.3,74.44,69.87,0.79,1018.0,0.38,7,73.68,80.3,17.0608,-61.7964
Antigua and Barbuda,,1/19/2020,"Possible light rain until afternoon, starting again overnight.",rain,0.84,0.0089,0.0181,0.64,rain,79.59,74.13,70.37,0.81,1017.5,0.59,6,74.44,79.59,17.0608,-61.7964
Antigua and Barbuda,,1/20/2020,Possible light rain in the morning.,rain,0.87,0.0057,0.0164,0.56,rain,81.6,73.59,69.5,0.76,1016.7,0.41,8,74.13,81.6,17.0608,-61.7964
Antigua and Barbuda,,1/21/2020,Possible light rain in the morning.,rain,0.91,0.0066,0.0276,0.56,rain,80.98,74.07,69.44,0.77,1015.3,0.45,7,73.59,80.98,17.0608,-61.7964
Antigua and Barbuda,,1/22/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.94,0.0008,0.0028,0.18,rain,81.29,75.23,69.03,0.75,1013.9,0.41,7,74.07,81.29,17.0608,-61.7964
