Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Argentina,,12/31/2019,Partly cloudy throughout the day.,rain,0.18,0.0008,0.0144,0.25,rain,84.42,61.78,62.76,0.74,1014.0,0.27,11,64.77,84.42,-38.4161,-63.6167
Argentina,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0007,0.06,rain,85.4,61.1,58.92,0.66,1017.3,0.42,9,61.78,85.4,-38.4161,-63.6167
Argentina,,1/2/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.05,rain,90.84,66.17,52.21,0.49,1017.2,0.15,10,61.1,90.84,-38.4161,-63.6167
Argentina,,1/3/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.04,rain,96.15,73.85,56.21,0.48,1015.7,0.0,13,66.17,96.15,-38.4161,-63.6167
Argentina,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.31,0.0016,0.0085,0.2,rain,88.06,59.69,60.02,0.53,1010.7,0.48,11,67.34,88.06,-38.4161,-63.6167
Argentina,,1/5/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.34,0.0034,0.0353,0.15,rain,88.22,58.34,53.71,0.59,1003.7,0.5,6,59.69,88.22,-38.4161,-63.6167
Argentina,,1/6/2020,Clear throughout the day.,clear-day,0.37,0.0,0.0002,0.02,,78.46,59.01,37.98,0.4,1004.8,0.26,10,58.34,78.46,-38.4161,-63.6167
Argentina,,1/7/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.06,rain,90.23,65.12,34.11,0.25,1003.7,0.05,12,59.01,90.23,-38.4161,-63.6167
Argentina,,1/8/2020,Mostly cloudy throughout the day.,rain,0.44,0.0039,0.0213,0.26,rain,85.87,58.4,49.94,0.42,1001.8,0.59,6,65.12,85.87,-38.4161,-63.6167
Argentina,,1/9/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0001,0.01,,84.12,60.76,30.51,0.23,1008.6,0.09,11,58.4,84.12,-38.4161,-63.6167
Argentina,,1/10/2020,Clear throughout the day.,clear-day,0.51,0.0002,0.0005,0.04,rain,82.73,57.01,33.44,0.27,1011.9,0.08,12,60.76,82.73,-38.4161,-63.6167
Argentina,,1/11/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0004,0.05,rain,93.35,59.79,34.91,0.24,1010.0,0.0,12,57.01,93.35,-38.4161,-63.6167
Argentina,,1/12/2020,Clear throughout the day.,clear-day,0.58,0.0001,0.0003,0.09,rain,94.1,67.81,45.97,0.33,1014.3,0.01,12,59.79,94.1,-38.4161,-63.6167
Argentina,,1/13/2020,Mostly cloudy throughout the day.,rain,0.62,0.0045,0.0172,0.46,rain,80.56,66.82,56.16,0.54,1011.8,0.8,6,67.76,81.06,-38.4161,-63.6167
Argentina,,1/14/2020,Clear throughout the day.,clear-day,0.66,0.0,0.0001,0.01,,98.59,62.25,45.86,0.44,1003.6,0.16,12,66.82,98.59,-38.4161,-63.6167
