Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Armenia,,12/31/2019,Foggy in the afternoon.,partly-cloudy-day,0.21,0.0001,0.0002,0.2,snow,26.05,10.28,11.28,0.82,1016.5,0.59,1,10.77,26.05,40.0691,45.0382
Armenia,,1/1/2020,"Foggy until afternoon, starting again overnight.",snow,0.24,0.0007,0.003,0.34,snow,23.6,10.41,10.91,0.85,1020.7,0.65,1,10.28,23.6,40.0691,45.0382
Armenia,,1/2/2020,Snow (2–5 in.) in the afternoon.,snow,0.27,0.0084,0.018000000000000002,0.55,snow,21.06,13.04,13.28,0.91,1024.8,0.95,1,10.41,21.06,40.0691,45.0382
Armenia,,1/3/2020,Overcast throughout the day.,snow,0.3,0.0018,0.0105,0.36,snow,25.18,12.23,13.69,0.88,1019.6,0.9,1,12.88,25.18,40.0691,45.0382
Armenia,,1/4/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.33,0.0002,0.001,0.18,snow,23.11,7.93,10.34,0.84,1016.3,0.73,1,8.85,23.11,40.0691,45.0382
Armenia,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,23.67,12.9,7.41,0.75,1023.6,0.21,2,7.93,23.67,40.0691,45.0382
Armenia,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.19,snow,26.79,13.04,9.43,0.71,1025.0,0.26,2,12.9,26.79,40.0691,45.0382
Armenia,,1/7/2020,Overcast throughout the day.,partly-cloudy-day,0.43,0.0001,0.0003,0.05,snow,26.13,12.77,9.6,0.7,1019.1,0.58,1,13.04,26.13,40.0691,45.0382
Armenia,,1/8/2020,Foggy in the morning.,snow,0.46,0.0011,0.0053,0.27,snow,24.06,11.31,11.94,0.84,1017.4,0.82,1,12.46,24.06,40.0691,45.0382
Armenia,,1/9/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.5,0.0026,0.0116,0.24,snow,22.49,7.74,8.46,0.8,1020.8,0.52,2,8.43,22.49,40.0691,45.0382
Armenia,,1/10/2020,Clear throughout the day.,partly-cloudy-day,0.53,0.0002,0.0007,0.12,snow,21.41,8.75,4.89,0.73,1024.6,0.35,2,7.74,21.41,40.0691,45.0382
Armenia,,1/11/2020,Foggy in the evening and overnight.,partly-cloudy-day,0.57,0.0025,0.0256,0.17,snow,26.37,14.01,8.17,0.72,1022.4,0.72,2,8.77,26.37,40.0691,45.0382
