Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Aruba,,12/31/2019,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.19,0.0001,0.0003,0.1,rain,85.23,77.52,73.11,0.77,1012.4,0.64,6,78.21,85.23,12.5211,-69.9683
Aruba,,1/1/2020,Humid throughout the day.,clear-day,0.22,0.0001,0.0004,0.12,rain,84.63,76.95,72.05,0.75,1013.0,0.31,8,77.54,84.63,12.5211,-69.9683
Aruba,,1/2/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.25,0.0002,0.0004,0.11,rain,84.54,77.13,71.96,0.75,1013.7,0.33,8,76.95,84.54,12.5211,-69.9683
Aruba,,1/3/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.28,0.0004,0.0012,0.18,rain,84.19,77.14,72.72,0.77,1015.0,0.39,7,77.13,84.19,12.5211,-69.9683
Aruba,,1/4/2020,Humid throughout the day.,clear-day,0.31,0.0002,0.0004,0.15,rain,84.67,76.71,72.07,0.75,1015.3,0.06,9,77.14,84.67,12.5211,-69.9683
Aruba,,1/5/2020,Humid throughout the day.,rain,0.34,0.0017,0.0051,0.32,rain,84.13,75.57,72.78,0.79,1014.6,0.22,8,76.71,84.13,12.5211,-69.9683
Aruba,,1/6/2020,Humid and partly cloudy throughout the day.,rain,0.37,0.0044,0.0099,0.43,rain,83.35,76.74,72.69,0.81,1013.2,0.29,8,75.46,83.35,12.5211,-69.9683
Aruba,,1/7/2020,Humid throughout the day.,rain,0.4,0.0027,0.0224,0.32,rain,84.09,77.22,73.48,0.8,1013.0,0.19,8,76.74,84.09,12.5211,-69.9683
Aruba,,1/8/2020,Humid throughout the day.,rain,0.44,0.0035,0.0091,0.33,rain,84.49,76.61,73.06,0.78,1014.6,0.26,8,77.22,84.49,12.5211,-69.9683
Aruba,,1/9/2020,Humid and partly cloudy throughout the day.,clear-day,0.47,0.0005,0.0018,0.18,rain,83.76,78.14,71.66,0.76,1015.2,0.3,8,76.61,83.76,12.5211,-69.9683
Aruba,,1/10/2020,Windy and humid throughout the day.,rain,0.51,0.0099,0.0334,0.48,rain,83.35,77.65,72.09,0.76,1013.6,0.41,7,78.14,83.35,12.5211,-69.9683
Aruba,,1/11/2020,Windy until evening.,rain,0.55,0.0015,0.0103,0.26,rain,83.68,77.77,71.4,0.74,1014.2,0.15,8,77.65,83.68,12.5211,-69.9683
Aruba,,1/12/2020,Windy starting in the afternoon.,clear-day,0.58,0.001,0.0063,0.2,rain,83.94,76.6,72.02,0.76,1014.8,0.25,8,77.77,83.94,12.5211,-69.9683
Aruba,,1/13/2020,Possible light rain in the morning.,rain,0.62,0.0061,0.0161,0.48,rain,82.89,75.93,71.66,0.77,1014.0,0.41,7,76.6,82.89,12.5211,-69.9683
Aruba,,1/14/2020,Possible drizzle in the morning.,rain,0.66,0.006,0.0123,0.55,rain,82.87,75.63,70.94,0.77,1012.8,0.35,8,75.93,82.87,12.5211,-69.9683
Aruba,,1/15/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.69,0.0008,0.0026,0.24,rain,83.78,77.22,72.8,0.8,1011.8,0.38,7,75.63,83.78,12.5211,-69.9683
Aruba,,1/16/2020,Possible light rain in the morning.,rain,0.73,0.0054,0.0163,0.49,rain,84.26,76.73,73.85,0.8,1013.1,0.21,8,77.22,84.26,12.5211,-69.9683
Aruba,,1/17/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.77,0.0005,0.0013,0.17,rain,84.09,76.54,72.94,0.79,1013.8,0.4,8,76.73,84.09,12.5211,-69.9683
Aruba,,1/18/2020,Windy in the afternoon and evening.,partly-cloudy-day,0.8,0.0009,0.0033,0.24,rain,83.88,76.85,72.27,0.78,1013.9,0.4,8,76.54,83.88,12.5211,-69.9683
Aruba,,1/19/2020,Windy in the evening.,partly-cloudy-day,0.84,0.0001,0.0006,0.11,rain,84.34,76.85,72.19,0.76,1013.1,0.41,8,76.85,84.34,12.5211,-69.9683
Aruba,,1/20/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.87,0.0004,0.0013,0.16,rain,84.31,77.02,73.52,0.79,1012.4,0.39,8,76.85,84.31,12.5211,-69.9683
Aruba,,1/21/2020,Humid and partly cloudy throughout the day.,rain,0.91,0.0024,0.0106,0.33,rain,84.24,76.74,73.61,0.8,1011.7,0.55,8,77.02,84.24,12.5211,-69.9683
Aruba,,1/22/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.94,0.0002,0.0003,0.14,rain,83.2,75.63,73.05,0.8,1011.5,0.67,6,76.74,83.2,12.5211,-69.9683
Aruba,,1/23/2020,Humid throughout the day.,clear-day,0.97,0.0004,0.0018,0.19,rain,83.43,75.32,72.04,0.79,1011.8,0.27,9,75.63,83.43,12.5211,-69.9683
Aruba,,1/24/2020,Humid throughout the day.,clear-day,0.0,0.0002,0.0004,0.11,rain,83.74,75.99,71.17,0.76,1013.2,0.24,8,75.32,83.74,12.5211,-69.9683
Aruba,,1/25/2020,Humid throughout the day.,clear-day,0.04,0.0001,0.0004,0.11,rain,83.82,76.19,71.58,0.76,1014.3,0.25,10,75.99,83.82,12.5211,-69.9683
Aruba,,1/26/2020,Humid and partly cloudy throughout the day.,rain,0.07,0.0007,0.0019,0.28,rain,82.91,76.14,73.69,0.82,1014.2,0.36,8,76.19,82.91,12.5211,-69.9683
Aruba,,1/27/2020,Humid throughout the day.,clear-day,0.1,0.0002,0.0006,0.16,rain,84.02,76.36,73.22,0.8,1013.9,0.18,10,76.14,84.02,12.5211,-69.9683
Aruba,,1/28/2020,Humid throughout the day.,clear-day,0.13,0.0003,0.001,0.17,rain,83.94,76.81,72.79,0.78,1013.5,0.24,9,76.36,83.94,12.5211,-69.9683
Aruba,,1/29/2020,Humid throughout the day.,clear-day,0.16,0.0002,0.0004,0.13,rain,84.36,76.41,72.21,0.77,1013.9,0.21,9,76.81,84.36,12.5211,-69.9683
