Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Australia,Australian Capital Territory,12/31/2019,Clear throughout the day.,clear-day,0.2,0.0005,0.0122,0.11,rain,92.24,48.86,42.27,0.53,1013.5,0.23,13,52.95,92.24,-35.4735,149.0124
Australia,Australian Capital Territory,1/1/2020,Clear throughout the day.,clear-day,0.23,0.0001,0.0003,0.04,rain,90.4,49.83,47.69,0.56,1017.3,0.01,13,48.86,90.4,-35.4735,149.0124
Australia,Australian Capital Territory,1/2/2020,Clear throughout the day.,clear-day,0.26,0.0,0.0,0.0,,94.53,62.3,51.48,0.57,1014.2,0.09,13,49.83,94.53,-35.4735,149.0124
Australia,Australian Capital Territory,1/3/2020,Clear throughout the day.,clear-day,0.29,0.0003,0.0017,0.09,rain,104.66,61.24,47.74,0.4,1008.4,0.08,13,62.3,104.66,-35.4735,149.0124
Australia,Australian Capital Territory,1/4/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.32,0.0004,0.0024,0.11,rain,80.83,54.63,54.79,0.64,1016.9,0.77,9,57.5,80.83,-35.4735,149.0124
Australia,Australian Capital Territory,1/5/2020,Possible light rain in the afternoon and evening.,rain,0.35,0.0048,0.0169,0.64,rain,73.38,58.48,56.41,0.82,1018.5,1.0,5,54.63,73.38,-35.4735,149.0124
Australia,Australian Capital Territory,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.38,0.0013,0.0081,0.17,rain,89.59,60.02,59.96,0.67,1014.3,0.6,10,58.48,89.59,-35.4735,149.0124
Australia,Australian Capital Territory,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.42,0.0048,0.033,0.24,rain,86.88,57.42,61.42,0.74,1015.2,0.71,7,60.02,86.88,-35.4735,149.0124
Australia,Australian Capital Territory,1/8/2020,Clear throughout the day.,partly-cloudy-day,0.45,0.0001,0.0002,0.05,rain,79.94,58.02,58.88,0.73,1016.5,0.33,12,58.77,79.94,-35.4735,149.0124
Australia,Australian Capital Territory,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.49,0.0001,0.0004,0.03,rain,95.26,56.82,60.13,0.63,1009.0,0.72,9,58.02,95.26,-35.4735,149.0124
Australia,Australian Capital Territory,1/10/2020,Partly cloudy throughout the day.,rain,0.52,0.0041,0.0151,0.26,rain,80.71,53.16,54.98,0.63,1010.9,0.64,11,56.82,80.71,-35.4735,149.0124
Australia,Australian Capital Territory,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.56,0.0003,0.0013,0.11,rain,74.48,47.49,50.4,0.68,1017.4,0.83,6,53.16,74.48,-35.4735,149.0124
Australia,Australian Capital Territory,1/12/2020,Clear throughout the day.,clear-day,0.6,0.0001,0.0004,0.09,rain,82.94,53.48,48.7,0.63,1017.8,0.18,13,47.39,82.94,-35.4735,149.0124
Australia,Australian Capital Territory,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.63,0.0001,0.0006,0.06,rain,85.58,54.35,56.34,0.69,1016.4,0.4,11,53.48,85.58,-35.4735,149.0124
Australia,Australian Capital Territory,1/14/2020,Mostly cloudy throughout the day.,rain,0.67,0.0038,0.0151,0.31,rain,84.33,62.14,59.02,0.71,1012.5,0.72,10,54.35,84.33,-35.4735,149.0124
Australia,Australian Capital Territory,1/15/2020,Possible light rain starting in the afternoon.,rain,0.71,0.0263,0.0911,0.78,rain,83.72,59.78,60.62,0.74,1007.5,0.95,7,62.14,83.72,-35.4735,149.0124
Australia,Australian Capital Territory,1/16/2020,Overcast throughout the day.,rain,0.74,0.0012,0.0032,0.42,rain,73.98,58.48,59.94,0.86,1010.3,0.97,6,59.6,73.98,-35.4735,149.0124
Australia,Australian Capital Territory,1/17/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.78,0.0008,0.0048,0.24,rain,77.31,54.07,57.18,0.75,1010.6,0.82,7,58.48,77.31,-35.4735,149.0124
Australia,Australian Capital Territory,1/18/2020,Partly cloudy throughout the day.,rain,0.82,0.0047,0.045,0.38,rain,83.03,59.48,57.35,0.75,1007.4,0.63,11,54.07,83.03,-35.4735,149.0124
Australia,Australian Capital Territory,1/19/2020,Rain in the afternoon.,rain,0.85,0.0153,0.1218,0.61,rain,74.18,55.01,58.78,0.79,1003.4,0.66,7,59.45,74.18,-35.4735,149.0124
Australia,Australian Capital Territory,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.89,0.0007,0.0044,0.14,rain,78.91,53.46,53.99,0.67,1006.9,0.46,8,55.01,78.91,-35.4735,149.0124
Australia,Australian Capital Territory,1/21/2020,Clear throughout the day.,clear-day,0.92,0.0,0.0001,0.01,,85.36,62.54,51.75,0.59,1008.5,0.2,12,53.46,85.36,-35.4735,149.0124
Australia,Australian Capital Territory,1/22/2020,Dangerously windy until evening.,wind,0.95,0.0001,0.0005,0.07,rain,84.32,57.41,46.15,0.41,1001.8,0.6,9,62.54,84.32,-35.4735,149.0124
Australia,Australian Capital Territory,1/23/2020,Clear throughout the day.,clear-day,0.98,0.0018,0.0116,0.09,rain,81.86,55.17,45.27,0.49,1010.1,0.24,10,57.41,81.86,-35.4735,149.0124
Australia,Australian Capital Territory,1/24/2020,Clear throughout the day.,clear-day,0.02,0.0002,0.0009,0.17,rain,85.76,59.12,53.5,0.65,1013.7,0.25,11,55.17,85.76,-35.4735,149.0124
Australia,Australian Capital Territory,1/25/2020,Clear throughout the day.,clear-day,0.05,0.0001,0.0003,0.04,rain,88.51,55.5,50.75,0.53,1011.9,0.13,13,59.12,88.51,-35.4735,149.0124
Australia,Australian Capital Territory,1/26/2020,Clear throughout the day.,clear-day,0.08,0.0001,0.0004,0.02,rain,91.06,60.58,54.0,0.61,1013.4,0.29,13,55.5,91.06,-35.4735,149.0124
Australia,Australian Capital Territory,1/27/2020,Overcast throughout the day.,partly-cloudy-day,0.11,0.0,0.0004,0.04,,90.02,57.65,50.42,0.56,1012.7,0.81,6,60.58,90.02,-35.4735,149.0124
Australia,Australian Capital Territory,1/28/2020,Clear throughout the day.,partly-cloudy-day,0.14,0.0002,0.0003,0.08,rain,89.87,56.65,55.87,0.63,1015.6,0.33,13,57.65,89.87,-35.4735,149.0124
Australia,Australian Capital Territory,1/29/2020,Clear throughout the day.,clear-day,0.17,0.0001,0.0003,0.06,rain,95.64,64.52,52.02,0.54,1014.8,0.0,13,56.65,95.64,-35.4735,149.0124
Australia,Australian Capital Territory,1/30/2020,Clear throughout the day.,clear-day,0.2,0.0001,0.0002,0.07,rain,102.46,74.05,50.53,0.35,1012.5,0.0,13,64.52,102.46,-35.4735,149.0124
Australia,Australian Capital Territory,1/31/2020,Clear throughout the day.,clear-day,0.23,0.0001,0.0003,0.11,rain,101.67,74.1,57.39,0.38,1009.1,0.2,11,74.05,101.67,-35.4735,149.0124
Australia,Australian Capital Territory,2/1/2020,Partly cloudy throughout the day.,clear-day,0.26,0.0002,0.0008,0.08,rain,89.51,53.74,61.12,0.52,1007.2,0.31,10,67.24,89.51,-35.4735,149.0124
Australia,Australian Capital Territory,2/2/2020,Clear throughout the day.,clear-day,0.29,0.0,0.0002,0.02,,81.29,42.45,41.42,0.45,1008.2,0.12,12,53.69,81.29,-35.4735,149.0124
Australia,Australian Capital Territory,2/3/2020,Clear throughout the day.,clear-day,0.32,0.0001,0.0003,0.04,rain,77.06,48.03,35.07,0.46,1018.9,0.01,12,42.45,77.06,-35.4735,149.0124
Australia,Australian Capital Territory,2/4/2020,Clear throughout the day.,partly-cloudy-day,0.36,0.0001,0.0003,0.05,rain,83.52,57.61,50.46,0.65,1018.9,0.44,12,48.03,83.52,-35.4735,149.0124
Australia,Australian Capital Territory,2/5/2020,Overcast throughout the day.,rain,0.39,0.001,0.0044,0.31,rain,74.31,59.08,56.95,0.77,1021.2,0.92,6,57.61,74.31,-35.4735,149.0124
