Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Austria,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.08,snow,38.68,26.34,14.08,0.58,1035.8,0.01,1,19.96,38.68,47.5162,14.5501
Austria,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.1,rain,45.63,25.14,16.13,0.46,1032.7,0.0,1,28.73,45.63,47.5162,14.5501
Austria,,1/2/2020,Foggy overnight.,partly-cloudy-day,0.27,0.0,0.0003,0.02,,45.23,31.56,21.34,0.6,1028.6,0.53,1,25.14,45.23,47.5162,14.5501
Austria,,1/3/2020,"Snow (3–6 in.) until afternoon, starting again overnight.",rain,0.3,0.0177,0.0561,0.77,rain,37.4,28.09,28.76,0.83,1026.8,0.98,1,29.41,37.4,47.5162,14.5501
Austria,,1/4/2020,Snow (1–3 in.) in the morning.,snow,0.33,0.0232,0.0868,0.63,snow,30.78,16.42,23.26,0.81,1033.6,0.99,1,22.11,31.18,47.5162,14.5501
Austria,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0005,0.02,,38.01,25.34,9.1,0.49,1032.6,0.14,1,16.42,38.01,47.5162,14.5501
Austria,,1/6/2020,Foggy in the evening and overnight.,partly-cloudy-day,0.4,0.0002,0.0008,0.2,rain,38.61,23.33,20.86,0.68,1029.9,0.39,1,25.34,38.61,47.5162,14.5501
Austria,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.0001,0.0008,0.05,snow,40.75,34.96,19.7,0.61,1032.3,0.53,1,23.33,40.75,47.5162,14.5501
Austria,,1/8/2020,Foggy in the afternoon.,partly-cloudy-day,0.47,0.0,0.0001,0.03,,49.49,30.64,31.18,0.68,1025.4,0.76,1,36.01,49.49,47.5162,14.5501
Austria,,1/9/2020,Foggy in the evening and overnight.,partly-cloudy-day,0.5,0.0006,0.0052,0.16,rain,44.46,31.74,29.59,0.77,1023.8,0.54,1,30.64,44.46,47.5162,14.5501
Austria,,1/10/2020,Possible drizzle in the morning.,rain,0.54,0.0037,0.0126,0.51,rain,35.38,22.1,27.14,0.84,1032.1,0.86,1,22.1,35.38,47.5162,14.5501
Austria,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.05,snow,42.39,24.2,14.21,0.52,1030.7,0.27,1,22.91,42.39,47.5162,14.5501
Austria,,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.0001,0.0003,0.02,rain,43.88,26.49,7.37,0.37,1025.9,0.71,1,24.2,43.88,47.5162,14.5501
Austria,,1/13/2020,Partly cloudy throughout the day.,clear-day,0.65,0.0,0.0,0.0,,44.94,31.39,9.97,0.37,1023.0,0.24,1,26.49,44.94,47.5162,14.5501
Austria,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0001,0.01,,46.56,28.64,11.92,0.37,1024.2,0.35,1,31.39,46.56,47.5162,14.5501
Austria,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0,0.0002,0.05,,47.02,31.15,27.19,0.71,1030.9,0.65,1,28.64,47.02,47.5162,14.5501
Austria,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.07,rain,44.13,30.11,29.72,0.78,1025.7,0.85,1,31.15,44.13,47.5162,14.5501
Austria,,1/17/2020,Possible light rain (with a chance of 1–2 in. of snow) in the morning and afternoon.,rain,0.8,0.0118,0.0349,0.76,rain,37.28,27.08,27.12,0.82,1026.5,1.0,1,28.54,37.28,47.5162,14.5501
