Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Azerbaijan,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.08,rain,56.77,35.46,34.26,0.74,1014.8,0.17,1,33.4,56.77,40.1431,47.5769
Azerbaijan,,1/1/2020,Possible drizzle overnight.,rain,0.24,0.0021,0.0141,0.37,rain,53.81,40.11,34.38,0.71,1019.8,0.41,1,35.46,53.81,40.1431,47.5769
Azerbaijan,,1/2/2020,"Drizzle until afternoon, starting again overnight.",rain,0.27,0.0031,0.0082,0.91,rain,44.55,39.73,37.98,0.84,1026.2,0.99,1,40.1,44.77,40.1431,47.5769
Azerbaijan,,1/3/2020,Drizzle in the morning and afternoon.,rain,0.3,0.0036,0.0077,0.87,rain,47.69,30.87,38.08,0.85,1021.0,1.0,1,38.77,47.69,40.1431,47.5769
Azerbaijan,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.33,0.0001,0.0002,0.07,rain,52.53,29.32,30.93,0.71,1015.3,0.52,1,30.87,52.53,40.1431,47.5769
Azerbaijan,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0001,0.01,,51.67,30.24,30.68,0.73,1022.4,0.0,1,29.32,51.67,40.1431,47.5769
Azerbaijan,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.09,rain,51.89,27.71,32.28,0.78,1022.8,0.14,1,30.24,51.89,40.1431,47.5769
Azerbaijan,,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.43,0.0,0.0002,0.04,,51.75,32.38,28.29,0.7,1017.7,0.63,1,27.71,51.75,40.1431,47.5769
Azerbaijan,,1/8/2020,Overcast throughout the day.,rain,0.46,0.0003,0.0012,0.25,rain,49.71,30.75,33.52,0.78,1017.4,0.93,1,32.38,49.71,40.1431,47.5769
Azerbaijan,,1/9/2020,Clear throughout the day.,partly-cloudy-day,0.5,0.0001,0.0003,0.12,rain,50.43,34.26,31.99,0.78,1020.9,0.36,1,30.75,50.43,40.1431,47.5769
Azerbaijan,,1/10/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.53,0.0001,0.0003,0.22,rain,48.25,28.47,33.89,0.83,1024.3,0.5,1,33.93,48.25,40.1431,47.5769
Azerbaijan,,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.57,0.0001,0.0003,0.09,snow,51.5,38.26,29.1,0.7,1020.0,0.59,2,29.1,51.5,40.1431,47.5769
