Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Bahrain,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.05,rain,71.3,64.5,57.2,0.68,1015.6,0.55,5,64.71,71.3,26.0275,50.55
Bahrain,,1/1/2020,Overcast throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.06,rain,72.49,65.49,55.0,0.63,1018.3,0.85,3,64.5,72.49,26.0275,50.55
Bahrain,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0003,0.02,,76.67,70.31,60.3,0.71,1016.9,0.18,5,65.49,76.67,26.0275,50.55
Bahrain,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0008,0.0031,0.19,rain,79.38,64.06,58.89,0.61,1012.7,0.11,5,68.04,79.38,26.0275,50.55
Bahrain,,1/4/2020,Rain until evening.,rain,0.33,0.0409,0.1243,0.92,rain,65.73,59.6,58.44,0.82,1014.5,0.96,4,59.95,68.88,26.0275,50.55
Bahrain,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0001,0.02,,67.62,60.42,52.13,0.65,1019.4,0.14,5,59.6,67.62,26.0275,50.55
Bahrain,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.09,rain,69.58,60.38,52.47,0.65,1020.9,0.1,5,60.42,69.58,26.0275,50.55
Bahrain,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.03,,69.72,64.56,52.84,0.65,1018.1,0.24,5,60.38,69.72,26.0275,50.55
Bahrain,,1/8/2020,Possible drizzle overnight.,rain,0.46,0.0029,0.015,0.57,rain,68.82,61.45,56.08,0.71,1014.5,0.7,4,61.46,68.82,26.0275,50.55
Bahrain,,1/9/2020,Light rain until evening.,rain,0.5,0.0082,0.0221,0.83,rain,68.69,58.64,59.5,0.82,1010.4,0.79,4,61.93,68.69,26.0275,50.55
Bahrain,,1/10/2020,Windy overnight.,clear-day,0.53,0.0003,0.002,0.22,rain,63.81,55.75,47.87,0.63,1013.5,0.0,4,58.64,63.81,26.0275,50.55
Bahrain,,1/11/2020,Windy in the morning.,clear-day,0.57,0.0001,0.0003,0.05,rain,64.63,56.9,43.8,0.55,1020.7,0.0,5,55.75,64.63,26.0275,50.55
Bahrain,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.02,rain,65.91,57.74,40.15,0.48,1020.4,0.08,5,56.54,65.91,26.0275,50.55
Bahrain,,1/13/2020,Windy in the evening.,clear-day,0.65,0.0001,0.0008,0.06,rain,66.09,56.13,42.74,0.51,1019.3,0.07,5,56.13,66.09,26.0275,50.55
Bahrain,,1/14/2020,Clear throughout the day.,clear-day,0.68,0.0002,0.0007,0.1,rain,67.7,58.08,50.22,0.65,1023.9,0.21,4,57.13,67.7,26.0275,50.55
Bahrain,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0001,0.0002,0.04,rain,67.67,60.37,50.98,0.67,1024.9,0.06,5,58.08,67.67,26.0275,50.55
Bahrain,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.04,rain,69.15,61.36,52.97,0.67,1021.8,0.1,6,60.37,69.15,26.0275,50.55
