Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Bangladesh,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.2,0.0001,0.0002,0.04,rain,83.78,61.81,57.73,0.66,1018.4,0.34,5,60.18,83.78,23.685,90.3563
Bangladesh,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.23,0.0001,0.0003,0.16,rain,82.94,62.86,61.23,0.73,1019.4,0.76,4,61.81,82.94,23.685,90.3563
Bangladesh,,1/2/2020,Light rain in the morning and afternoon.,rain,0.26,0.0088,0.0488,0.83,rain,69.06,60.47,60.18,0.83,1017.3,0.7,4,62.86,69.06,23.685,90.3563
Bangladesh,,1/3/2020,Partly cloudy throughout the day.,rain,0.29,0.0019,0.0093,0.34,rain,76.67,59.23,60.88,0.81,1015.2,0.48,4,60.47,76.67,23.685,90.3563
Bangladesh,,1/4/2020,Mostly cloudy throughout the day.,rain,0.32,0.001,0.005,0.37,rain,72.88,55.97,59.78,0.83,1014.8,0.44,4,59.23,72.88,23.685,90.3563
Bangladesh,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0002,0.02,,76.31,53.42,51.44,0.65,1018.1,0.0,6,55.97,76.31,23.685,90.3563
Bangladesh,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.03,rain,75.36,54.51,50.85,0.67,1016.6,0.07,6,53.42,75.36,23.685,90.3563
Bangladesh,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.42,0.0,0.0002,0.02,,76.45,59.19,54.07,0.71,1015.7,0.6,5,54.51,76.45,23.685,90.3563
Bangladesh,,1/8/2020,Possible light rain in the afternoon and evening.,rain,0.46,0.0053,0.0188,0.61,rain,69.06,57.16,57.94,0.8,1015.2,0.89,4,59.14,69.06,23.685,90.3563
Bangladesh,,1/9/2020,Clear throughout the day.,clear-day,0.49,0.0002,0.0013,0.05,rain,77.33,55.69,57.11,0.75,1015.5,0.07,6,57.13,77.33,23.685,90.3563
Bangladesh,,1/10/2020,Clear throughout the day.,clear-day,0.53,0.0001,0.0003,0.07,rain,75.56,56.58,56.55,0.77,1016.1,0.01,6,55.69,75.56,23.685,90.3563
Bangladesh,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.03,rain,76.15,55.81,57.13,0.77,1014.0,0.08,6,56.61,76.15,23.685,90.3563
Bangladesh,,1/12/2020,Clear throughout the day.,clear-day,0.6,0.0001,0.0003,0.04,rain,76.85,55.0,54.76,0.72,1012.4,0.06,6,55.81,76.85,23.685,90.3563
Bangladesh,,1/13/2020,Clear throughout the day.,clear-day,0.64,0.0,0.0,0.0,,76.97,56.19,56.06,0.74,1013.5,0.12,6,55.0,76.97,23.685,90.3563
Bangladesh,,1/14/2020,Clear throughout the day.,clear-day,0.68,0.0001,0.0003,0.04,rain,79.42,57.32,56.96,0.73,1014.8,0.08,6,56.19,79.42,23.685,90.3563
Bangladesh,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0001,0.0002,0.04,rain,81.12,59.59,58.02,0.71,1015.1,0.11,6,57.32,81.12,23.685,90.3563
Bangladesh,,1/16/2020,Clear throughout the day.,clear-day,0.75,0.0001,0.0004,0.05,rain,84.35,58.28,59.89,0.7,1015.0,0.0,7,59.59,84.35,23.685,90.3563
Bangladesh,,1/17/2020,Clear throughout the day.,clear-day,0.79,0.0001,0.0002,0.05,rain,84.78,61.13,59.29,0.7,1015.0,0.0,7,58.28,84.78,23.685,90.3563
Bangladesh,,1/18/2020,Clear throughout the day.,clear-day,0.82,0.0,0.0001,0.01,,82.42,61.28,59.3,0.7,1014.5,0.07,6,61.13,82.42,23.685,90.3563
Bangladesh,,1/19/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.86,0.0002,0.0017,0.07,rain,78.55,54.85,56.53,0.68,1016.2,0.37,6,61.28,78.55,23.685,90.3563
Bangladesh,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.89,0.0001,0.0002,0.03,rain,77.04,53.07,51.28,0.64,1018.2,0.37,6,54.85,77.04,23.685,90.3563
Bangladesh,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0,0.0001,0.02,,77.85,55.06,51.18,0.65,1017.8,0.15,6,53.07,77.85,23.685,90.3563
Bangladesh,,1/22/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.96,0.0001,0.0002,0.04,rain,76.37,53.94,52.87,0.67,1015.5,0.57,5,55.06,76.37,23.685,90.3563
Bangladesh,,1/23/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.99,0.0,0.0002,0.03,,76.3,51.94,48.92,0.6,1015.5,0.4,5,53.94,76.3,23.685,90.3563
Bangladesh,,1/24/2020,Clear throughout the day.,clear-day,0.02,0.0,0.0002,0.03,,76.92,52.99,49.19,0.62,1014.7,0.06,6,51.94,76.92,23.685,90.3563
Bangladesh,,1/25/2020,Clear throughout the day.,clear-day,0.05,0.0001,0.0003,0.04,rain,76.55,55.21,51.35,0.65,1013.0,0.0,6,52.99,76.55,23.685,90.3563
Bangladesh,,1/26/2020,Clear throughout the day.,clear-day,0.09,0.0001,0.0004,0.05,rain,75.64,55.53,52.57,0.67,1012.5,0.0,7,55.21,75.64,23.685,90.3563
Bangladesh,,1/27/2020,Clear throughout the day.,clear-day,0.12,0.0,0.0003,0.04,,79.24,58.5,53.58,0.66,1013.1,0.01,7,55.53,79.24,23.685,90.3563
Bangladesh,,1/28/2020,Partly cloudy throughout the day.,clear-day,0.15,0.0005,0.0033,0.16,rain,78.02,59.02,56.76,0.7,1015.5,0.26,6,58.5,78.02,23.685,90.3563
Bangladesh,,1/29/2020,Possible light rain in the afternoon.,rain,0.18,0.0081,0.0563,0.67,rain,75.74,61.24,60.12,0.79,1013.5,0.43,6,59.02,75.74,23.685,90.3563
Bangladesh,,1/30/2020,Partly cloudy throughout the day.,clear-day,0.21,0.0003,0.0011,0.16,rain,79.44,56.71,58.94,0.72,1013.6,0.27,6,61.24,79.44,23.685,90.3563
Bangladesh,,1/31/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.04,rain,79.58,56.08,50.65,0.58,1015.2,0.0,8,56.71,79.58,23.685,90.3563
Bangladesh,,2/1/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.03,rain,76.6,51.9,47.74,0.54,1017.2,0.0,8,56.08,76.6,23.685,90.3563
Bangladesh,,2/2/2020,Clear throughout the day.,clear-day,0.3,0.0,0.0002,0.03,,77.17,51.43,43.53,0.5,1017.3,0.0,7,51.9,77.17,23.685,90.3563
Bangladesh,,2/3/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.06,rain,79.5,55.47,47.55,0.55,1015.4,0.02,7,51.43,79.5,23.685,90.3563
Bangladesh,,2/4/2020,Clear throughout the day.,partly-cloudy-day,0.37,0.0001,0.0003,0.05,rain,81.03,58.16,49.09,0.52,1013.8,0.43,7,55.47,81.03,23.685,90.3563
Bangladesh,,2/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.0002,0.03,rain,79.84,56.86,51.11,0.56,1015.2,0.53,7,58.16,79.84,23.685,90.3563
Bangladesh,,2/6/2020,Clear throughout the day.,partly-cloudy-day,0.44,0.0001,0.0012,0.05,rain,80.93,62.78,48.96,0.51,1016.7,0.37,7,56.86,80.93,23.685,90.3563
Bangladesh,,2/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.47,0.0001,0.0016,0.05,rain,81.88,63.86,47.79,0.44,1016.7,0.75,7,62.78,81.88,23.685,90.3563
Bangladesh,,2/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.51,0.0001,0.0003,0.07,rain,81.84,56.9,50.56,0.49,1017.4,0.58,5,63.86,81.84,23.685,90.3563
Bangladesh,,2/9/2020,Clear throughout the day.,clear-day,0.55,0.0001,0.0004,0.06,rain,82.03,54.98,47.36,0.49,1016.4,0.01,7,56.9,82.03,23.685,90.3563
Bangladesh,,2/10/2020,Clear throughout the day.,clear-day,0.59,0.0001,0.0002,0.03,rain,81.81,57.05,49.85,0.54,1016.6,0.0,8,54.98,81.81,23.685,90.3563
Bangladesh,,2/11/2020,Clear throughout the day.,clear-day,0.63,0.0001,0.0004,0.02,rain,82.78,54.54,49.68,0.53,1015.7,0.0,8,57.05,82.78,23.685,90.3563
Bangladesh,,2/12/2020,Clear throughout the day.,clear-day,0.67,0.0001,0.0004,0.05,rain,81.51,56.7,49.02,0.53,1013.6,0.12,7,54.54,81.51,23.685,90.3563
Bangladesh,,2/13/2020,Clear throughout the day.,clear-day,0.7,0.0001,0.0003,0.04,rain,83.1,62.29,53.48,0.58,1010.0,0.04,8,56.7,83.1,23.685,90.3563
Bangladesh,,2/14/2020,Clear throughout the day.,clear-day,0.74,0.0001,0.0003,0.05,rain,85.71,59.19,59.66,0.66,1011.6,0.12,8,62.29,85.71,23.685,90.3563
Bangladesh,,2/15/2020,Clear throughout the day.,clear-day,0.77,0.0001,0.0003,0.06,rain,83.85,57.53,58.01,0.65,1014.4,0.0,8,59.19,83.85,23.685,90.3563
Bangladesh,,2/16/2020,Clear throughout the day.,clear-day,0.81,0.0001,0.0003,0.04,rain,84.11,59.39,56.91,0.63,1014.5,0.0,8,57.53,84.11,23.685,90.3563
Bangladesh,,2/17/2020,Clear throughout the day.,clear-day,0.84,0.0002,0.0004,0.07,rain,85.26,60.43,56.28,0.6,1014.0,0.0,8,59.39,85.26,23.685,90.3563
Bangladesh,,2/18/2020,Clear throughout the day.,clear-day,0.87,0.0001,0.0004,0.04,rain,86.4,61.57,56.0,0.59,1015.0,0.06,8,60.43,86.4,23.685,90.3563
Bangladesh,,2/19/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.91,0.0001,0.0004,0.04,rain,85.83,61.99,57.46,0.6,1015.8,0.86,5,61.57,85.83,23.685,90.3563
Bangladesh,,2/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.94,0.0001,0.0003,0.05,rain,88.62,61.55,58.51,0.6,1017.4,0.4,5,61.99,88.62,23.685,90.3563
Bangladesh,,2/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.97,0.0001,0.0004,0.03,rain,88.23,60.75,55.67,0.55,1017.2,0.32,6,61.55,88.23,23.685,90.3563
Bangladesh,,2/22/2020,Clear throughout the day.,clear-day,1.0,0.0001,0.0004,0.06,rain,90.44,63.98,57.16,0.56,1015.6,0.27,6,60.75,90.44,23.685,90.3563
Bangladesh,,2/23/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.03,0.0,0.0003,0.04,,87.63,65.72,60.57,0.62,1013.2,0.49,7,63.98,87.63,23.685,90.3563
Bangladesh,,2/24/2020,Possible light rain in the morning and afternoon.,rain,0.06,0.0062,0.021,0.69,rain,77.29,63.17,63.22,0.77,1013.0,0.69,5,65.72,77.29,23.685,90.3563
Bangladesh,,2/25/2020,Partly cloudy throughout the day.,rain,0.09,0.0056,0.0182,0.69,rain,78.64,60.48,61.83,0.76,1013.6,0.52,7,63.17,78.64,23.685,90.3563
Bangladesh,,2/26/2020,Clear throughout the day.,clear-day,0.12,0.0001,0.0009,0.04,rain,81.59,59.93,59.42,0.7,1014.2,0.15,8,60.48,81.59,23.685,90.3563
Bangladesh,,2/27/2020,Clear throughout the day.,clear-day,0.15,0.0001,0.0003,0.04,rain,85.47,61.58,56.58,0.59,1013.3,0.13,9,59.93,85.47,23.685,90.3563
Bangladesh,,2/28/2020,Clear throughout the day.,clear-day,0.18,0.0,0.0003,0.02,,87.16,63.03,55.96,0.55,1011.6,0.0,9,61.58,87.16,23.685,90.3563
Bangladesh,,2/29/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0003,0.05,rain,88.87,64.11,57.5,0.55,1011.6,0.0,9,63.03,88.87,23.685,90.3563
Bangladesh,,3/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0002,0.05,rain,89.77,66.09,60.62,0.59,1011.1,0.11,9,64.11,89.77,23.685,90.3563
Bangladesh,,3/2/2020,Clear throughout the day.,rain,0.28,0.0035,0.0229,0.3,rain,87.08,67.09,61.51,0.6,1010.7,0.22,8,66.09,87.08,23.685,90.3563
Bangladesh,,3/3/2020,Clear throughout the day.,clear-day,0.31,0.0008,0.0034,0.16,rain,87.51,67.02,63.21,0.64,1011.0,0.27,8,67.09,87.51,23.685,90.3563
Bangladesh,,3/4/2020,Partly cloudy throughout the day.,rain,0.34,0.0026,0.0133,0.26,rain,87.23,66.38,63.57,0.66,1010.8,0.43,7,67.02,87.23,23.685,90.3563
Bangladesh,,3/5/2020,Mostly cloudy throughout the day.,rain,0.38,0.003,0.0124,0.32,rain,85.97,67.22,64.97,0.71,1012.6,0.62,6,66.38,85.97,23.685,90.3563
Bangladesh,,3/6/2020,Possible drizzle in the morning.,rain,0.42,0.0024,0.0089,0.61,rain,80.75,64.59,64.54,0.73,1013.8,0.65,5,67.22,80.75,23.685,90.3563
Bangladesh,,3/7/2020,Partly cloudy throughout the day.,clear-day,0.46,0.0007,0.0057,0.16,rain,86.73,66.22,64.5,0.7,1011.9,0.24,8,64.59,86.73,23.685,90.3563
Bangladesh,,3/8/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.06,rain,86.28,61.8,59.93,0.6,1011.1,0.09,10,66.22,86.28,23.685,90.3563
Bangladesh,,3/9/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0004,0.03,rain,88.21,65.11,53.98,0.49,1011.1,0.0,10,61.8,88.21,23.685,90.3563
Bangladesh,,3/10/2020,Clear throughout the day.,clear-day,0.57,0.0002,0.0004,0.06,rain,90.98,67.99,54.44,0.45,1011.2,0.12,8,65.11,90.98,23.685,90.3563
Bangladesh,,3/11/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0004,0.09,rain,92.61,69.82,60.7,0.52,1012.5,0.12,10,67.99,92.61,23.685,90.3563
Bangladesh,,3/12/2020,Clear throughout the day.,clear-day,0.65,0.0001,0.0004,0.05,rain,94.11,72.0,63.98,0.56,1012.7,0.06,10,69.82,94.11,23.685,90.3563
Bangladesh,,3/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.69,0.0001,0.0003,0.07,rain,94.91,66.68,62.1,0.53,1011.9,0.46,8,72.0,94.91,23.685,90.3563
Bangladesh,,3/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0003,0.08,rain,93.74,69.06,62.37,0.6,1012.0,0.59,7,66.68,93.74,23.685,90.3563
Bangladesh,,3/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.76,0.0,0.0001,0.01,,93.29,68.38,61.65,0.57,1012.4,0.6,8,69.06,93.29,23.685,90.3563
Bangladesh,,3/16/2020,Clear throughout the day.,clear-day,0.79,0.0001,0.0004,0.04,rain,91.14,66.81,58.2,0.49,1013.3,0.15,9,68.38,91.14,23.685,90.3563
Bangladesh,,3/17/2020,Clear throughout the day.,clear-day,0.82,0.0001,0.0003,0.02,rain,91.54,66.18,57.58,0.49,1012.0,0.21,10,66.81,91.54,23.685,90.3563
Bangladesh,,3/18/2020,Clear throughout the day.,clear-day,0.85,0.0001,0.0003,0.01,rain,92.64,67.45,54.82,0.45,1010.8,0.24,10,66.18,92.64,23.685,90.3563
Bangladesh,,3/19/2020,Overcast throughout the day.,partly-cloudy-day,0.88,0.0,0.0002,0.02,,92.49,66.47,56.85,0.47,1009.9,0.73,5,67.45,92.49,23.685,90.3563
Bangladesh,,3/20/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.92,0.003,0.0228,0.11,rain,94.12,68.88,56.69,0.5,1010.5,0.55,6,66.47,94.12,23.685,90.3563
Bangladesh,,3/21/2020,Partly cloudy throughout the day.,rain,0.95,0.0071,0.0594,0.37,rain,85.69,65.38,63.84,0.67,1012.2,0.54,7,68.88,85.69,23.685,90.3563
Bangladesh,,3/22/2020,Clear throughout the day.,clear-day,0.98,0.0025,0.0213,0.2,rain,88.27,69.01,63.15,0.63,1011.3,0.27,10,65.38,88.27,23.685,90.3563
Bangladesh,,3/23/2020,Clear throughout the day.,clear-day,0.01,0.0007,0.0071,0.05,rain,90.74,67.49,62.32,0.57,1010.1,0.19,10,69.01,90.74,23.685,90.3563
Bangladesh,,3/24/2020,Clear throughout the day.,clear-day,0.04,0.0002,0.0004,0.08,rain,92.57,69.0,62.66,0.57,1008.8,0.0,11,67.49,92.57,23.685,90.3563
Bangladesh,,3/25/2020,Clear throughout the day.,clear-day,0.07,0.0001,0.0003,0.05,rain,95.49,71.98,63.09,0.53,1009.2,0.0,10,69.0,95.49,23.685,90.3563
Bangladesh,,3/26/2020,Clear throughout the day.,clear-day,0.1,0.0001,0.0004,0.02,rain,98.84,72.98,61.7,0.49,1009.5,0.0,11,71.98,98.84,23.685,90.3563
Bangladesh,,3/27/2020,Clear throughout the day.,clear-day,0.13,0.0001,0.0003,0.04,rain,98.58,74.62,63.24,0.48,1008.3,0.0,11,72.98,98.58,23.685,90.3563
Bangladesh,,3/28/2020,Clear throughout the day.,clear-day,0.16,0.0001,0.0004,0.03,rain,98.5,70.14,57.68,0.41,1007.5,0.0,11,74.62,98.5,23.685,90.3563
Bangladesh,,3/29/2020,Clear throughout the day.,clear-day,0.19,0.0002,0.0004,0.01,rain,98.37,66.75,47.13,0.31,1008.7,0.02,10,70.14,98.37,23.685,90.3563
Bangladesh,,3/30/2020,Clear throughout the day.,clear-day,0.22,0.0001,0.0003,0.01,rain,98.44,69.61,48.47,0.32,1009.2,0.03,11,66.75,98.44,23.685,90.3563
Bangladesh,,3/31/2020,Clear throughout the day.,clear-day,0.26,0.0001,0.0004,0.02,rain,99.83,71.33,52.79,0.36,1007.5,0.0,11,69.61,99.83,23.685,90.3563
Bangladesh,,4/1/2020,Humid throughout the day.,clear-day,0.29,0.0027,0.0162,0.1,rain,99.27,71.82,68.01,0.59,1006.9,0.29,11,71.33,99.27,23.685,90.3563
Bangladesh,,4/2/2020,Humid throughout the day.,clear-day,0.33,0.0061,0.0408,0.14,rain,98.16,71.9,69.64,0.65,1008.8,0.19,11,71.82,98.16,23.685,90.3563
Bangladesh,,4/3/2020,Humid throughout the day.,clear-day,0.36,0.0022,0.0166,0.14,rain,98.51,72.84,66.48,0.62,1010.2,0.22,10,71.9,98.51,23.685,90.3563
Bangladesh,,4/4/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0006,0.0065,0.09,rain,95.94,72.0,68.77,0.66,1010.4,0.32,8,72.84,95.94,23.685,90.3563
Bangladesh,,4/5/2020,Humid throughout the day.,clear-day,0.44,0.0,0.0002,0.03,,98.64,70.15,61.8,0.56,1009.2,0.1,11,72.0,98.64,23.685,90.3563
Bangladesh,,4/6/2020,Humid throughout the day.,clear-day,0.48,0.0,0.0002,0.02,,101.92,74.04,60.59,0.5,1007.1,0.08,11,70.15,101.92,23.685,90.3563
Bangladesh,,4/7/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.52,0.0007,0.0065,0.09,rain,97.38,72.21,70.28,0.63,1008.0,0.55,10,74.04,97.38,23.685,90.3563
Bangladesh,,4/8/2020,Humid and partly cloudy throughout the day.,clear-day,0.56,0.0008,0.009000000000000001,0.1,rain,95.66,70.32,71.65,0.69,1008.7,0.26,9,72.21,95.66,23.685,90.3563
Bangladesh,,4/9/2020,Humid throughout the day.,clear-day,0.6,0.0001,0.0003,0.06,rain,98.78,75.23,68.08,0.59,1010.2,0.14,11,70.32,98.78,23.685,90.3563
Bangladesh,,4/10/2020,Humid throughout the day.,clear-day,0.64,0.0064,0.0386,0.22,rain,97.07,70.64,70.03,0.61,1010.6,0.14,10,75.23,97.07,23.685,90.3563
Bangladesh,,4/11/2020,Clear throughout the day.,clear-day,0.67,0.0005,0.0091,0.06,rain,93.49,72.28,64.58,0.57,1010.2,0.04,11,70.64,93.49,23.685,90.3563
Bangladesh,,4/12/2020,Clear throughout the day.,clear-day,0.71,0.0045,0.0371,0.12,rain,96.03,73.49,67.58,0.56,1008.4,0.05,11,72.28,96.03,23.685,90.3563
Bangladesh,,4/13/2020,Humid throughout the day.,clear-day,0.74,0.0013,0.0085,0.07,rain,97.64,75.32,71.02,0.63,1009.4,0.01,11,73.49,97.64,23.685,90.3563
Bangladesh,,4/14/2020,Possible light rain in the evening.,rain,0.77,0.0115,0.0974,0.44,rain,95.7,69.79,72.51,0.69,1009.6,0.23,11,73.84,95.7,23.685,90.3563
Bangladesh,,4/15/2020,Possible light rain overnight.,rain,0.8,0.0026,0.0257,0.39,rain,93.95,74.81,71.43,0.72,1008.3,0.48,9,69.79,93.95,23.685,90.3563
Bangladesh,,4/16/2020,Light rain in the morning.,rain,0.83,0.0129,0.0378,0.85,rain,90.45,77.19,74.13,0.79,1007.6,0.65,8,74.81,90.45,23.685,90.3563
Bangladesh,,4/17/2020,Rain and humid throughout the day.,rain,0.86,0.0544,0.3068,0.97,rain,94.61,72.41,76.09,0.82,1008.9,0.71,6,76.44,94.61,23.685,90.3563
Bangladesh,,4/18/2020,Humid and partly cloudy throughout the day.,rain,0.89,0.0074,0.0355,0.38,rain,97.02,75.33,73.36,0.74,1008.8,0.58,8,72.41,97.02,23.685,90.3563
Bangladesh,,4/19/2020,Humid and partly cloudy throughout the day.,rain,0.92,0.0087,0.0815,0.41,rain,96.35,73.9,74.0,0.73,1008.8,0.67,8,75.33,96.35,23.685,90.3563
Bangladesh,,4/20/2020,Rain in the evening and overnight.,rain,0.95,0.0168,0.1451,0.78,rain,93.1,70.68,70.43,0.7,1009.1,0.86,5,72.96,93.1,23.685,90.3563
