Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Barbados,,12/31/2019,Clear throughout the day.,clear-day,0.19,0.0002,0.0008,0.09,rain,78.99,73.32,67.45,0.75,1013.6,0.2,8,73.15,78.99,13.1939,-59.5432
Barbados,,1/1/2020,Clear throughout the day.,clear-day,0.22,0.0012,0.0043,0.23,rain,79.4,74.09,67.64,0.76,1014.1,0.22,8,73.32,79.4,13.1939,-59.5432
Barbados,,1/2/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.25,0.0005,0.0038,0.2,rain,78.95,72.63,66.6,0.73,1014.5,0.45,8,74.08,78.95,13.1939,-59.5432
Barbados,,1/3/2020,Clear throughout the day.,clear-day,0.28,0.0002,0.0004,0.06,rain,78.7,72.2,66.52,0.74,1015.8,0.2,9,72.63,78.7,13.1939,-59.5432
Barbados,,1/4/2020,Partly cloudy throughout the day.,rain,0.31,0.0022,0.0104,0.26,rain,78.25,72.15,66.87,0.76,1016.0,0.32,6,72.2,78.25,13.1939,-59.5432
Barbados,,1/5/2020,Possible light rain starting in the afternoon.,rain,0.34,0.0101,0.0468,0.62,rain,77.8,72.07,67.24,0.79,1014.0,0.31,7,72.07,77.8,13.1939,-59.5432
Barbados,,1/6/2020,Partly cloudy throughout the day.,rain,0.37,0.0019,0.0109,0.39,rain,77.65,72.93,68.49,0.81,1013.6,0.37,7,72.48,77.65,13.1939,-59.5432
Barbados,,1/7/2020,Clear throughout the day.,clear-day,0.4,0.0005,0.0019,0.1,rain,78.45,73.98,66.55,0.74,1015.3,0.23,8,72.93,78.45,13.1939,-59.5432
Barbados,,1/8/2020,Partly cloudy throughout the day.,rain,0.44,0.0019,0.0042,0.28,rain,78.74,72.12,67.64,0.76,1016.4,0.38,8,73.98,78.74,13.1939,-59.5432
Barbados,,1/9/2020,Partly cloudy throughout the day.,rain,0.47,0.0058,0.0122,0.52,rain,76.78,73.86,67.88,0.79,1016.5,0.49,6,72.12,76.78,13.1939,-59.5432
Barbados,,1/10/2020,Windy in the morning and afternoon.,clear-day,0.51,0.0013,0.0065,0.24,rain,78.17,72.77,66.39,0.73,1016.4,0.06,9,73.97,78.17,13.1939,-59.5432
Barbados,,1/11/2020,Possible light rain overnight.,rain,0.55,0.0053,0.0142,0.41,rain,76.33,72.71,67.81,0.81,1016.5,0.05,9,72.71,76.33,13.1939,-59.5432
Barbados,,1/12/2020,Partly cloudy throughout the day.,rain,0.58,0.0097,0.0376,0.71,rain,77.99,71.83,66.67,0.75,1016.8,0.27,8,73.29,77.99,13.1939,-59.5432
Barbados,,1/13/2020,Partly cloudy throughout the day.,rain,0.62,0.0065,0.0211,0.59,rain,77.04,72.48,66.23,0.76,1015.8,0.35,8,71.83,77.04,13.1939,-59.5432
Barbados,,1/14/2020,Partly cloudy throughout the day.,rain,0.66,0.005,0.0136,0.66,rain,77.54,73.71,67.52,0.78,1014.7,0.35,8,72.48,77.54,13.1939,-59.5432
Barbados,,1/15/2020,Partly cloudy throughout the day.,rain,0.69,0.0019,0.0073,0.34,rain,77.87,72.98,66.83,0.75,1014.4,0.37,7,73.71,77.87,13.1939,-59.5432
Barbados,,1/16/2020,Clear throughout the day.,clear-day,0.73,0.0008,0.0022,0.23,rain,79.03,72.62,67.16,0.76,1015.6,0.26,7,72.98,79.03,13.1939,-59.5432
