Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Belarus,,12/31/2019,Clear throughout the day.,rain,0.21,0.0003,0.0018,0.26,rain,33.04,29.93,26.22,0.82,1019.4,0.66,0,26.65,35.93,53.7098,27.9534
Belarus,,1/1/2020,Overcast throughout the day.,snow,0.24,0.0003,0.0011,0.25,snow,36.87,24.63,31.06,0.87,1019.3,0.99,0,31.12,36.87,53.7098,27.9534
Belarus,,1/2/2020,Partly cloudy throughout the day.,clear-day,0.27,0.0,0.0003,0.02,,37.34,29.19,24.06,0.77,1016.4,0.29,0,24.63,37.34,53.7098,27.9534
Belarus,,1/3/2020,Possible drizzle in the morning.,rain,0.3,0.0027,0.0114,0.61,rain,38.13,27.99,30.49,0.87,1006.2,0.75,0,29.34,38.13,53.7098,27.9534
Belarus,,1/4/2020,Overcast throughout the day.,snow,0.33,0.0003,0.0016,0.27,snow,34.9,23.75,26.61,0.84,1016.2,0.91,0,27.19,34.9,53.7098,27.9534
Belarus,,1/5/2020,Foggy overnight.,partly-cloudy-day,0.36,0.0003,0.0018,0.06,snow,31.52,28.73,22.53,0.79,1027.4,0.77,0,23.75,31.52,53.7098,27.9534
Belarus,,1/6/2020,Foggy in the morning and afternoon.,cloudy,0.39,0.0003,0.0012,0.14,snow,33.67,28.09,28.82,0.89,1026.3,0.94,0,29.76,33.67,53.7098,27.9534
Belarus,,1/7/2020,Possible light rain overnight.,rain,0.43,0.0022,0.0258,0.32,rain,31.89,30.9,25.94,0.83,1024.7,0.8,0,27.98,33.52,53.7098,27.9534
Belarus,,1/8/2020,Mostly cloudy throughout the day.,rain,0.46,0.0015,0.0167,0.38,rain,38.4,32.23,32.43,0.9,1019.2,0.9,0,32.53,38.4,53.7098,27.9534
Belarus,,1/9/2020,Light rain in the evening and overnight.,rain,0.5,0.0037,0.0335,0.78,rain,36.42,35.43,32.88,0.93,1014.9,0.99,0,32.23,37.42,53.7098,27.9534
