Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Belgium,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0005,0.16,rain,42.88,33.0,31.0,0.86,1031.6,0.18,1,28.98,42.88,50.8333,4.0
Belgium,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0004,0.001,0.21,rain,43.83,42.84,36.23,0.89,1025.4,0.65,0,33.14,46.22,50.8333,4.0
Belgium,,1/2/2020,Light rain until evening.,rain,0.27,0.0042,0.018000000000000002,0.85,rain,51.99,37.19,43.76,0.87,1020.6,0.99,0,41.59,51.99,50.8333,4.0
Belgium,,1/3/2020,Partly cloudy throughout the day.,rain,0.3,0.0002,0.0007,0.25,rain,48.34,35.27,37.18,0.85,1032.5,0.56,1,37.19,48.34,50.8333,4.0
Belgium,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.33,0.0002,0.0005,0.22,rain,48.37,33.56,37.09,0.86,1035.0,0.66,1,35.0,48.37,50.8333,4.0
Belgium,,1/5/2020,Clear throughout the day.,partly-cloudy-day,0.36,0.0005,0.0105,0.21,rain,47.25,38.57,34.21,0.82,1026.0,0.48,1,33.05,47.25,50.8333,4.0
Belgium,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0002,0.0017,0.23,rain,49.58,44.32,39.87,0.87,1025.7,0.71,1,38.97,49.58,50.8333,4.0
Belgium,,1/7/2020,Light rain in the evening and overnight.,rain,0.43,0.006,0.0184,0.88,rain,54.65,50.21,49.06,0.92,1023.2,0.99,1,46.68,54.65,50.8333,4.0
Belgium,,1/8/2020,Light rain throughout the day.,rain,0.47,0.0145,0.0401,0.99,rain,57.15,45.02,50.35,0.92,1013.8,0.9,1,49.73,57.15,50.8333,4.0
Belgium,,1/9/2020,Possible drizzle in the morning.,rain,0.5,0.0045,0.0277,0.83,rain,48.77,34.87,41.78,0.88,1020.2,0.6,1,38.99,49.82,50.8333,4.0
Belgium,,1/10/2020,Overcast throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.06,rain,48.46,37.63,35.18,0.83,1030.1,0.76,1,34.87,48.46,50.8333,4.0
Belgium,,1/11/2020,Overcast throughout the day.,rain,0.57,0.0011,0.0057,0.3,rain,50.02,40.48,39.37,0.86,1022.1,0.8,1,37.63,50.02,50.8333,4.0
Belgium,,1/12/2020,Light rain overnight.,rain,0.61,0.0003,0.0012,0.26,rain,48.73,47.74,40.64,0.85,1016.0,0.87,1,40.13,49.62,50.8333,4.0
Belgium,,1/13/2020,Light rain and dangerously windy throughout the day.,rain,0.65,0.0079,0.0247,0.97,rain,52.12,49.83,44.14,0.79,1004.5,0.99,1,48.13,53.03,50.8333,4.0
Belgium,,1/14/2020,Possible light rain in the afternoon.,rain,0.69,0.0043,0.0241,0.72,rain,56.32,38.35,43.2,0.76,1010.1,0.66,1,43.02,56.32,50.8333,4.0
Belgium,,1/15/2020,Windy in the evening.,wind,0.72,0.0,0.0002,0.06,,55.68,47.92,40.96,0.83,1021.3,0.2,1,38.35,55.68,50.8333,4.0
Belgium,,1/16/2020,Possible drizzle in the morning and afternoon.,rain,0.76,0.0025,0.0134,0.74,rain,52.09,38.61,42.11,0.8,1015.8,0.83,1,42.2,52.09,50.8333,4.0
Belgium,,1/17/2020,Partly cloudy throughout the day.,rain,0.8,0.0003,0.0016,0.42,rain,48.07,37.09,35.03,0.78,1026.0,0.55,1,37.59,48.07,50.8333,4.0
Belgium,,1/18/2020,Clear throughout the day.,partly-cloudy-day,0.83,0.0003,0.0014,0.23,rain,48.8,33.32,33.93,0.77,1039.4,0.33,1,36.09,48.8,50.8333,4.0
Belgium,,1/19/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.87,0.0001,0.0003,0.11,rain,46.32,28.99,32.68,0.82,1047.2,0.44,1,33.32,46.32,50.8333,4.0
Belgium,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.9,0.0001,0.0002,0.06,rain,40.45,27.07,27.67,0.8,1042.6,0.44,1,27.94,40.45,50.8333,4.0
