Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Benin,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0003,0.04,rain,94.54,62.21,19.66,0.12,1011.8,0.25,10,62.34,94.54,9.3077,2.3158
Benin,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0004,0.04,rain,89.3,57.13,19.6,0.13,1013.5,0.12,9,62.21,89.3,9.3077,2.3158
Benin,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0005,0.02,rain,88.19,57.43,15.85,0.12,1014.4,0.08,10,57.13,88.19,9.3077,2.3158
Benin,,1/3/2020,Partly cloudy throughout the day.,clear-day,0.3,0.0002,0.0004,0.07,rain,92.26,57.91,27.01,0.18,1013.8,0.28,9,57.43,92.26,9.3077,2.3158
Benin,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.33,0.0001,0.0002,0.04,rain,96.07,60.59,36.39,0.24,1012.0,0.33,8,57.91,96.07,9.3077,2.3158
Benin,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.0,0.0,0.0,,95.79,63.39,44.26,0.32,1010.6,0.55,8,60.59,95.79,9.3077,2.3158
Benin,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.06,rain,96.83,66.06,44.21,0.31,1010.6,0.16,10,63.39,96.83,9.3077,2.3158
Benin,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.03,,98.44,68.46,45.04,0.29,1011.7,0.18,9,66.06,98.44,9.3077,2.3158
Benin,,1/8/2020,Partly cloudy throughout the day.,clear-day,0.47,0.0,0.0001,0.01,,100.13,65.26,43.55,0.28,1011.5,0.31,9,68.46,100.13,9.3077,2.3158
Benin,,1/9/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.03,rain,98.94,71.73,52.69,0.37,1011.9,0.58,8,65.26,98.94,9.3077,2.3158
Benin,,1/10/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.54,0.0015,0.0156,0.15,rain,96.76,71.89,66.69,0.58,1012.1,0.5,10,71.73,96.76,9.3077,2.3158
Benin,,1/11/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.57,0.0002,0.002,0.17,rain,96.77,70.98,65.27,0.56,1011.7,0.7,6,71.89,96.77,9.3077,2.3158
Benin,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0004,0.06,rain,100.92,67.83,52.14,0.36,1009.8,0.22,10,70.98,100.92,9.3077,2.3158
