Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Bolivia,,12/31/2019,Light rain and humid throughout the day.,rain,0.19,0.0196,0.0573,0.93,rain,82.3,70.92,76.08,0.98,1008.4,0.98,7,72.15,82.3,-16.2902,-63.5887
Bolivia,,1/1/2020,Light rain and humid throughout the day.,rain,0.22,0.0243,0.0574,0.96,rain,86.95,70.09,75.55,0.94,1009.1,0.97,7,70.92,86.95,-16.2902,-63.5887
Bolivia,,1/2/2020,Light rain in the morning.,rain,0.25,0.0086,0.0336,0.84,rain,90.18,71.91,73.2,0.86,1010.2,0.97,6,70.09,90.18,-16.2902,-63.5887
Bolivia,,1/3/2020,Possible drizzle in the morning.,rain,0.28,0.0064,0.0142,0.73,rain,91.62,73.7,74.19,0.82,1010.6,0.97,6,71.91,91.62,-16.2902,-63.5887
Bolivia,,1/4/2020,Possible drizzle in the morning.,rain,0.31,0.008,0.0374,0.64,rain,92.82,73.36,73.61,0.77,1009.3,0.76,10,73.7,92.82,-16.2902,-63.5887
Bolivia,,1/5/2020,Possible light rain in the morning.,rain,0.34,0.005,0.0172,0.61,rain,91.79,75.75,74.01,0.81,1006.5,0.92,6,73.36,91.79,-16.2902,-63.5887
Bolivia,,1/6/2020,Light rain overnight.,rain,0.37,0.0021,0.0056,0.53,rain,86.21,73.19,74.46,0.83,1004.7,0.95,8,75.96,86.21,-16.2902,-63.5887
Bolivia,,1/7/2020,Rain and humid throughout the day.,rain,0.4,0.0723,0.1439,0.98,rain,79.12,73.14,75.72,0.99,1007.8,0.99,6,73.19,79.12,-16.2902,-63.5887
Bolivia,,1/8/2020,Possible light rain in the morning and afternoon.,rain,0.44,0.0084,0.0238,0.8,rain,88.16,74.61,74.74,0.87,1007.9,0.94,7,73.14,88.16,-16.2902,-63.5887
Bolivia,,1/9/2020,Humid and mostly cloudy throughout the day.,rain,0.47,0.002,0.0105,0.43,rain,89.12,73.98,74.21,0.8,1008.3,0.71,8,74.61,89.12,-16.2902,-63.5887
Bolivia,,1/10/2020,Humid and partly cloudy throughout the day.,rain,0.51,0.0028,0.0168,0.44,rain,92.31,75.12,74.11,0.77,1008.4,0.46,9,74.0,92.31,-16.2902,-63.5887
Bolivia,,1/11/2020,Humid throughout the day.,rain,0.55,0.002,0.0213,0.45,rain,88.1,74.27,75.37,0.85,1009.1,0.85,6,75.12,88.1,-16.2902,-63.5887
Bolivia,,1/12/2020,"Possible light rain until afternoon, starting again overnight.",rain,0.58,0.0069,0.0318,0.78,rain,91.39,73.16,75.32,0.83,1009.6,0.93,6,74.27,91.39,-16.2902,-63.5887
Bolivia,,1/13/2020,"Light rain until afternoon, starting again overnight.",rain,0.62,0.0131,0.0364,0.92,rain,85.82,72.5,75.47,0.93,1010.1,0.85,6,72.81,85.82,-16.2902,-63.5887
Bolivia,,1/14/2020,Possible light rain until evening.,rain,0.66,0.0226,0.0714,0.91,rain,87.2,72.9,76.66,0.95,1009.3,0.79,8,72.5,87.2,-16.2902,-63.5887
Bolivia,,1/15/2020,Humid and partly cloudy throughout the day.,rain,0.69,0.0013,0.0087,0.48,rain,91.23,74.17,74.08,0.8,1009.0,0.54,9,72.9,91.23,-16.2902,-63.5887
Bolivia,,1/16/2020,Possible drizzle overnight.,rain,0.73,0.0013,0.005,0.4,rain,98.52,72.84,73.4,0.7,1011.1,0.35,12,74.55,98.52,-16.2902,-63.5887
Bolivia,,1/17/2020,Possible light rain in the morning.,rain,0.77,0.0041,0.0221,0.67,rain,91.48,74.66,72.83,0.77,1013.4,0.73,7,72.84,91.48,-16.2902,-63.5887
Bolivia,,1/18/2020,Humid and mostly cloudy throughout the day.,rain,0.8,0.0041,0.0262,0.45,rain,93.13,74.95,74.65,0.77,1011.7,0.76,8,74.66,93.13,-16.2902,-63.5887
Bolivia,,1/19/2020,Possible light rain until evening.,rain,0.84,0.0104,0.0584,0.78,rain,93.83,74.1,74.75,0.77,1010.2,0.8,9,74.95,93.83,-16.2902,-63.5887
Bolivia,,1/20/2020,Possible drizzle in the morning.,rain,0.87,0.0026,0.0132,0.64,rain,95.36,75.17,74.07,0.74,1008.6,0.61,9,74.1,95.36,-16.2902,-63.5887
Bolivia,,1/21/2020,Possible light rain in the morning and overnight.,rain,0.91,0.0029,0.0104,0.63,rain,94.31,72.86,74.59,0.74,1006.6,0.71,9,75.17,94.31,-16.2902,-63.5887
Bolivia,,1/22/2020,Rain in the morning and afternoon.,rain,0.94,0.043,0.115,0.92,rain,83.71,72.73,75.43,0.91,1007.9,0.98,6,72.86,83.71,-16.2902,-63.5887
Bolivia,,1/23/2020,Humid and overcast throughout the day.,rain,0.97,0.0018,0.0086,0.31,rain,94.03,74.55,71.59,0.72,1008.0,0.93,6,72.73,94.03,-16.2902,-63.5887
Bolivia,,1/24/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.0,0.0001,0.001,0.11,rain,95.16,72.27,70.69,0.66,1008.2,0.53,8,74.55,95.16,-16.2902,-63.5887
Bolivia,,1/25/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.04,0.0004,0.0019,0.18,rain,97.61,74.95,71.64,0.66,1008.8,0.58,6,72.27,97.61,-16.2902,-63.5887
Bolivia,,1/26/2020,Humid and partly cloudy throughout the day.,rain,0.07,0.005,0.023,0.39,rain,99.91,76.5,74.43,0.71,1007.8,0.53,14,74.95,99.91,-16.2902,-63.5887
Bolivia,,1/27/2020,Possible light rain in the evening.,rain,0.1,0.0064,0.0304,0.58,rain,97.05,72.85,75.34,0.77,1008.4,0.56,10,76.5,97.05,-16.2902,-63.5887
