Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Bosnia and Herzegovina,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.08,snow,28.75,12.98,16.69,0.85,1032.7,0.08,1,15.52,28.75,43.9159,17.6791
Bosnia and Herzegovina,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.09,snow,33.38,22.21,8.94,0.57,1033.4,0.03,1,12.98,33.38,43.9159,17.6791
Bosnia and Herzegovina,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.01,snow,41.8,24.21,7.69,0.39,1027.6,0.0,1,22.21,41.8,43.9159,17.6791
Bosnia and Herzegovina,,1/3/2020,Snow (1–2 in.) overnight.,partly-cloudy-day,0.3,0.0002,0.0038,0.16,snow,35.09,18.13,13.94,0.61,1023.8,0.71,1,23.28,35.09,43.9159,17.6791
Bosnia and Herzegovina,,1/4/2020,Possible light snow (2–5 in.) in the morning.,snow,0.33,0.0107,0.0266,0.69,snow,19.53,11.23,16.59,0.97,1027.7,0.89,1,12.95,24.59,43.9159,17.6791
Bosnia and Herzegovina,,1/5/2020,Foggy in the morning.,partly-cloudy-day,0.36,0.0008,0.0048,0.1,snow,20.4,10.37,9.99,0.84,1031.5,0.53,1,10.77,20.4,43.9159,17.6791
Bosnia and Herzegovina,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.1,snow,29.87,14.27,5.06,0.55,1028.9,0.09,1,10.77,29.87,43.9159,17.6791
Bosnia and Herzegovina,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.02,,29.12,17.78,14.21,0.78,1031.9,0.01,1,14.25,29.12,43.9159,17.6791
Bosnia and Herzegovina,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0,0.0,,35.72,21.22,7.35,0.46,1028.7,0.04,1,17.78,35.72,43.9159,17.6791
Bosnia and Herzegovina,,1/9/2020,Clear throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.03,snow,38.36,22.46,13.06,0.55,1025.0,0.33,1,21.22,38.36,43.9159,17.6791
Bosnia and Herzegovina,,1/10/2020,Foggy in the afternoon.,snow,0.54,0.0009,0.0039,0.31,snow,33.37,16.37,23.48,0.92,1028.5,0.91,1,22.18,33.37,43.9159,17.6791
Bosnia and Herzegovina,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0006,0.12,snow,29.55,19.08,20.6,0.95,1029.1,0.31,1,16.37,29.55,43.9159,17.6791
Bosnia and Herzegovina,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0,0.0002,0.03,,36.55,23.05,22.63,0.85,1027.1,0.0,2,20.71,36.55,43.9159,17.6791
