Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Brazil,,12/31/2019,Light rain until evening.,rain,0.19,0.0295,0.0718,0.93,rain,88.69,70.31,74.37,0.87,1008.6,0.9,6,71.04,88.69,-14.235,-51.9253
Brazil,,1/1/2020,Rain starting in the afternoon.,rain,0.22,0.0201,0.175,0.77,rain,91.93,69.17,72.48,0.81,1008.8,0.91,8,70.31,91.93,-14.235,-51.9253
Brazil,,1/2/2020,Light rain in the morning and overnight.,rain,0.25,0.0164,0.1424,0.89,rain,86.34,70.91,72.39,0.86,1009.9,1.0,6,69.17,86.34,-14.235,-51.9253
Brazil,,1/3/2020,Possible light rain in the morning.,rain,0.28,0.0082,0.0298,0.76,rain,86.66,71.75,73.4,0.87,1010.0,0.91,6,70.91,86.66,-14.235,-51.9253
Brazil,,1/4/2020,Light rain in the morning and afternoon.,rain,0.31,0.0128,0.0429,0.83,rain,79.47,70.61,73.54,0.95,1009.6,0.99,6,71.75,79.47,-14.235,-51.9253
Brazil,,1/5/2020,Light rain and humid throughout the day.,rain,0.34,0.0183,0.0462,0.89,rain,76.65,71.26,73.11,0.99,1009.7,0.94,7,70.61,76.65,-14.235,-51.9253
Brazil,,1/6/2020,Light rain until evening.,rain,0.37,0.0119,0.0477,0.89,rain,83.64,70.52,74.3,0.94,1010.6,0.98,7,71.26,83.64,-14.235,-51.9253
Brazil,,1/7/2020,Possible light rain in the afternoon and evening.,rain,0.4,0.0035,0.0216,0.6,rain,85.8,70.54,73.65,0.89,1011.9,0.96,6,70.52,85.8,-14.235,-51.9253
Brazil,,1/8/2020,"Possible light rain until afternoon, starting again overnight.",rain,0.44,0.009000000000000001,0.0296,0.78,rain,87.81,72.12,72.89,0.84,1011.8,0.88,8,70.54,87.81,-14.235,-51.9253
Brazil,,1/9/2020,Possible light rain in the morning and afternoon.,rain,0.47,0.0099,0.0386,0.82,rain,84.78,68.76,74.05,0.88,1012.4,0.84,8,72.12,84.78,-14.235,-51.9253
