Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Brunei,,12/31/2019,Rain starting in the afternoon.,rain,0.2,0.0302,0.1871,0.81,rain,91.48,72.15,76.88,0.91,1011.6,0.91,6,73.52,91.48,4.5353,114.7277
Brunei,,1/1/2020,Possible light rain in the evening and overnight.,rain,0.23,0.0038,0.0229,0.58,rain,90.31,73.44,76.21,0.89,1012.2,0.79,7,72.15,90.31,4.5353,114.7277
Brunei,,1/2/2020,Rain and humid throughout the day.,rain,0.26,0.0178,0.1984,0.78,rain,84.96,72.66,76.78,0.93,1011.2,0.93,6,73.41,84.96,4.5353,114.7277
Brunei,,1/3/2020,Possible light rain in the evening.,rain,0.29,0.0066,0.1123,0.83,rain,87.14,74.55,75.87,0.91,1009.1,0.9,6,72.66,87.14,4.5353,114.7277
Brunei,,1/4/2020,Humid and overcast throughout the day.,rain,0.32,0.0023,0.015,0.53,rain,90.53,73.88,76.18,0.87,1009.1,0.88,6,74.81,90.53,4.5353,114.7277
Brunei,,1/5/2020,Humid and partly cloudy throughout the day.,rain,0.35,0.0009,0.0036,0.49,rain,91.69,74.58,76.57,0.87,1009.7,0.66,11,73.88,91.69,4.5353,114.7277
Brunei,,1/6/2020,Humid and mostly cloudy throughout the day.,rain,0.39,0.0017,0.008,0.59,rain,91.76,73.96,76.32,0.86,1009.9,0.8,7,74.58,91.76,4.5353,114.7277
Brunei,,1/7/2020,Possible light rain starting in the afternoon.,rain,0.42,0.011000000000000001,0.0784,0.72,rain,91.37,73.53,76.59,0.9,1009.2,0.91,6,73.96,91.37,4.5353,114.7277
Brunei,,1/8/2020,Humid and mostly cloudy throughout the day.,rain,0.45,0.0023,0.0144,0.58,rain,89.69,74.31,76.23,0.88,1008.5,0.77,7,73.53,89.69,4.5353,114.7277
Brunei,,1/9/2020,Rain and humid throughout the day.,rain,0.49,0.0331,0.1111,0.91,rain,88.35,72.92,77.56,0.96,1008.0,0.75,8,74.31,88.35,4.5353,114.7277
Brunei,,1/10/2020,Rain and humid throughout the day.,rain,0.53,0.0364,0.1367,0.96,rain,83.17,72.82,75.96,0.99,1008.7,0.99,6,72.92,83.17,4.5353,114.7277
Brunei,,1/11/2020,Light rain and humid throughout the day.,rain,0.56,0.0214,0.0514,0.99,rain,82.82,72.2,75.73,0.99,1009.1,1.0,6,72.82,82.82,4.5353,114.7277
Brunei,,1/12/2020,Light rain in the morning and overnight.,rain,0.6,0.0107,0.0564,0.94,rain,84.05,73.26,76.13,0.96,1008.8,0.99,6,72.2,84.05,4.5353,114.7277
Brunei,,1/13/2020,Light rain and humid throughout the day.,rain,0.64,0.0139,0.0342,0.94,rain,80.81,72.72,76.41,1.0,1009.6,0.96,6,73.26,80.81,4.5353,114.7277
Brunei,,1/14/2020,Possible light rain and humid throughout the day.,rain,0.68,0.0068,0.0323,0.88,rain,87.84,73.51,77.12,0.95,1010.0,0.86,8,72.72,87.84,4.5353,114.7277
Brunei,,1/15/2020,Rain and humid throughout the day.,rain,0.71,0.034,0.1434,0.96,rain,87.5,73.17,78.09,0.98,1010.3,0.84,8,73.51,87.5,4.5353,114.7277
Brunei,,1/16/2020,Light rain and humid throughout the day.,rain,0.75,0.0157,0.0631,0.95,rain,87.66,72.48,76.6,0.93,1011.5,0.88,8,73.17,87.66,4.5353,114.7277
Brunei,,1/17/2020,Possible drizzle and humid throughout the day.,rain,0.79,0.0022,0.013000000000000001,0.71,rain,89.94,74.13,76.68,0.9,1011.0,0.83,9,72.48,89.94,4.5353,114.7277
Brunei,,1/18/2020,Possible light rain until evening.,rain,0.82,0.0079,0.0349,0.81,rain,89.8,74.43,78.34,0.95,1010.8,0.89,8,74.13,89.8,4.5353,114.7277
Brunei,,1/19/2020,Humid and mostly cloudy throughout the day.,rain,0.86,0.0018,0.0079,0.36,rain,91.56,73.47,76.74,0.87,1011.4,0.78,7,74.43,91.56,4.5353,114.7277
Brunei,,1/20/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.89,0.0017,0.0139,0.14,rain,92.8,73.14,75.8,0.85,1012.5,0.52,9,73.47,92.8,4.5353,114.7277
Brunei,,1/21/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.92,0.0011,0.0071,0.17,rain,91.73,72.39,75.24,0.84,1011.9,0.55,9,73.14,91.73,4.5353,114.7277
Brunei,,1/22/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.96,0.0002,0.0015,0.07,rain,91.77,72.9,73.79,0.81,1010.7,0.37,9,72.39,91.77,4.5353,114.7277
