Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Bulgaria,,12/31/2019,Clear throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.15,snow,29.56,18.31,21.71,0.87,1026.0,0.51,1,20.78,33.86,42.7339,25.4858
Bulgaria,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.18,snow,28.19,20.68,20.32,0.91,1031.0,0.35,1,18.31,28.19,42.7339,25.4858
Bulgaria,,1/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.27,0.0,0.0003,0.01,,37.24,29.76,20.58,0.73,1025.6,0.37,1,21.09,37.24,42.7339,25.4858
Bulgaria,,1/3/2020,Clear throughout the day.,partly-cloudy-day,0.3,0.0002,0.0003,0.12,snow,40.92,25.16,21.74,0.61,1017.8,0.32,1,30.07,40.92,42.7339,25.4858
Bulgaria,,1/4/2020,Snow (2–4 in.) in the afternoon and evening.,snow,0.33,0.0084,0.028999999999999998,0.54,snow,27.11,18.91,24.55,0.94,1016.9,0.99,1,21.72,33.14,42.7339,25.4858
Bulgaria,,1/5/2020,Foggy throughout the day.,snow,0.36,0.0098,0.0186,0.5,snow,23.73,15.85,19.35,0.94,1025.0,0.92,1,17.24,23.73,42.7339,25.4858
Bulgaria,,1/6/2020,Foggy in the morning.,partly-cloudy-day,0.39,0.0002,0.0016,0.12,snow,23.33,17.24,14.34,0.83,1027.4,0.36,1,15.8,23.33,42.7339,25.4858
Bulgaria,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.02,,27.71,19.09,14.96,0.77,1030.8,0.01,1,17.36,27.71,42.7339,25.4858
Bulgaria,,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.46,0.0,0.0,0.0,,35.95,23.59,16.82,0.67,1028.3,0.38,1,19.09,35.95,42.7339,25.4858
Bulgaria,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0004,0.05,snow,41.8,32.47,23.66,0.71,1023.9,0.13,2,23.59,41.8,42.7339,25.4858
Bulgaria,,1/10/2020,Foggy overnight.,partly-cloudy-day,0.54,0.0001,0.0012,0.07,snow,44.84,28.31,30.17,0.8,1023.1,0.41,2,31.26,44.84,42.7339,25.4858
Bulgaria,,1/11/2020,Possible light snow (< 1 in.) in the morning.,snow,0.57,0.0039,0.0151,0.66,snow,34.44,26.22,29.95,0.98,1029.1,0.84,1,27.24,34.44,42.7339,25.4858
Bulgaria,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.03,snow,41.15,27.32,29.01,0.93,1027.8,0.13,1,25.67,41.15,42.7339,25.4858
Bulgaria,,1/13/2020,Partly cloudy throughout the day.,clear-day,0.65,0.0,0.0,0.0,,41.18,28.83,28.86,0.88,1025.9,0.29,1,27.32,41.18,42.7339,25.4858
Bulgaria,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.02,,43.84,25.89,28.69,0.84,1029.1,0.1,2,28.83,43.84,42.7339,25.4858
Bulgaria,,1/15/2020,Partly cloudy throughout the day.,clear-day,0.72,0.0001,0.0002,0.07,snow,39.5,23.59,27.86,0.93,1029.5,0.31,1,25.77,39.5,42.7339,25.4858
Bulgaria,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.0004,0.0011,0.05,snow,32.65,20.2,23.99,0.91,1031.2,0.41,2,23.08,32.65,42.7339,25.4858
Bulgaria,,1/17/2020,Clear throughout the day.,clear-day,0.79,0.0,0.0002,0.04,,34.0,20.7,20.77,0.84,1028.8,0.19,2,20.2,34.0,42.7339,25.4858
Bulgaria,,1/18/2020,Foggy overnight.,partly-cloudy-day,0.83,0.0004,0.0025,0.06,snow,29.0,19.54,20.97,0.9,1027.6,0.69,1,20.7,29.0,42.7339,25.4858
Bulgaria,,1/19/2020,Foggy in the morning.,partly-cloudy-day,0.86,0.0012,0.003,0.16,snow,27.6,20.12,19.81,0.9,1039.5,0.65,1,19.54,27.6,42.7339,25.4858
Bulgaria,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0001,0.0002,0.06,snow,33.84,23.64,20.14,0.79,1040.6,0.23,2,20.12,33.84,42.7339,25.4858
Bulgaria,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0,0.0001,0.01,,42.94,23.0,11.89,0.46,1029.2,0.14,2,23.64,42.94,42.7339,25.4858
Bulgaria,,1/22/2020,Partly cloudy throughout the day.,clear-day,0.96,0.0001,0.0002,0.05,rain,31.66,22.05,16.74,0.66,1028.8,0.2,2,22.92,38.76,42.7339,25.4858
Bulgaria,,1/23/2020,Clear throughout the day.,clear-day,1.0,0.0,0.0002,0.02,,36.82,27.66,17.04,0.63,1031.5,0.04,2,22.05,36.82,42.7339,25.4858
Bulgaria,,1/24/2020,Clear throughout the day.,clear-day,0.03,0.0001,0.0003,0.02,snow,47.17,30.68,10.68,0.37,1024.1,0.06,2,27.8,47.17,42.7339,25.4858
Bulgaria,,1/25/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.06,0.0001,0.0003,0.05,snow,47.58,30.88,28.68,0.72,1022.9,0.54,2,30.68,47.58,42.7339,25.4858
Bulgaria,,1/26/2020,Foggy overnight.,rain,0.09,0.0001,0.0007,0.28,rain,43.61,28.95,34.13,0.93,1016.8,0.99,2,30.88,43.61,42.7339,25.4858
Bulgaria,,1/27/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.12,0.0001,0.0007,0.19,snow,42.61,31.77,31.06,0.88,1013.1,0.67,2,28.95,42.61,42.7339,25.4858
Bulgaria,,1/28/2020,Foggy overnight.,partly-cloudy-day,0.15,0.0007,0.0073,0.13,snow,40.59,25.27,29.17,0.81,1009.1,0.76,1,30.86,40.59,42.7339,25.4858
Bulgaria,,1/29/2020,Clear throughout the day.,snow,0.18,0.0027,0.0148,0.44,snow,33.49,24.14,23.76,0.81,1015.6,0.52,2,25.18,34.35,42.7339,25.4858
Bulgaria,,1/30/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0002,0.003,0.07,snow,43.63,37.64,18.77,0.56,1016.2,0.43,2,24.14,43.63,42.7339,25.4858
Bulgaria,,1/31/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0002,0.002,0.12,rain,49.2,36.81,37.08,0.81,1014.9,0.57,2,38.65,49.2,42.7339,25.4858
Bulgaria,,2/1/2020,Partly cloudy throughout the day.,clear-day,0.27,0.0001,0.0002,0.05,rain,52.03,37.75,37.48,0.82,1015.5,0.27,2,36.81,52.03,42.7339,25.4858
Bulgaria,,2/2/2020,Overcast throughout the day.,cloudy,0.3,0.0002,0.0011,0.11,rain,53.3,35.91,34.25,0.69,1011.6,0.95,2,37.75,53.3,42.7339,25.4858
