Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Cambodia,,12/31/2019,Mostly cloudy throughout the day.,partly-cloudy-day,0.2,0.0001,0.0003,0.06,rain,94.74,73.42,66.66,0.59,1015.2,0.75,5,72.42,94.74,11.55,104.9167
Cambodia,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.23,0.0001,0.0004,0.06,rain,93.73,73.81,67.72,0.61,1015.5,0.47,9,73.42,93.73,11.55,104.9167
Cambodia,,1/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.26,0.0,0.0,0.0,,94.11,71.44,67.72,0.62,1014.2,0.82,5,73.81,94.11,11.55,104.9167
Cambodia,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.29,0.0002,0.0005,0.08,rain,92.52,68.42,66.28,0.61,1012.7,0.74,6,71.44,92.52,11.55,104.9167
Cambodia,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.32,0.0001,0.0004,0.07,rain,94.18,67.54,63.23,0.59,1012.5,0.48,9,68.42,94.18,11.55,104.9167
Cambodia,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.35,0.0,0.0002,0.02,,95.05,69.98,64.94,0.63,1012.7,0.36,8,67.54,95.05,11.55,104.9167
Cambodia,,1/6/2020,Humid throughout the day.,partly-cloudy-day,0.39,0.0001,0.0002,0.08,rain,93.48,74.88,67.56,0.64,1011.7,0.38,9,69.98,93.48,11.55,104.9167
Cambodia,,1/7/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.42,0.0,0.0005,0.05,,93.94,73.15,71.54,0.68,1011.3,0.73,7,74.88,93.94,11.55,104.9167
Cambodia,,1/8/2020,Clear throughout the day.,partly-cloudy-day,0.46,0.0,0.0001,0.04,,95.41,73.49,68.46,0.61,1010.4,0.35,9,72.59,95.41,11.55,104.9167
Cambodia,,1/9/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.49,0.0001,0.0004,0.04,rain,95.83,73.67,69.86,0.64,1009.9,0.52,8,73.49,95.83,11.55,104.9167
Cambodia,,1/10/2020,Humid and overcast throughout the day.,cloudy,0.53,0.001,0.0051,0.22,rain,93.32,73.61,72.25,0.73,1010.2,0.93,5,73.67,93.32,11.55,104.9167
Cambodia,,1/11/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.57,0.0005,0.0041,0.09,rain,92.4,73.15,72.55,0.74,1010.2,0.72,7,73.61,92.4,11.55,104.9167
Cambodia,,1/12/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.6,0.0001,0.0005,0.09,rain,93.5,69.02,68.53,0.67,1010.3,0.38,8,73.15,93.5,11.55,104.9167
Cambodia,,1/13/2020,Clear throughout the day.,clear-day,0.64,0.0,0.0,0.0,,93.86,67.53,63.39,0.59,1011.4,0.09,10,69.02,93.86,11.55,104.9167
Cambodia,,1/14/2020,Clear throughout the day.,clear-day,0.68,0.0,0.0001,0.01,,92.63,68.87,65.73,0.66,1011.9,0.01,10,67.99,92.63,11.55,104.9167
Cambodia,,1/15/2020,Clear throughout the day.,clear-day,0.71,0.0001,0.0002,0.05,rain,94.5,68.86,66.21,0.64,1012.3,0.03,10,68.87,94.5,11.55,104.9167
Cambodia,,1/16/2020,Humid throughout the day.,clear-day,0.75,0.0001,0.0004,0.05,rain,95.41,70.39,66.44,0.63,1012.5,0.18,11,68.86,95.41,11.55,104.9167
