Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Canada,Alberta,12/31/2019,Partly cloudy throughout the day.,wind,0.19,0.0009,0.0036,0.13,snow,36.62,20.58,24.79,0.75,999.3,0.71,0,27.96,36.62,53.9333,-116.5765
Canada,Alberta,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.22,0.0007,0.0029,0.15,snow,31.02,17.62,23.81,0.9,995.4,0.76,0,20.48,31.02,53.9333,-116.5765
Canada,Alberta,1/2/2020,Windy in the morning and afternoon.,wind,0.25,0.0008,0.0048,0.13,snow,21.48,11.51,7.26,0.59,1008.7,0.42,0,12.58,28.82,53.9333,-116.5765
Canada,Alberta,1/3/2020,Foggy in the morning.,cloudy,0.28,0.0086,0.0373,0.23,snow,23.22,19.63,12.44,0.8,1007.7,0.97,0,11.51,23.28,53.9333,-116.5765
Canada,Alberta,1/4/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.31,0.0014,0.0109,0.13,snow,30.98,16.26,15.91,0.71,1004.0,0.61,0,19.25,30.98,53.9333,-116.5765
Canada,Alberta,1/5/2020,Windy overnight.,wind,0.34,0.0005,0.003,0.06,snow,32.66,9.0,11.45,0.62,1011.8,0.4,0,16.26,32.66,53.9333,-116.5765
Canada,Alberta,1/6/2020,Foggy in the morning.,wind,0.37,0.0013,0.0047,0.15,snow,20.97,5.19,7.75,0.75,1019.1,0.47,0,9.18,20.97,53.9333,-116.5765
Canada,Alberta,1/7/2020,Foggy starting in the afternoon.,partly-cloudy-day,0.41,0.0062,0.0288,0.14,snow,16.27,0.97,5.25,0.82,1018.0,0.84,0,5.19,16.27,53.9333,-116.5765
Canada,Alberta,1/8/2020,Foggy until evening.,fog,0.44,0.0047,0.0137,0.13,snow,4.43,-11.03,-6.03,0.76,1012.4,0.83,0,-9.68,9.05,53.9333,-116.5765
Canada,Alberta,1/9/2020,Foggy in the morning.,partly-cloudy-day,0.48,0.0003,0.0011,0.08,snow,2.54,-10.99,-13.31,0.72,1026.9,0.63,0,-11.03,2.54,53.9333,-116.5765
Canada,Alberta,1/10/2020,Foggy starting in the afternoon.,partly-cloudy-day,0.51,0.003,0.0108,0.08,snow,5.12,-13.71,-13.98,0.63,1018.6,0.78,0,-11.08,5.12,53.9333,-116.5765
Canada,Alberta,1/11/2020,Foggy starting in the afternoon.,partly-cloudy-day,0.55,0.004,0.0136,0.13,snow,-5.6,-25.17,-20.8,0.61,1020.4,0.82,0,-17.98,-5.6,53.9333,-116.5765
Canada,Alberta,1/12/2020,"Foggy until morning, starting again in the evening.",partly-cloudy-day,0.59,0.0006,0.0022,0.17,snow,-16.45,-25.68,-32.58,0.53,1030.5,0.77,0,-25.19,-16.45,53.9333,-116.5765
Canada,Alberta,1/13/2020,Foggy in the morning.,partly-cloudy-day,0.62,0.0007,0.0017,0.16,snow,-20.93,-33.36,-35.08,0.56,1032.4,0.8,0,-30.6,-20.93,53.9333,-116.5765
Canada,Alberta,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.66,0.0001,0.0003,0.08,snow,-21.86,-37.06,-41.39,0.5,1034.2,0.52,0,-33.36,-21.86,53.9333,-116.5765
Canada,Alberta,1/15/2020,Foggy overnight.,partly-cloudy-day,0.7,0.0001,0.0002,0.08,snow,-21.13,-28.73,-44.73,0.43,1040.0,0.33,0,-37.06,-21.13,53.9333,-116.5765
Canada,Alberta,1/16/2020,Foggy throughout the day.,cloudy,0.74,0.0009,0.0041,0.1,snow,-16.11,-24.99,-36.96,0.46,1032.8,0.95,0,-28.25,-16.11,53.9333,-116.5765
Canada,Alberta,1/17/2020,Foggy in the morning.,partly-cloudy-day,0.77,0.0022,0.0126,0.14,snow,-14.55,-26.72,-33.74,0.5,1036.5,0.69,0,-24.99,-14.55,53.9333,-116.5765
Canada,Alberta,1/18/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.81,0.0003,0.0007,0.1,snow,-3.74,-11.09,-31.08,0.45,1039.9,0.58,0,-26.72,-3.74,53.9333,-116.5765
Canada,Alberta,1/19/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.84,0.0002,0.0016,0.08,snow,30.47,23.24,0.01,0.61,1026.4,0.71,0,-11.09,30.47,53.9333,-116.5765
Canada,Alberta,1/20/2020,Overcast throughout the day.,partly-cloudy-day,0.88,0.0001,0.0002,0.03,snow,42.45,15.48,22.51,0.68,1010.0,0.66,0,23.44,42.45,53.9333,-116.5765
Canada,Alberta,1/21/2020,Clear throughout the day.,partly-cloudy-day,0.91,0.0014,0.015,0.09,snow,34.18,22.41,16.89,0.74,1006.6,0.32,0,15.47,34.18,53.9333,-116.5765
Canada,Alberta,1/22/2020,Clear throughout the day.,partly-cloudy-day,0.94,0.0013,0.0137,0.16,snow,34.63,16.91,19.95,0.77,1009.6,0.42,0,20.69,34.63,53.9333,-116.5765
Canada,Alberta,1/23/2020,Overcast throughout the day.,partly-cloudy-day,0.98,0.0004,0.0029,0.1,snow,37.0,25.77,17.91,0.7,1009.7,0.65,0,16.91,37.0,53.9333,-116.5765
Canada,Alberta,1/24/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.01,0.0009,0.0063,0.16,snow,38.34,22.88,24.58,0.81,1007.0,0.46,1,25.77,38.34,53.9333,-116.5765
Canada,Alberta,1/25/2020,Clear throughout the day.,clear-day,0.04,0.0001,0.0003,0.11,snow,36.88,13.8,21.64,0.77,1012.9,0.06,1,21.14,36.88,53.9333,-116.5765
Canada,Alberta,1/26/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.07,0.0001,0.0003,0.02,snow,28.99,19.42,13.82,0.73,1014.4,0.34,1,13.8,28.99,53.9333,-116.5765
Canada,Alberta,1/27/2020,Mostly cloudy throughout the day.,clear-day,0.1,0.0001,0.0003,0.07,snow,35.4,12.55,18.01,0.71,1013.8,0.29,1,19.42,35.4,53.9333,-116.5765
Canada,Alberta,1/28/2020,Partly cloudy throughout the day.,clear-day,0.13,0.0001,0.0003,0.12,snow,30.14,16.12,13.87,0.75,1016.0,0.19,1,12.55,30.14,53.9333,-116.5765
Canada,Alberta,1/29/2020,Windy overnight.,partly-cloudy-day,0.16,0.0006,0.0039,0.16,snow,36.12,22.68,16.21,0.68,1010.2,0.63,1,16.12,36.12,53.9333,-116.5765
Canada,Alberta,1/30/2020,Dangerously windy in the evening and overnight.,wind,0.19,0.0001,0.0004,0.09,snow,35.13,23.62,17.04,0.6,1011.9,0.31,1,22.67,35.13,53.9333,-116.5765
Canada,Alberta,1/31/2020,Windy overnight.,snow,0.22,0.0053,0.0269,0.28,snow,34.28,27.53,21.27,0.73,1006.0,0.64,1,23.54,34.28,53.9333,-116.5765
Canada,Alberta,2/1/2020,Windy until evening.,snow,0.25,0.0013,0.0119,0.27,snow,36.55,11.54,19.69,0.68,997.4,0.57,1,16.87,37.56,53.9333,-116.5765
Canada,Alberta,2/2/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.28,0.0026,0.0094,0.23,snow,21.48,0.39,7.83,0.71,1016.1,0.47,1,9.05,21.48,53.9333,-116.5765
Canada,Alberta,2/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.32,0.0002,0.0008,0.15,snow,15.57,5.77,0.73,0.73,1025.8,0.52,1,0.39,15.57,53.9333,-116.5765
Canada,Alberta,2/4/2020,Overcast throughout the day.,partly-cloudy-day,0.35,0.0005,0.0017,0.14,snow,28.19,18.12,6.8,0.62,1013.5,0.61,1,5.77,28.19,53.9333,-116.5765
Canada,Alberta,2/5/2020,Mostly cloudy throughout the day.,snow,0.38,0.0018,0.0108,0.29,snow,31.85,22.26,18.96,0.75,1004.0,0.73,1,18.12,31.85,53.9333,-116.5765
Canada,Alberta,2/6/2020,Clear throughout the day.,partly-cloudy-day,0.42,0.0004,0.0018,0.23,snow,30.95,16.29,17.28,0.7,1009.3,0.37,1,21.62,30.95,53.9333,-116.5765
Canada,Alberta,2/7/2020,Clear throughout the day.,partly-cloudy-day,0.46,0.0003,0.0014,0.14,snow,28.9,11.79,11.98,0.66,1013.0,0.37,1,16.29,28.9,53.9333,-116.5765
Canada,Alberta,2/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.49,0.0002,0.0006,0.18,snow,25.92,18.23,11.98,0.77,1019.2,0.51,1,11.79,25.92,53.9333,-116.5765
Canada,Alberta,2/9/2020,Windy in the morning.,snow,0.53,0.0007,0.0025,0.29,snow,31.17,17.6,14.41,0.64,1018.5,0.68,1,18.23,31.17,53.9333,-116.5765
Canada,Alberta,2/10/2020,Clear throughout the day.,partly-cloudy-day,0.57,0.0002,0.0007,0.1,snow,33.35,26.08,14.64,0.66,1022.5,0.34,1,17.6,33.35,53.9333,-116.5765
Canada,Alberta,2/11/2020,Snow (3–6 in.) in the morning and afternoon.,snow,0.61,0.0143,0.0335,0.68,snow,31.7,3.79,20.69,0.85,1013.4,0.97,1,11.33,31.7,53.9333,-116.5765
