Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Central African Republic,,12/31/2019,Overcast throughout the day.,cloudy,0.21,0.0001,0.0003,0.04,rain,100.65,65.61,28.65,0.16,1008.9,1.0,6,66.01,100.65,6.6111,20.9394
Central African Republic,,1/1/2020,Overcast throughout the day.,cloudy,0.24,0.0001,0.0004,0.05,rain,96.59,64.07,31.03,0.17,1010.0,0.98,6,65.61,96.59,6.6111,20.9394
Central African Republic,,1/2/2020,Overcast throughout the day.,cloudy,0.27,0.0001,0.0005,0.02,rain,96.22,63.21,33.6,0.2,1011.3,1.0,6,64.07,96.22,6.6111,20.9394
Central African Republic,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.3,0.0002,0.0003,0.07,rain,98.31,67.07,37.9,0.23,1010.8,0.56,10,63.21,98.31,6.6111,20.9394
Central African Republic,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.33,0.0001,0.0003,0.05,rain,97.07,65.69,40.92,0.25,1011.0,0.4,8,67.07,97.07,6.6111,20.9394
Central African Republic,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.0,0.0,0.0,,96.88,66.45,40.26,0.27,1010.5,0.51,7,66.16,96.88,6.6111,20.9394
Central African Republic,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.0002,0.06,rain,98.15,67.91,44.96,0.29,1010.2,0.53,10,66.43,98.15,6.6111,20.9394
Central African Republic,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.03,,100.4,70.93,42.65,0.26,1010.1,0.29,10,67.92,100.4,6.6111,20.9394
Central African Republic,,1/8/2020,Partly cloudy throughout the day.,clear-day,0.47,0.0,0.0001,0.01,,99.15,67.59,36.84,0.2,1010.4,0.3,10,70.93,99.15,6.6111,20.9394
Central African Republic,,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.04,rain,99.05,61.99,33.69,0.19,1011.4,0.64,6,67.59,99.05,6.6111,20.9394
Central African Republic,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.02,rain,98.11,59.73,23.58,0.15,1012.2,0.23,11,61.99,98.11,6.6111,20.9394
Central African Republic,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.02,rain,95.54,57.89,17.97,0.13,1012.8,0.06,11,59.73,95.54,6.6111,20.9394
Central African Republic,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0004,0.02,rain,97.46,59.66,14.27,0.11,1011.5,0.01,11,57.89,97.46,6.6111,20.9394
Central African Republic,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,99.22,63.5,22.82,0.14,1010.0,0.01,12,59.66,99.22,6.6111,20.9394
Central African Republic,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.01,,102.07,65.46,31.21,0.17,1009.0,0.0,12,63.5,102.07,6.6111,20.9394
Central African Republic,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0,0.0002,0.04,,102.72,63.53,32.66,0.19,1009.0,0.15,11,65.46,102.72,6.6111,20.9394
Central African Republic,,1/16/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.05,rain,101.52,65.86,29.84,0.17,1009.9,0.5,8,63.53,101.52,6.6111,20.9394
Central African Republic,,1/17/2020,Clear throughout the day.,clear-day,0.8,0.0,0.0002,0.04,,101.23,64.74,28.59,0.15,1010.5,0.27,10,65.86,101.23,6.6111,20.9394
Central African Republic,,1/18/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0001,0.01,,98.37,64.23,29.43,0.16,1011.0,0.21,12,64.74,98.37,6.6111,20.9394
Central African Republic,,1/19/2020,Clear throughout the day.,clear-day,0.87,0.0,0.0002,0.03,,99.19,62.45,28.32,0.16,1011.2,0.22,11,64.23,99.19,6.6111,20.9394
Central African Republic,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0001,0.0002,0.02,rain,98.07,62.31,19.51,0.11,1011.2,0.25,10,62.45,98.07,6.6111,20.9394
Central African Republic,,1/21/2020,Clear throughout the day.,partly-cloudy-day,0.93,0.0,0.0001,0.01,,98.08,60.28,19.36,0.11,1011.2,0.44,10,62.31,98.08,6.6111,20.9394
Central African Republic,,1/22/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.97,0.0001,0.0002,0.01,rain,95.67,58.7,14.94,0.1,1011.9,0.4,9,60.28,95.67,6.6111,20.9394
Central African Republic,,1/23/2020,Clear throughout the day.,clear-day,1.0,0.0001,0.0002,0.01,rain,95.54,58.84,14.24,0.1,1012.8,0.26,9,58.7,95.54,6.6111,20.9394
Central African Republic,,1/24/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.03,0.0001,0.0003,0.03,rain,95.73,60.68,16.74,0.11,1013.2,0.65,9,58.84,95.73,6.6111,20.9394
Central African Republic,,1/25/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.06,0.0001,0.0004,0.04,rain,98.63,60.31,24.84,0.14,1011.9,0.69,11,60.68,98.63,6.6111,20.9394
Central African Republic,,1/26/2020,Clear throughout the day.,clear-day,0.09,0.0001,0.0004,0.06,rain,99.44,62.21,30.72,0.19,1011.3,0.15,12,60.31,99.44,6.6111,20.9394
Central African Republic,,1/27/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.12,0.0,0.0002,0.02,,99.95,62.26,25.69,0.15,1010.8,0.42,11,62.21,99.95,6.6111,20.9394
Central African Republic,,1/28/2020,Clear throughout the day.,clear-day,0.15,0.0001,0.0003,0.06,rain,101.35,61.69,20.04,0.11,1010.8,0.15,12,62.26,101.35,6.6111,20.9394
Central African Republic,,1/29/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.18,0.0001,0.0003,0.06,rain,101.45,64.53,22.41,0.13,1011.4,0.53,9,61.69,101.45,6.6111,20.9394
Central African Republic,,1/30/2020,Clear throughout the day.,partly-cloudy-day,0.21,0.0001,0.0003,0.05,rain,101.87,60.91,21.03,0.12,1011.5,0.47,12,64.53,101.87,6.6111,20.9394
Central African Republic,,1/31/2020,Clear throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.07,rain,99.48,61.22,23.48,0.14,1011.6,0.34,10,60.91,99.48,6.6111,20.9394
Central African Republic,,2/1/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0002,0.04,,101.03,63.02,30.86,0.18,1011.2,0.1,12,61.22,101.03,6.6111,20.9394
Central African Republic,,2/2/2020,Partly cloudy throughout the day.,clear-day,0.31,0.0001,0.0003,0.05,rain,102.18,64.48,33.7,0.2,1011.1,0.28,9,63.02,102.18,6.6111,20.9394
Central African Republic,,2/3/2020,Clear throughout the day.,clear-day,0.34,0.0001,0.0003,0.08,rain,99.87,64.17,31.77,0.19,1011.0,0.21,12,64.48,99.87,6.6111,20.9394
Central African Republic,,2/4/2020,Clear throughout the day.,partly-cloudy-day,0.37,0.0001,0.0003,0.06,rain,99.96,65.38,37.37,0.23,1011.0,0.36,12,64.17,99.96,6.6111,20.9394
Central African Republic,,2/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.41,0.0,0.0003,0.04,,99.74,71.4,42.63,0.27,1011.1,0.49,9,65.38,99.74,6.6111,20.9394
Central African Republic,,2/6/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.44,0.0001,0.0003,0.04,rain,102.87,69.24,34.34,0.19,1010.1,0.59,9,71.4,102.87,6.6111,20.9394
Central African Republic,,2/7/2020,Clear throughout the day.,clear-day,0.48,0.0,0.0003,0.03,,104.06,71.47,37.03,0.19,1009.1,0.29,11,69.24,104.06,6.6111,20.9394
Central African Republic,,2/8/2020,Overcast throughout the day.,partly-cloudy-day,0.52,0.0001,0.0003,0.05,rain,102.58,70.23,33.85,0.16,1009.9,0.84,6,71.47,102.58,6.6111,20.9394
Central African Republic,,2/9/2020,Clear throughout the day.,partly-cloudy-day,0.56,0.0001,0.0004,0.06,rain,100.84,67.19,33.43,0.17,1011.1,0.34,13,70.23,100.84,6.6111,20.9394
Central African Republic,,2/10/2020,Partly cloudy throughout the day.,clear-day,0.6,0.0,0.0002,0.03,,100.02,61.16,27.72,0.15,1010.6,0.25,9,67.19,100.02,6.6111,20.9394
Central African Republic,,2/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.64,0.0001,0.0004,0.05,rain,100.34,60.94,24.32,0.14,1011.0,0.5,8,61.16,100.34,6.6111,20.9394
Central African Republic,,2/12/2020,Partly cloudy throughout the day.,clear-day,0.67,0.0001,0.0004,0.02,rain,100.11,64.58,28.79,0.17,1010.9,0.18,9,60.94,100.11,6.6111,20.9394
Central African Republic,,2/13/2020,Clear throughout the day.,clear-day,0.71,0.0001,0.0003,0.03,rain,101.63,66.13,28.58,0.15,1009.2,0.03,13,64.58,101.63,6.6111,20.9394
Central African Republic,,2/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.75,0.0001,0.0003,0.03,rain,102.78,66.77,29.72,0.16,1008.5,0.5,7,66.13,102.78,6.6111,20.9394
Central African Republic,,2/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.78,0.0001,0.0003,0.04,rain,104.13,69.62,31.04,0.15,1008.4,0.48,8,66.77,104.13,6.6111,20.9394
