Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Chile,,12/31/2019,Clear throughout the day.,clear-day,0.18,0.0,0.0001,0.01,,94.78,53.97,46.71,0.49,1012.5,0.01,13,51.89,94.78,-35.6751,-71.543
Chile,,1/1/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.04,rain,91.52,51.35,48.64,0.49,1012.9,0.0,13,53.97,91.52,-35.6751,-71.543
Chile,,1/2/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.05,rain,91.86,55.74,55.3,0.67,1015.0,0.01,13,51.35,91.86,-35.6751,-71.543
Chile,,1/3/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.03,rain,93.24,54.9,55.09,0.6,1016.4,0.0,14,55.74,93.24,-35.6751,-71.543
Chile,,1/4/2020,Clear throughout the day.,clear-day,0.31,0.0002,0.0003,0.07,rain,90.77,49.4,51.63,0.58,1014.5,0.12,11,54.9,90.77,-35.6751,-71.543
Chile,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.34,0.0007,0.0046,0.05,rain,78.15,45.68,44.46,0.57,1015.7,0.42,6,49.4,78.15,-35.6751,-71.543
Chile,,1/6/2020,Clear throughout the day.,clear-day,0.37,0.0,0.0002,0.01,,82.84,52.29,44.93,0.55,1016.8,0.12,12,47.3,82.84,-35.6751,-71.543
Chile,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.0002,0.05,rain,84.34,50.05,48.09,0.55,1013.7,0.53,7,52.29,84.34,-35.6751,-71.543
Chile,,1/8/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.44,0.0002,0.0012,0.1,rain,75.16,49.32,48.59,0.64,1016.3,0.59,6,50.05,75.16,-35.6751,-71.543
Chile,,1/9/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0002,0.01,,81.66,45.0,47.58,0.61,1017.5,0.05,12,49.32,81.66,-35.6751,-71.543
Chile,,1/10/2020,Clear throughout the day.,clear-day,0.51,0.0002,0.0004,0.03,rain,87.87,47.4,43.58,0.55,1014.8,0.04,12,45.0,87.87,-35.6751,-71.543
Chile,,1/11/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0004,0.04,rain,92.99,51.27,44.0,0.53,1012.1,0.0,13,47.4,92.99,-35.6751,-71.543
Chile,,1/12/2020,Clear throughout the day.,clear-day,0.58,0.0001,0.0003,0.05,rain,94.34,50.71,49.52,0.51,1011.3,0.0,13,51.27,94.34,-35.6751,-71.543
Chile,,1/13/2020,Clear throughout the day.,clear-day,0.62,0.0,0.0001,0.02,,92.22,54.23,51.35,0.59,1012.3,0.0,13,50.98,92.22,-35.6751,-71.543
Chile,,1/14/2020,Clear throughout the day.,clear-day,0.66,0.0001,0.0003,0.03,rain,88.77,48.18,53.75,0.63,1012.3,0.01,13,54.23,88.77,-35.6751,-71.543
Chile,,1/15/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0002,0.03,,81.7,46.13,39.84,0.47,1014.6,0.0,13,48.18,81.7,-35.6751,-71.543
Chile,,1/16/2020,Clear throughout the day.,clear-day,0.73,0.0,0.0003,0.03,,93.64,54.16,37.41,0.39,1011.8,0.0,14,46.13,93.64,-35.6751,-71.543
Chile,,1/17/2020,Clear throughout the day.,clear-day,0.77,0.0001,0.0004,0.06,rain,97.08,54.14,46.73,0.43,1010.3,0.0,13,54.16,97.08,-35.6751,-71.543
