Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
China,Anhui,12/31/2019,Possible drizzle overnight.,rain,0.2,0.0024,0.0154,0.38,rain,44.95,39.11,28.83,0.73,1031.2,0.61,3,28.29,44.95,31.8257,117.2264
China,Anhui,1/1/2020,Overcast throughout the day.,rain,0.23,0.0027,0.0104,0.53,rain,50.32,41.26,38.56,0.83,1029.5,0.99,3,39.11,50.32,31.8257,117.2264
China,Anhui,1/2/2020,Possible drizzle overnight.,rain,0.26,0.0032,0.0136,0.59,rain,47.16,44.4,40.88,0.87,1028.3,1.0,3,41.26,47.16,31.8257,117.2264
China,Anhui,1/3/2020,Possible drizzle overnight.,rain,0.29,0.0019,0.0133,0.53,rain,48.94,45.18,43.15,0.89,1026.7,1.0,3,44.4,48.94,31.8257,117.2264
China,Anhui,1/4/2020,Light rain throughout the day.,rain,0.32,0.0046,0.0082,0.94,rain,52.98,48.09,46.08,0.9,1022.2,1.0,3,45.18,53.23,31.8257,117.2264
China,Anhui,1/5/2020,Light rain throughout the day.,rain,0.35,0.034,0.0833,1.0,rain,49.32,40.28,45.44,0.93,1020.0,1.0,3,43.69,51.61,31.8257,117.2264
China,Anhui,1/6/2020,Rain in the morning and afternoon.,rain,0.39,0.0246,0.1474,0.95,rain,41.6,35.31,36.76,0.88,1019.9,0.99,3,37.18,44.36,31.8257,117.2264
China,Anhui,1/7/2020,Possible light rain overnight.,rain,0.42,0.004,0.0563,0.37,rain,44.15,35.02,31.79,0.77,1029.6,0.96,3,35.31,44.15,31.8257,117.2264
China,Anhui,1/8/2020,Possible light rain in the morning and afternoon.,rain,0.45,0.0113,0.0563,0.81,rain,40.7,38.63,33.8,0.87,1026.3,1.0,3,35.02,40.7,31.8257,117.2264
China,Anhui,1/9/2020,Light rain throughout the day.,rain,0.49,0.0115,0.0313,0.94,rain,41.97,38.9,37.82,0.9,1023.5,1.0,3,38.63,42.03,31.8257,117.2264
China,Anhui,1/10/2020,Light rain in the morning and afternoon.,rain,0.53,0.0048,0.0161,0.89,rain,42.28,30.45,37.14,0.88,1024.2,0.98,3,37.33,42.28,31.8257,117.2264
China,Anhui,1/11/2020,Clear throughout the day.,clear-day,0.56,0.0001,0.0003,0.06,rain,48.21,32.79,32.19,0.78,1025.2,0.09,4,30.45,48.21,31.8257,117.2264
