Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Colombia,,12/31/2019,Rain throughout the day.,rain,0.19,0.0822,0.1449,0.98,rain,62.1,51.31,56.24,0.98,1013.8,0.97,7,53.22,62.1,4.5709,-74.2973
Colombia,,1/1/2020,Rain throughout the day.,rain,0.22,0.0745,0.2072,0.96,rain,63.39,52.34,55.96,0.97,1013.5,0.94,7,51.31,63.39,4.5709,-74.2973
Colombia,,1/2/2020,Rain throughout the day.,rain,0.25,0.0553,0.1534,0.78,rain,66.47,50.87,56.53,0.94,1013.3,0.88,7,52.34,66.47,4.5709,-74.2973
Colombia,,1/3/2020,Partly cloudy throughout the day.,rain,0.28,0.012,0.032,0.58,rain,67.05,49.88,53.63,0.86,1014.8,0.67,10,50.87,67.05,4.5709,-74.2973
Colombia,,1/4/2020,Mostly cloudy throughout the day.,rain,0.31,0.0278,0.0792,0.55,rain,67.98,50.23,52.73,0.86,1015.7,0.69,8,49.88,67.98,4.5709,-74.2973
Colombia,,1/5/2020,Rain in the evening.,rain,0.34,0.0319,0.1149,0.63,rain,67.36,48.65,52.43,0.84,1017.0,0.82,8,50.23,67.36,4.5709,-74.2973
Colombia,,1/6/2020,Rain in the evening.,rain,0.37,0.0321,0.1042,0.55,rain,65.29,49.53,50.63,0.81,1015.5,0.64,9,48.9,65.29,4.5709,-74.2973
Colombia,,1/7/2020,Mostly cloudy throughout the day.,rain,0.4,0.0074,0.0188,0.45,rain,68.37,46.72,51.08,0.81,1015.1,0.69,9,49.52,68.37,4.5709,-74.2973
Colombia,,1/8/2020,Clear throughout the day.,clear-day,0.44,0.0024,0.0068,0.2,rain,68.38,47.26,43.99,0.65,1016.3,0.24,12,46.72,68.38,4.5709,-74.2973
Colombia,,1/9/2020,Clear throughout the day.,clear-day,0.47,0.0023,0.0084,0.17,rain,70.11,46.78,46.05,0.68,1015.1,0.21,12,47.26,70.11,4.5709,-74.2973
Colombia,,1/10/2020,Clear throughout the day.,clear-day,0.51,0.0003,0.0015,0.13,rain,69.73,47.14,41.46,0.58,1013.1,0.14,13,47.54,69.73,4.5709,-74.2973
Colombia,,1/11/2020,Clear throughout the day.,clear-day,0.55,0.0017,0.0075,0.22,rain,69.52,49.9,45.65,0.67,1013.4,0.31,11,47.14,69.52,4.5709,-74.2973
Colombia,,1/12/2020,Clear throughout the day.,rain,0.58,0.0033,0.0139,0.29,rain,69.51,50.72,48.69,0.72,1013.2,0.29,11,49.9,69.51,4.5709,-74.2973
Colombia,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.62,0.0014,0.0033,0.22,rain,71.43,48.83,47.92,0.7,1013.3,0.32,12,50.58,71.43,4.5709,-74.2973
Colombia,,1/14/2020,Partly cloudy throughout the day.,rain,0.66,0.0046,0.0203,0.42,rain,68.53,49.35,49.11,0.74,1013.7,0.51,10,48.83,68.53,4.5709,-74.2973
Colombia,,1/15/2020,Partly cloudy throughout the day.,rain,0.7,0.006,0.0234,0.45,rain,68.7,49.51,49.42,0.74,1013.7,0.52,10,49.36,68.7,4.5709,-74.2973
Colombia,,1/16/2020,Partly cloudy throughout the day.,rain,0.73,0.0046,0.0124,0.39,rain,70.07,52.21,49.14,0.72,1015.1,0.4,10,49.51,70.07,4.5709,-74.2973
Colombia,,1/17/2020,Partly cloudy throughout the day.,rain,0.77,0.0027,0.0049,0.36,rain,70.4,52.82,51.34,0.76,1014.9,0.41,10,52.21,70.4,4.5709,-74.2973
Colombia,,1/18/2020,Partly cloudy throughout the day.,rain,0.8,0.0052,0.0149,0.37,rain,71.57,52.15,50.95,0.74,1014.3,0.45,11,52.82,71.57,4.5709,-74.2973
Colombia,,1/19/2020,Partly cloudy throughout the day.,rain,0.84,0.011000000000000001,0.0329,0.48,rain,70.89,52.43,51.95,0.76,1014.0,0.6,10,52.15,70.89,4.5709,-74.2973
Colombia,,1/20/2020,Rain in the evening and overnight.,rain,0.87,0.0419,0.1328,0.69,rain,67.27,53.86,53.57,0.84,1015.4,0.8,9,52.43,67.27,4.5709,-74.2973
Colombia,,1/21/2020,Rain throughout the day.,rain,0.91,0.0887,0.1514,0.87,rain,63.24,52.07,56.06,0.96,1016.6,0.93,7,53.39,63.24,4.5709,-74.2973
Colombia,,1/22/2020,Rain throughout the day.,rain,0.94,0.0738,0.1278,0.87,rain,64.29,49.91,55.39,0.97,1016.9,0.95,7,52.07,64.29,4.5709,-74.2973
Colombia,,1/23/2020,Rain starting in the afternoon.,rain,0.97,0.0566,0.1333,0.69,rain,64.48,51.07,54.7,0.93,1016.2,0.74,9,49.91,64.48,4.5709,-74.2973
Colombia,,1/24/2020,Possible light rain starting in the afternoon.,rain,0.01,0.0186,0.0548,0.73,rain,64.33,52.45,55.33,0.93,1014.7,0.96,7,51.07,64.33,4.5709,-74.2973
Colombia,,1/25/2020,Possible light rain throughout the day.,rain,0.04,0.0289,0.0695,0.86,rain,64.96,53.54,57.24,0.96,1014.0,0.94,8,52.45,64.96,4.5709,-74.2973
Colombia,,1/26/2020,Possible light rain throughout the day.,rain,0.07,0.0347,0.0784,0.84,rain,62.94,51.73,57.48,0.98,1013.6,0.98,7,53.54,62.94,4.5709,-74.2973
Colombia,,1/27/2020,Rain throughout the day.,rain,0.1,0.1195,0.2768,0.84,rain,63.9,51.09,55.92,0.95,1017.2,0.92,8,51.73,63.9,4.5709,-74.2973
