Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Congo (Kinshasa),,12/31/2019,Rain and humid throughout the day.,rain,0.21,0.0453,0.1835,0.87,rain,88.14,69.29,73.29,0.87,1009.0,1.0,6,72.23,88.14,-4.0383,21.7587
Congo (Kinshasa),,1/1/2020,Light rain in the morning and afternoon.,rain,0.24,0.0201,0.0623,0.84,rain,85.19,71.2,72.74,0.93,1009.9,1.0,6,69.29,85.19,-4.0383,21.7587
Congo (Kinshasa),,1/2/2020,Humid and overcast throughout the day.,cloudy,0.27,0.0004,0.0065,0.09,rain,84.68,70.53,71.77,0.85,1011.4,1.0,6,71.2,84.68,-4.0383,21.7587
Congo (Kinshasa),,1/3/2020,Possible light rain overnight.,rain,0.3,0.0093,0.066,0.52,rain,89.2,70.36,70.83,0.81,1011.3,0.82,10,70.53,89.2,-4.0383,21.7587
Congo (Kinshasa),,1/4/2020,Possible light rain until evening.,rain,0.33,0.0137,0.0416,0.74,rain,82.72,69.58,71.23,0.88,1011.8,1.0,6,70.36,82.72,-4.0383,21.7587
Congo (Kinshasa),,1/5/2020,Humid and overcast throughout the day.,rain,0.36,0.0021,0.0097,0.25,rain,92.19,72.05,70.08,0.76,1009.8,0.92,7,69.58,92.19,-4.0383,21.7587
Congo (Kinshasa),,1/6/2020,Possible light rain in the morning and afternoon.,rain,0.39,0.009000000000000001,0.0276,0.72,rain,87.5,72.68,71.91,0.83,1009.6,0.95,6,72.05,87.5,-4.0383,21.7587
Congo (Kinshasa),,1/7/2020,Possible light rain in the morning and afternoon.,rain,0.43,0.0152,0.085,0.74,rain,84.42,70.59,71.48,0.85,1010.8,0.91,6,72.58,84.42,-4.0383,21.7587
Congo (Kinshasa),,1/8/2020,Possible light rain in the morning and afternoon.,rain,0.46,0.0096,0.0578,0.63,rain,80.72,70.4,70.23,0.84,1011.7,0.97,6,70.59,80.72,-4.0383,21.7587
Congo (Kinshasa),,1/9/2020,Possible light rain in the afternoon and evening.,rain,0.5,0.0091,0.0476,0.74,rain,80.33,68.33,69.96,0.84,1012.5,0.94,7,70.28,80.33,-4.0383,21.7587
Congo (Kinshasa),,1/10/2020,Overcast throughout the day.,partly-cloudy-day,0.54,0.0002,0.0015,0.2,rain,86.58,66.98,68.35,0.8,1013.8,0.87,6,68.33,86.58,-4.0383,21.7587
Congo (Kinshasa),,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.57,0.0009,0.0031,0.2,rain,89.89,69.72,68.15,0.75,1012.9,0.57,11,66.98,89.89,-4.0383,21.7587
Congo (Kinshasa),,1/12/2020,Humid and partly cloudy throughout the day.,rain,0.61,0.0009,0.0052,0.29,rain,92.68,71.66,68.37,0.69,1010.2,0.47,11,69.54,92.68,-4.0383,21.7587
Congo (Kinshasa),,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0001,0.0007,0.06,rain,95.8,72.06,67.78,0.61,1008.4,0.41,12,71.66,95.8,-4.0383,21.7587
Congo (Kinshasa),,1/14/2020,Humid and mostly cloudy throughout the day.,rain,0.69,0.0058,0.0181,0.45,rain,95.53,74.17,70.69,0.67,1008.7,0.83,8,72.06,95.53,-4.0383,21.7587
Congo (Kinshasa),,1/15/2020,Possible light rain overnight.,rain,0.72,0.002,0.0071,0.36,rain,95.34,71.11,72.15,0.71,1008.8,0.72,9,74.85,95.34,-4.0383,21.7587
Congo (Kinshasa),,1/16/2020,Possible light rain in the morning and overnight.,rain,0.76,0.0103,0.0319,0.77,rain,90.83,70.92,72.4,0.83,1009.7,0.97,6,71.11,90.83,-4.0383,21.7587
Congo (Kinshasa),,1/17/2020,Light rain in the morning and afternoon.,rain,0.79,0.0152,0.0613,0.86,rain,78.67,70.74,71.01,0.88,1012.1,0.95,6,70.92,78.67,-4.0383,21.7587
Congo (Kinshasa),,1/18/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.83,0.0,0.0002,0.01,,90.94,71.62,68.59,0.71,1011.6,0.82,6,70.74,90.94,-4.0383,21.7587
Congo (Kinshasa),,1/19/2020,Humid and overcast throughout the day.,rain,0.86,0.0035,0.0213,0.27,rain,93.72,72.44,69.36,0.67,1009.6,0.9,7,71.62,93.72,-4.0383,21.7587
