Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Costa Rica,,12/31/2019,Foggy in the evening.,rain,0.19,0.009000000000000001,0.0168,0.53,rain,73.44,51.91,58.02,0.85,1015.7,0.8,8,55.49,73.44,9.7489,-83.7534
Costa Rica,,1/1/2020,Foggy in the evening.,rain,0.22,0.0054,0.0144,0.42,rain,74.96,53.95,55.68,0.79,1014.9,0.51,10,51.91,74.96,9.7489,-83.7534
Costa Rica,,1/2/2020,Rain starting in the afternoon.,rain,0.25,0.0416,0.1404,0.79,rain,73.14,59.23,60.77,0.93,1014.7,0.74,8,53.95,73.14,9.7489,-83.7534
Costa Rica,,1/3/2020,Rain throughout the day.,rain,0.28,0.0576,0.1706,0.86,rain,75.55,58.24,63.72,0.93,1015.4,0.91,7,59.23,75.55,9.7489,-83.7534
Costa Rica,,1/4/2020,"Possible light rain until morning, starting again in the evening.",rain,0.31,0.0206,0.0494,0.7,rain,74.11,55.28,61.95,0.92,1017.7,0.91,7,58.24,74.11,9.7489,-83.7534
Costa Rica,,1/5/2020,Possible light rain in the morning.,rain,0.34,0.0086,0.0239,0.61,rain,73.92,57.79,58.37,0.88,1019.9,0.75,9,55.61,73.92,9.7489,-83.7534
Costa Rica,,1/6/2020,Foggy in the evening.,rain,0.37,0.0065,0.0111,0.46,rain,70.54,52.01,58.72,0.87,1017.5,0.65,9,56.4,70.54,9.7489,-83.7534
Costa Rica,,1/7/2020,Foggy in the evening and overnight.,rain,0.41,0.0044,0.0115,0.37,rain,71.18,54.38,55.38,0.84,1017.3,0.56,8,52.01,71.18,9.7489,-83.7534
Costa Rica,,1/8/2020,Possible light rain throughout the day.,rain,0.44,0.013999999999999999,0.0335,0.63,rain,69.06,55.52,59.18,0.95,1017.6,0.82,7,53.98,69.06,9.7489,-83.7534
Costa Rica,,1/9/2020,Foggy in the evening and overnight.,rain,0.48,0.008,0.0198,0.52,rain,70.64,52.37,58.71,0.91,1015.8,0.76,7,55.52,70.64,9.7489,-83.7534
Costa Rica,,1/10/2020,Possible light rain in the evening and overnight.,rain,0.51,0.0227,0.0857,0.53,rain,68.9,56.36,56.91,0.86,1013.2,0.82,8,55.06,68.9,9.7489,-83.7534
Costa Rica,,1/11/2020,"Possible light rain until afternoon, starting again overnight.",rain,0.55,0.0182,0.0364,0.73,rain,70.76,57.51,61.11,0.93,1013.2,0.85,8,56.04,70.76,9.7489,-83.7534
Costa Rica,,1/12/2020,Possible light rain in the morning and overnight.,rain,0.59,0.0153,0.0353,0.68,rain,70.55,57.52,61.18,0.96,1014.2,0.86,7,57.16,70.55,9.7489,-83.7534
Costa Rica,,1/13/2020,"Possible light rain until morning, starting again in the evening.",rain,0.62,0.0196,0.037000000000000005,0.79,rain,68.45,55.08,60.53,0.97,1014.8,0.85,6,56.53,68.45,9.7489,-83.7534
Costa Rica,,1/14/2020,"Possible light rain until morning, starting again in the evening.",rain,0.66,0.0162,0.0343,0.75,rain,68.14,54.54,59.27,0.95,1014.9,0.76,7,55.08,68.14,9.7489,-83.7534
Costa Rica,,1/15/2020,Possible light rain in the morning.,rain,0.7,0.012,0.0346,0.68,rain,70.45,54.41,58.81,0.92,1014.8,0.76,7,54.54,70.45,9.7489,-83.7534
Costa Rica,,1/16/2020,Possible light rain in the evening and overnight.,rain,0.73,0.0099,0.0209,0.73,rain,74.74,57.88,59.78,0.9,1014.8,0.81,8,54.41,74.74,9.7489,-83.7534
Costa Rica,,1/17/2020,Possible light rain throughout the day.,rain,0.77,0.0199,0.0409,0.78,rain,71.75,59.23,62.03,0.95,1014.6,0.93,6,57.88,71.75,9.7489,-83.7534
Costa Rica,,1/18/2020,Light rain throughout the day.,rain,0.81,0.0364,0.0681,0.87,rain,68.96,59.12,62.89,0.99,1014.5,0.93,6,59.23,68.96,9.7489,-83.7534
