Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Cote d'Ivoire,,1/1/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0003,0.03,rain,95.4,65.08,35.96,0.24,1011.3,0.15,10,63.65,95.4,7.54,-5.5471
Cote d'Ivoire,,1/2/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0004,0.05,rain,93.94,65.9,30.44,0.19,1012.4,0.11,10,65.08,93.94,7.54,-5.5471
Cote d'Ivoire,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.27,0.0001,0.0005,0.03,rain,92.46,64.17,27.91,0.17,1013.2,0.43,8,65.9,92.46,7.54,-5.5471
Cote d'Ivoire,,1/4/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0003,0.07,rain,92.06,61.96,24.95,0.15,1013.4,0.04,10,64.17,92.06,7.54,-5.5471
Cote d'Ivoire,,1/5/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.03,rain,93.89,63.68,31.85,0.2,1011.9,0.01,11,61.96,93.89,7.54,-5.5471
Cote d'Ivoire,,1/6/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,94.77,65.25,38.33,0.25,1010.6,0.17,10,63.68,94.77,7.54,-5.5471
Cote d'Ivoire,,1/7/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.01,rain,95.49,68.04,41.48,0.27,1010.4,0.08,10,65.25,95.49,7.54,-5.5471
Cote d'Ivoire,,1/8/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.04,,96.51,70.89,50.46,0.34,1011.4,0.21,10,68.04,96.51,7.54,-5.5471
Cote d'Ivoire,,1/9/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0001,0.01,,98.6,68.87,54.29,0.38,1011.1,0.09,10,70.89,98.6,7.54,-5.5471
Cote d'Ivoire,,1/10/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0004,0.04,rain,98.23,70.16,55.82,0.42,1011.9,0.14,9,68.87,98.23,7.54,-5.5471
Cote d'Ivoire,,1/11/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.07,rain,92.18,70.71,65.53,0.61,1013.0,0.21,9,70.16,92.18,7.54,-5.5471
Cote d'Ivoire,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.58,0.0002,0.0008,0.13,rain,96.46,71.31,63.23,0.56,1011.8,0.55,9,70.71,96.46,7.54,-5.5471
