Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Croatia,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.11,snow,37.46,25.0,25.68,0.83,1033.3,0.36,1,25.54,37.46,45.1,15.2
Croatia,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.05,snow,43.4,28.79,15.87,0.53,1032.1,0.0,1,25.0,43.4,45.1,15.2
Croatia,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.01,rain,46.43,28.43,19.2,0.52,1026.5,0.16,1,28.79,46.43,45.1,15.2
Croatia,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.0005,0.0044,0.21,rain,43.43,28.42,25.85,0.71,1023.5,0.78,1,28.43,43.43,45.1,15.2
Croatia,,1/4/2020,Partly cloudy throughout the day.,clear-day,0.33,0.0002,0.0052,0.17,snow,34.2,22.18,21.41,0.72,1029.0,0.27,1,24.16,34.2,45.1,15.2
Croatia,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,33.09,23.89,12.22,0.58,1032.5,0.04,1,22.18,33.09,45.1,15.2
Croatia,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.04,snow,38.85,24.69,3.03,0.35,1028.0,0.22,1,23.89,38.85,45.1,15.2
Croatia,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.03,,37.61,29.25,21.52,0.71,1031.8,0.23,1,24.67,37.61,45.1,15.2
Croatia,,1/8/2020,Partly cloudy throughout the day.,clear-day,0.47,0.0,0.0,0.0,,44.85,31.39,22.18,0.6,1027.3,0.27,1,28.48,44.85,45.1,15.2
Croatia,,1/9/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.05,rain,44.62,28.56,32.57,0.88,1023.6,0.49,1,30.92,44.62,45.1,15.2
Croatia,,1/10/2020,Foggy in the evening.,partly-cloudy-day,0.54,0.0001,0.0007,0.12,snow,40.15,26.01,31.01,0.93,1028.4,0.54,1,28.56,40.15,45.1,15.2
Croatia,,1/11/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.57,0.0001,0.0003,0.07,snow,35.91,25.49,26.84,0.87,1029.5,0.42,1,26.01,35.91,45.1,15.2
Croatia,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.61,0.0001,0.0003,0.03,snow,42.43,32.3,27.86,0.84,1026.6,0.46,1,25.18,42.43,45.1,15.2
Croatia,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0003,0.0011,0.09,rain,42.81,30.61,32.49,0.89,1024.9,0.56,1,31.7,42.81,45.1,15.2
Croatia,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0002,0.0006,0.08,snow,44.59,31.55,33.61,0.92,1027.0,0.16,1,30.61,44.59,45.1,15.2
Croatia,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0,0.0002,0.07,,44.01,28.77,33.79,0.93,1029.3,0.61,1,31.55,44.01,45.1,15.2
Croatia,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.06,snow,39.47,27.42,30.36,0.91,1026.6,0.76,1,28.77,39.47,45.1,15.2
Croatia,,1/17/2020,Possible light snow (1–2 in.) in the evening and overnight.,snow,0.8,0.0033,0.0154,0.46,snow,33.83,26.55,27.14,0.92,1024.4,0.89,1,26.79,33.83,45.1,15.2
Croatia,,1/18/2020,Possible light snow (1–3 in.) in the morning.,snow,0.83,0.0066,0.0149,0.73,snow,31.18,25.89,25.9,0.91,1029.8,0.96,1,26.55,31.18,45.1,15.2
Croatia,,1/19/2020,Possible light snow (1–2 in.) in the morning.,snow,0.87,0.0062,0.0141,0.62,snow,29.27,25.5,25.31,0.92,1042.5,0.94,1,25.89,29.27,45.1,15.2
Croatia,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.9,0.0001,0.0002,0.05,snow,35.7,26.27,22.18,0.76,1042.9,0.44,1,25.5,35.7,45.1,15.2
Croatia,,1/21/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.93,0.0,0.0001,0.01,,44.28,27.79,19.52,0.57,1033.1,0.4,1,26.32,44.28,45.1,15.2
Croatia,,1/22/2020,Clear throughout the day.,clear-day,0.97,0.0001,0.0003,0.05,snow,35.52,26.1,23.42,0.77,1033.8,0.19,2,26.2,35.52,45.1,15.2
Croatia,,1/23/2020,Clear throughout the day.,clear-day,1.0,0.0,0.0002,0.03,,47.13,34.65,25.58,0.7,1027.7,0.12,2,26.11,47.13,45.1,15.2
Croatia,,1/24/2020,Possible light rain overnight.,rain,0.03,0.0022,0.0084,0.47,rain,44.08,35.11,36.81,0.93,1023.5,0.9,1,34.75,44.08,45.1,15.2
Croatia,,1/25/2020,Possible light rain in the morning and afternoon.,rain,0.06,0.0071,0.0287,0.75,rain,43.35,32.81,36.69,0.95,1021.0,0.95,1,33.86,43.35,45.1,15.2
Croatia,,1/26/2020,Foggy in the morning.,partly-cloudy-day,0.09,0.0002,0.0005,0.23,rain,43.96,32.91,34.64,0.94,1018.6,0.76,1,32.81,43.96,45.1,15.2
Croatia,,1/27/2020,Possible light rain throughout the day.,rain,0.12,0.0143,0.0306,0.81,rain,44.26,33.52,37.95,0.91,1008.4,0.95,1,34.07,44.26,45.1,15.2
Croatia,,1/28/2020,Mostly cloudy throughout the day.,rain,0.15,0.006,0.0272,0.73,rain,42.72,28.93,34.37,0.92,1009.9,0.5,1,31.83,42.72,45.1,15.2
Croatia,,1/29/2020,Clear throughout the day.,clear-day,0.18,0.0001,0.0003,0.09,snow,44.27,37.25,28.11,0.74,1018.8,0.19,2,28.93,44.27,45.1,15.2
Croatia,,1/30/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0005,0.0015,0.15,rain,47.88,42.33,39.25,0.87,1017.2,0.57,2,38.71,47.88,45.1,15.2
Croatia,,1/31/2020,Partly cloudy throughout the day.,rain,0.24,0.0033,0.0099,0.4,rain,48.39,43.02,42.32,0.91,1016.9,0.57,2,42.33,48.39,45.1,15.2
Croatia,,2/1/2020,Overcast throughout the day.,rain,0.27,0.0012,0.0078,0.4,rain,50.32,44.4,42.44,0.88,1016.9,0.9,2,43.02,50.32,45.1,15.2
Croatia,,2/2/2020,Overcast throughout the day.,rain,0.31,0.0012,0.0023,0.26,rain,51.08,43.44,43.95,0.89,1014.8,0.97,2,43.52,51.08,45.1,15.2
Croatia,,2/3/2020,Rain (with a chance of 1–2 in. of snow) in the morning and afternoon.,rain,0.34,0.018000000000000002,0.1347,0.83,rain,48.45,28.67,36.1,0.84,1005.8,0.82,1,30.37,48.45,45.1,15.2
Croatia,,2/4/2020,Dangerously windy and mostly cloudy throughout the day.,snow,0.37,0.0011,0.0056,0.34,snow,34.82,24.65,19.1,0.63,1015.4,0.59,1,25.4,34.82,45.1,15.2
Croatia,,2/5/2020,Windy in the morning.,wind,0.41,0.0,0.0003,0.02,,39.35,24.08,10.1,0.45,1027.5,0.11,2,24.65,39.35,45.1,15.2
Croatia,,2/6/2020,Clear throughout the day.,clear-day,0.44,0.0001,0.0003,0.03,snow,41.07,24.59,13.13,0.48,1027.3,0.21,2,24.08,41.07,45.1,15.2
Croatia,,2/7/2020,Clear throughout the day.,clear-day,0.48,0.0,0.0003,0.04,,46.19,28.75,26.39,0.79,1028.9,0.0,2,24.59,46.19,45.1,15.2
Croatia,,2/8/2020,Windy overnight.,partly-cloudy-day,0.52,0.0008,0.0021,0.12,snow,43.39,37.55,31.92,0.84,1028.1,0.5,2,28.75,43.39,45.1,15.2
Croatia,,2/9/2020,Dangerously windy and overcast throughout the day.,rain,0.56,0.0065,0.0125,0.65,rain,46.28,43.71,39.53,0.87,1014.7,0.85,2,38.97,46.28,45.1,15.2
Croatia,,2/10/2020,Windy in the morning.,rain,0.6,0.0017,0.005,0.41,rain,50.34,31.1,38.66,0.79,1007.5,0.71,3,37.27,50.34,45.1,15.2
Croatia,,2/11/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.64,0.0005,0.0026,0.19,rain,46.47,31.36,30.97,0.82,1016.8,0.5,2,31.1,46.47,45.1,15.2
Croatia,,2/12/2020,Possible light rain overnight.,partly-cloudy-day,0.67,0.0004,0.0027,0.11,snow,48.24,37.44,28.62,0.67,1019.4,0.66,2,31.36,48.24,45.1,15.2
Croatia,,2/13/2020,Light rain in the morning.,rain,0.71,0.0179,0.0686,0.85,rain,47.79,30.86,35.8,0.85,1016.7,0.55,2,34.86,47.79,45.1,15.2
Croatia,,2/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.75,0.0001,0.0007,0.07,rain,45.7,29.7,31.05,0.79,1027.8,0.33,3,30.86,45.7,45.1,15.2
Croatia,,2/15/2020,Clear throughout the day.,partly-cloudy-day,0.78,0.0001,0.0003,0.03,rain,51.2,39.23,29.83,0.69,1027.7,0.36,3,29.7,51.2,45.1,15.2
Croatia,,2/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.81,0.0002,0.0005,0.09,rain,48.23,37.97,37.21,0.8,1023.5,0.78,2,39.23,48.23,45.1,15.2
