Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Cruise Ship,Diamond Princess,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.2,0.0,0.0002,0.04,,52.08,39.97,24.45,0.44,1021.4,0.33,2,41.2,52.08,35.4437,139.638
Cruise Ship,Diamond Princess,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.23,0.0001,0.0003,0.06,rain,54.63,40.74,30.36,0.52,1021.5,0.35,2,39.97,54.63,35.4437,139.638
Cruise Ship,Diamond Princess,1/2/2020,Clear throughout the day.,clear-day,0.26,0.0,0.0,0.0,,54.95,40.29,31.16,0.54,1016.5,0.07,2,40.74,54.95,35.4437,139.638
Cruise Ship,Diamond Princess,1/3/2020,Possible light rain overnight.,rain,0.29,0.0009,0.0199,0.28,rain,54.61,38.3,29.5,0.51,1014.7,0.45,2,40.29,54.61,35.4437,139.638
Cruise Ship,Diamond Princess,1/4/2020,Clear throughout the day.,rain,0.32,0.0023,0.0288,0.53,rain,52.87,39.18,22.42,0.43,1020.6,0.1,2,38.3,52.87,35.4437,139.638
Cruise Ship,Diamond Princess,1/5/2020,Clear throughout the day.,clear-day,0.35,0.0,0.0002,0.01,,55.07,41.94,21.58,0.37,1025.7,0.3,2,38.87,55.07,35.4437,139.638
Cruise Ship,Diamond Princess,1/6/2020,Light rain starting in the afternoon.,rain,0.38,0.0042,0.0177,0.82,rain,51.21,41.81,32.78,0.61,1024.8,0.94,2,41.97,51.21,35.4437,139.638
Cruise Ship,Diamond Princess,1/7/2020,Light rain in the morning and afternoon.,rain,0.42,0.0122,0.0984,0.76,rain,56.02,45.81,39.6,0.73,1004.2,0.64,2,41.81,56.02,35.4437,139.638
Cruise Ship,Diamond Princess,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.45,0.0009,0.0095,0.09,rain,59.31,42.84,32.47,0.5,1009.7,0.32,3,46.7,59.31,35.4437,139.638
Cruise Ship,Diamond Princess,1/9/2020,Clear throughout the day.,rain,0.49,0.0012,0.0064,0.29,rain,54.3,41.53,34.0,0.59,1016.5,0.49,3,42.84,54.3,35.4437,139.638
Cruise Ship,Diamond Princess,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.53,0.0003,0.0013,0.13,rain,54.78,40.0,35.64,0.63,1015.4,0.65,2,41.53,54.78,35.4437,139.638
Cruise Ship,Diamond Princess,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.56,0.0002,0.0011,0.18,rain,52.67,41.29,34.73,0.64,1011.3,0.6,2,39.99,52.67,35.4437,139.638
Cruise Ship,Diamond Princess,1/12/2020,Clear throughout the day.,clear-day,0.6,0.0001,0.0005,0.19,rain,56.49,42.55,36.2,0.64,1011.6,0.18,3,40.88,56.49,35.4437,139.638
Cruise Ship,Diamond Princess,1/13/2020,Rain overnight.,partly-cloudy-day,0.64,0.0001,0.0006,0.07,rain,55.93,42.67,37.02,0.64,1020.0,0.59,3,42.55,55.93,35.4437,139.638
Cruise Ship,Diamond Princess,1/14/2020,Rain in the morning.,rain,0.67,0.0178,0.1247,0.89,rain,53.56,40.79,37.61,0.7,1016.4,0.66,2,42.82,53.56,35.4437,139.638
Cruise Ship,Diamond Princess,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.71,0.0001,0.0009,0.1,rain,51.94,40.98,25.64,0.46,1021.8,0.68,2,40.79,51.94,35.4437,139.638
Cruise Ship,Diamond Princess,1/16/2020,Light rain overnight.,rain,0.75,0.0008,0.0083,0.37,rain,53.18,39.9,31.47,0.55,1018.8,0.99,2,40.98,53.18,35.4437,139.638
