Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Cuba,,12/31/2019,Possible light rain in the evening.,rain,0.19,0.0114,0.0441,0.46,rain,77.16,64.18,66.75,0.92,1016.2,0.45,5,63.92,77.16,22.0,-80.0
Cuba,,1/1/2020,Possible light rain in the evening.,rain,0.22,0.0128,0.0545,0.49,rain,77.77,63.71,67.12,0.93,1016.3,0.58,6,64.16,77.77,22.0,-80.0
Cuba,,1/2/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.25,0.0003,0.0013,0.15,rain,80.64,64.18,65.22,0.86,1016.8,0.45,6,63.71,80.64,22.0,-80.0
Cuba,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.28,0.0001,0.0003,0.1,rain,79.78,61.83,64.6,0.85,1017.8,0.42,6,64.18,79.78,22.0,-80.0
Cuba,,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.31,0.0006,0.0031,0.17,rain,79.81,65.47,64.58,0.85,1019.7,0.43,6,61.83,79.81,22.0,-80.0
Cuba,,1/5/2020,Mostly cloudy throughout the day.,rain,0.34,0.0021,0.0057,0.3,rain,69.94,57.17,63.02,0.91,1021.3,0.64,5,60.68,69.94,22.0,-80.0
Cuba,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.37,0.0001,0.0006,0.07,rain,70.65,56.82,57.11,0.83,1019.9,0.42,6,56.16,70.65,22.0,-80.0
Cuba,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0002,0.001,0.1,rain,73.79,58.24,58.22,0.83,1019.7,0.47,6,56.63,73.79,22.0,-80.0
Cuba,,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.44,0.0002,0.0004,0.12,rain,71.72,62.17,58.37,0.82,1022.5,0.44,6,58.25,71.72,22.0,-80.0
Cuba,,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.47,0.0019,0.0047,0.22,rain,75.45,65.25,64.19,0.9,1022.6,0.67,5,62.17,75.45,22.0,-80.0
Cuba,,1/10/2020,Mostly cloudy throughout the day.,rain,0.51,0.0101,0.0365,0.43,rain,78.09,65.72,67.05,0.91,1020.5,0.75,4,65.52,78.09,22.0,-80.0
Cuba,,1/11/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.55,0.0027,0.0186,0.2,rain,81.87,64.7,64.65,0.82,1020.0,0.39,6,65.57,81.87,22.0,-80.0
Cuba,,1/12/2020,Partly cloudy throughout the day.,rain,0.58,0.0072,0.0418,0.3,rain,78.78,66.09,65.83,0.86,1021.2,0.45,6,64.7,78.78,22.0,-80.0
Cuba,,1/13/2020,Mostly cloudy throughout the day.,rain,0.62,0.0034,0.0204,0.28,rain,79.02,65.34,66.29,0.88,1021.9,0.58,5,66.09,79.02,22.0,-80.0
Cuba,,1/14/2020,Clear throughout the day.,partly-cloudy-day,0.66,0.0006,0.002,0.16,rain,80.35,60.66,62.98,0.81,1021.4,0.37,6,64.15,80.35,22.0,-80.0
Cuba,,1/15/2020,Clear throughout the day.,clear-day,0.7,0.0001,0.0004,0.08,rain,78.04,63.36,61.17,0.82,1020.5,0.27,6,60.79,78.04,22.0,-80.0
Cuba,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.73,0.0011,0.0023,0.2,rain,77.43,60.8,64.82,0.89,1021.1,0.59,5,63.36,77.43,22.0,-80.0
Cuba,,1/17/2020,Clear throughout the day.,partly-cloudy-day,0.77,0.0004,0.0011,0.12,rain,75.75,61.98,60.55,0.81,1021.9,0.34,6,60.8,75.75,22.0,-80.0
Cuba,,1/18/2020,Overcast throughout the day.,rain,0.8,0.0026,0.0087,0.34,rain,75.35,61.67,63.06,0.9,1020.8,0.74,5,61.98,75.35,22.0,-80.0
Cuba,,1/19/2020,Possible light rain in the evening.,rain,0.84,0.0066,0.038,0.47,rain,77.97,61.38,63.79,0.89,1018.8,0.63,6,61.67,77.97,22.0,-80.0
Cuba,,1/20/2020,Possible light rain in the afternoon and evening.,rain,0.87,0.017,0.0969,0.72,rain,77.6,61.08,64.5,0.9,1017.6,0.54,6,61.38,77.6,22.0,-80.0
Cuba,,1/21/2020,Possible light rain in the morning and afternoon.,rain,0.91,0.0069,0.0333,0.62,rain,68.72,47.83,61.43,0.97,1016.9,0.67,5,54.93,68.72,22.0,-80.0
Cuba,,1/22/2020,Clear throughout the day.,clear-day,0.94,0.0001,0.0003,0.07,rain,61.51,49.96,44.35,0.72,1017.1,0.11,7,47.83,61.51,22.0,-80.0
Cuba,,1/23/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.97,0.0002,0.0005,0.1,rain,71.18,55.32,52.82,0.8,1015.1,0.33,6,50.17,71.18,22.0,-80.0
Cuba,,1/24/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.01,0.002,0.0146,0.2,rain,74.43,55.89,57.46,0.84,1015.7,0.32,7,55.32,74.43,22.0,-80.0
Cuba,,1/25/2020,Clear throughout the day.,clear-day,0.04,0.0014,0.0116,0.19,rain,75.15,57.44,58.45,0.83,1016.6,0.24,7,55.89,75.15,22.0,-80.0
Cuba,,1/26/2020,Partly cloudy throughout the day.,clear-day,0.07,0.0025,0.0163,0.24,rain,74.95,57.74,59.34,0.84,1016.8,0.3,8,57.44,74.95,22.0,-80.0
Cuba,,1/27/2020,Clear throughout the day.,clear-day,0.1,0.0024,0.0152,0.24,rain,74.16,60.27,61.65,0.9,1015.3,0.23,7,57.74,74.16,22.0,-80.0
Cuba,,1/28/2020,Partly cloudy throughout the day.,rain,0.13,0.0083,0.0248,0.53,rain,76.83,61.24,63.88,0.91,1013.4,0.32,6,60.27,76.83,22.0,-80.0
Cuba,,1/29/2020,Partly cloudy throughout the day.,rain,0.16,0.0055,0.0293,0.42,rain,77.35,63.27,64.66,0.91,1014.0,0.29,6,61.24,77.35,22.0,-80.0
Cuba,,1/30/2020,Possible light rain overnight.,rain,0.19,0.0064,0.0268,0.39,rain,78.89,63.84,65.62,0.9,1013.9,0.41,6,63.27,78.89,22.0,-80.0
Cuba,,1/31/2020,Mostly cloudy throughout the day.,rain,0.22,0.0038,0.0322,0.46,rain,79.32,62.72,65.71,0.88,1015.9,0.65,6,63.84,79.32,22.0,-80.0
Cuba,,2/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.25,0.0017,0.0042,0.24,rain,78.17,61.41,66.03,0.9,1016.9,0.47,7,62.72,78.17,22.0,-80.0
Cuba,,2/2/2020,Partly cloudy throughout the day.,rain,0.28,0.0008,0.0062,0.26,rain,73.04,52.4,58.19,0.8,1019.0,0.37,7,55.11,73.04,22.0,-80.0
Cuba,,2/3/2020,Clear throughout the day.,clear-day,0.31,0.0001,0.0003,0.1,rain,76.34,55.13,54.22,0.77,1020.2,0.04,8,52.4,76.34,22.0,-80.0
Cuba,,2/4/2020,Clear throughout the day.,clear-day,0.35,0.0002,0.0004,0.13,rain,79.93,61.54,57.38,0.78,1019.3,0.04,8,55.13,79.93,22.0,-80.0
Cuba,,2/5/2020,Partly cloudy throughout the day.,clear-day,0.38,0.0004,0.0022,0.14,rain,80.88,63.13,63.77,0.85,1016.5,0.29,7,61.54,80.88,22.0,-80.0
Cuba,,2/6/2020,Partly cloudy throughout the day.,rain,0.42,0.0019,0.0064,0.28,rain,76.86,67.07,66.47,0.91,1013.4,0.34,8,63.13,76.86,22.0,-80.0
Cuba,,2/7/2020,Partly cloudy throughout the day.,rain,0.45,0.0029,0.0066,0.33,rain,78.94,64.35,67.08,0.88,1015.5,0.56,6,65.25,78.94,22.0,-80.0
Cuba,,2/8/2020,Rain in the evening and overnight.,rain,0.49,0.0179,0.1047,0.58,rain,80.69,63.92,65.68,0.88,1020.1,0.7,6,64.35,80.69,22.0,-80.0
Cuba,,2/9/2020,Foggy overnight.,rain,0.53,0.0015,0.0057,0.43,rain,79.8,64.47,64.74,0.87,1021.5,0.43,7,63.92,79.8,22.0,-80.0
Cuba,,2/10/2020,Clear throughout the day.,rain,0.57,0.0054,0.0331,0.34,rain,82.1,64.95,63.82,0.82,1020.0,0.43,8,64.47,82.1,22.0,-80.0
Cuba,,2/11/2020,Partly cloudy throughout the day.,rain,0.61,0.0048,0.0189,0.34,rain,82.78,65.19,66.46,0.87,1018.5,0.49,7,64.95,82.78,22.0,-80.0
Cuba,,2/12/2020,Clear throughout the day.,clear-day,0.64,0.002,0.0132,0.21,rain,82.47,63.45,65.52,0.83,1017.4,0.3,9,65.19,82.47,22.0,-80.0
Cuba,,2/13/2020,Clear throughout the day.,clear-day,0.68,0.0015,0.0106,0.19,rain,82.79,63.39,64.69,0.84,1017.4,0.26,8,63.45,82.79,22.0,-80.0
Cuba,,2/14/2020,Clear throughout the day.,clear-day,0.72,0.0023,0.0191,0.22,rain,83.17,62.67,64.29,0.82,1019.0,0.21,9,63.39,83.17,22.0,-80.0
Cuba,,2/15/2020,Clear throughout the day.,clear-day,0.75,0.0002,0.001,0.11,rain,81.81,59.92,61.73,0.79,1019.5,0.24,9,62.67,81.81,22.0,-80.0
Cuba,,2/16/2020,Clear throughout the day.,clear-day,0.79,0.0013,0.0049,0.17,rain,81.51,62.61,61.97,0.8,1017.5,0.27,8,59.92,81.51,22.0,-80.0
Cuba,,2/17/2020,Clear throughout the day.,clear-day,0.82,0.001,0.0082,0.19,rain,82.82,64.97,63.18,0.81,1016.9,0.25,8,62.61,82.82,22.0,-80.0
Cuba,,2/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.86,0.0026,0.0194,0.21,rain,84.55,65.83,65.3,0.8,1017.8,0.42,8,64.97,84.55,22.0,-80.0
Cuba,,2/19/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.89,0.0024,0.0128,0.21,rain,83.76,65.77,65.61,0.81,1019.0,0.38,9,65.83,83.76,22.0,-80.0
Cuba,,2/20/2020,Partly cloudy throughout the day.,rain,0.92,0.0045,0.0269,0.31,rain,83.0,62.36,65.65,0.83,1017.4,0.52,7,65.77,83.0,22.0,-80.0
Cuba,,2/21/2020,Partly cloudy throughout the day.,rain,0.95,0.0131,0.0513,0.46,rain,79.95,61.14,64.79,0.84,1017.2,0.49,8,62.36,79.95,22.0,-80.0
Cuba,,2/22/2020,Mostly cloudy throughout the day.,rain,0.98,0.0043,0.0123,0.42,rain,71.65,59.11,62.04,0.9,1017.9,0.68,6,61.14,71.65,22.0,-80.0
Cuba,,2/23/2020,Mostly cloudy throughout the day.,rain,0.01,0.0038,0.0135,0.36,rain,68.39,57.92,60.47,0.91,1018.2,0.53,6,59.11,68.39,22.0,-80.0
