Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Cyprus,,12/31/2019,Possible light rain in the evening.,rain,0.21,0.0041,0.0204,0.46,rain,62.95,46.8,45.23,0.79,1016.1,0.25,2,44.15,62.95,35.1264,33.4299
Cyprus,,1/1/2020,Light rain throughout the day.,rain,0.24,0.0119,0.0474,0.95,rain,57.12,50.12,47.54,0.85,1014.8,0.81,2,46.8,57.12,35.1264,33.4299
Cyprus,,1/2/2020,"Light rain until afternoon, starting again overnight.",rain,0.27,0.013999999999999999,0.03,0.98,rain,58.02,43.68,47.7,0.86,1013.7,0.95,2,45.03,58.02,35.1264,33.4299
Cyprus,,1/3/2020,Possible drizzle in the morning.,rain,0.3,0.003,0.0106,0.68,rain,61.21,47.81,44.78,0.79,1012.9,0.43,2,43.68,61.21,35.1264,33.4299
Cyprus,,1/4/2020,Partly cloudy throughout the day.,rain,0.33,0.0003,0.0008,0.25,rain,63.11,47.44,45.39,0.74,1013.1,0.58,2,47.6,63.11,35.1264,33.4299
Cyprus,,1/5/2020,Light rain throughout the day.,rain,0.36,0.0082,0.023,0.89,rain,62.43,51.34,49.12,0.81,1011.4,0.85,2,47.46,62.43,35.1264,33.4299
Cyprus,,1/6/2020,Light rain until evening.,rain,0.39,0.0213,0.0825,0.96,rain,56.73,45.09,47.81,0.84,1009.9,0.89,2,47.25,56.73,35.1264,33.4299
Cyprus,,1/7/2020,Light rain throughout the day.,rain,0.43,0.0076,0.0244,0.87,rain,56.95,46.64,46.95,0.88,1010.0,0.86,2,45.09,56.95,35.1264,33.4299
Cyprus,,1/8/2020,Partly cloudy throughout the day.,rain,0.46,0.003,0.0182,0.59,rain,59.81,45.28,43.99,0.76,1013.7,0.45,2,46.64,59.81,35.1264,33.4299
Cyprus,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.11,rain,59.26,42.27,39.52,0.68,1018.0,0.04,3,43.36,59.26,35.1264,33.4299
