Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Denmark,Denmark,12/31/2019,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.18,rain,43.56,38.08,35.65,0.86,1027.8,0.49,0,36.56,43.56,56.2639,9.5018
Denmark,Denmark,1/1/2020,Possible drizzle and windy overnight.,rain,0.24,0.0006,0.0028,0.25,rain,42.59,41.5,36.88,0.86,1018.2,0.91,0,38.31,42.72,56.2639,9.5018
Denmark,Denmark,1/2/2020,Light rain in the morning.,rain,0.27,0.006,0.0202,0.84,rain,47.32,39.19,38.72,0.83,1008.2,0.83,0,40.42,47.32,56.2639,9.5018
Denmark,Denmark,1/3/2020,Light rain and windy in the morning.,rain,0.3,0.0077,0.0568,0.73,rain,42.27,30.0,32.43,0.75,1015.2,0.49,0,33.72,43.75,56.2639,9.5018
Denmark,Denmark,1/4/2020,Overcast throughout the day.,rain,0.33,0.0003,0.0012,0.25,rain,44.58,42.38,34.68,0.88,1026.0,0.69,0,30.0,44.58,56.2639,9.5018
Denmark,Denmark,1/5/2020,Overcast throughout the day.,cloudy,0.36,0.001,0.0021,0.22,rain,46.87,39.56,40.89,0.89,1019.2,0.98,0,40.18,46.87,56.2639,9.5018
Denmark,Denmark,1/6/2020,Possible drizzle overnight.,rain,0.4,0.001,0.006999999999999999,0.46,rain,45.56,41.96,39.47,0.88,1014.9,0.87,0,39.56,45.56,56.2639,9.5018
Denmark,Denmark,1/7/2020,Possible drizzle and windy in the morning.,rain,0.43,0.0022,0.0123,0.65,rain,49.53,38.24,41.46,0.86,1012.0,0.79,0,41.02,49.82,56.2639,9.5018
Denmark,Denmark,1/8/2020,Light rain until evening.,rain,0.47,0.0142,0.0681,0.94,rain,48.18,41.28,39.1,0.89,1008.7,0.94,0,38.24,48.68,56.2639,9.5018
Denmark,Denmark,1/9/2020,Possible drizzle in the morning and afternoon.,rain,0.5,0.0023,0.0111,0.58,rain,43.27,31.96,37.48,0.88,1011.2,0.79,0,34.05,46.35,56.2639,9.5018
Denmark,Denmark,1/10/2020,Light rain in the evening and overnight.,rain,0.54,0.0025,0.0189,0.67,rain,46.29,44.3,36.29,0.85,1018.5,0.81,0,31.96,47.33,56.2639,9.5018
Denmark,Denmark,1/11/2020,Light rain until evening.,rain,0.57,0.0123,0.0421,0.99,rain,47.56,37.62,42.4,0.9,1009.3,0.99,0,41.0,48.04,56.2639,9.5018
Denmark,Denmark,1/12/2020,Light rain and windy overnight.,partly-cloudy-day,0.61,0.0002,0.0005,0.23,rain,44.12,40.05,37.5,0.87,1011.7,0.69,0,38.07,44.12,56.2639,9.5018
Denmark,Denmark,1/13/2020,"Light rain and dangerously windy until morning, starting again in the evening.",rain,0.65,0.0151,0.0611,0.97,rain,46.9,44.81,40.75,0.86,997.3,0.93,0,40.12,49.29,56.2639,9.5018
Denmark,Denmark,1/14/2020,Light rain until evening.,rain,0.69,0.023,0.0571,1.0,rain,49.11,42.28,42.89,0.87,998.6,0.95,0,42.09,52.69,56.2639,9.5018
Denmark,Denmark,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0002,0.12,rain,47.71,39.89,38.83,0.84,1017.5,0.52,0,39.89,47.71,56.2639,9.5018
Denmark,Denmark,1/16/2020,Light rain in the evening and overnight.,rain,0.76,0.0041,0.0355,0.8,rain,47.61,40.65,40.2,0.87,1012.6,0.97,0,40.77,47.61,56.2639,9.5018
Denmark,Denmark,1/17/2020,Light rain in the morning and afternoon.,rain,0.8,0.0076,0.0301,0.9,rain,45.85,38.5,38.62,0.85,1011.6,0.95,0,39.58,45.85,56.2639,9.5018
Denmark,Denmark,1/18/2020,Clear throughout the day.,partly-cloudy-day,0.83,0.0,0.0001,0.01,,44.79,37.84,33.72,0.79,1030.8,0.32,0,37.84,44.79,56.2639,9.5018
Denmark,Denmark,1/19/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.87,0.0,0.0002,0.06,,47.17,41.85,38.36,0.86,1039.5,0.81,0,38.65,47.17,56.2639,9.5018
Denmark,Denmark,1/20/2020,Overcast throughout the day.,rain,0.9,0.0003,0.0006,0.26,rain,49.34,40.13,40.66,0.87,1032.4,0.92,0,41.75,49.34,56.2639,9.5018
Denmark,Denmark,1/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.93,0.0,0.0002,0.04,,46.77,36.71,36.36,0.82,1030.4,0.63,0,36.71,46.77,56.2639,9.5018
Denmark,Denmark,1/22/2020,Overcast throughout the day.,rain,0.97,0.0008,0.0033,0.25,rain,47.92,42.34,40.13,0.91,1027.3,0.9,0,37.02,47.92,56.2639,9.5018
Denmark,Denmark,1/23/2020,Overcast throughout the day.,rain,1.0,0.0007,0.0028,0.32,rain,45.77,39.31,41.08,0.91,1017.3,0.92,0,41.36,45.77,56.2639,9.5018
Denmark,Denmark,1/24/2020,Mostly cloudy throughout the day.,rain,0.03,0.0008,0.0045,0.27,rain,47.69,40.21,39.16,0.88,1015.7,0.9,1,39.31,47.69,56.2639,9.5018
Denmark,Denmark,1/25/2020,Overcast throughout the day.,rain,0.06,0.001,0.0014,0.51,rain,44.72,39.76,37.83,0.87,1012.1,1.0,1,39.76,44.72,56.2639,9.5018
Denmark,Denmark,1/26/2020,Light rain throughout the day.,rain,0.09,0.0098,0.0575,0.86,rain,46.59,40.92,39.84,0.9,1001.6,1.0,0,39.94,46.59,56.2639,9.5018
Denmark,Denmark,1/27/2020,Light rain in the morning and afternoon.,rain,0.12,0.0057,0.023,0.8,rain,44.52,37.14,38.04,0.86,986.0,1.0,0,40.26,44.52,56.2639,9.5018
Denmark,Denmark,1/28/2020,Possible light rain in the morning and overnight.,rain,0.15,0.0016,0.0106,0.54,rain,46.02,39.15,35.41,0.82,992.0,0.71,0,37.14,46.02,56.2639,9.5018
Denmark,Denmark,1/29/2020,Rain throughout the day.,rain,0.18,0.0187,0.1184,0.88,rain,47.4,43.33,40.05,0.89,994.7,0.98,1,39.15,47.4,56.2639,9.5018
Denmark,Denmark,1/30/2020,Possible drizzle throughout the day.,rain,0.21,0.0038,0.0518,0.85,rain,45.94,44.74,41.95,0.88,994.1,1.0,1,43.06,47.65,56.2639,9.5018
Denmark,Denmark,1/31/2020,Drizzle throughout the day.,rain,0.24,0.0054,0.0151,0.79,rain,48.11,40.02,43.56,0.89,990.5,0.99,1,43.53,48.42,56.2639,9.5018
Denmark,Denmark,2/1/2020,Partly cloudy throughout the day.,rain,0.27,0.0001,0.0019,0.35,rain,43.74,35.02,34.57,0.79,999.3,0.63,1,36.27,43.74,56.2639,9.5018
