Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Djibouti,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0005,0.002,0.18,rain,77.99,60.43,61.98,0.84,1012.6,0.2,10,60.66,77.99,11.8251,42.5903
Djibouti,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0003,0.0006,0.14,rain,77.21,60.51,60.72,0.82,1013.3,0.28,10,60.43,77.21,11.8251,42.5903
Djibouti,,1/2/2020,Clear throughout the day.,partly-cloudy-day,0.27,0.0004,0.002,0.11,rain,77.02,60.05,60.55,0.82,1014.5,0.37,10,60.51,77.02,11.8251,42.5903
Djibouti,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.0005,0.0024,0.21,rain,74.75,59.82,60.17,0.83,1013.4,0.53,7,60.05,74.75,11.8251,42.5903
Djibouti,,1/4/2020,Partly cloudy throughout the day.,clear-day,0.33,0.0003,0.0009,0.11,rain,77.86,58.79,60.91,0.83,1011.5,0.21,8,59.82,77.86,11.8251,42.5903
Djibouti,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0001,0.0004,0.04,rain,79.39,61.85,61.59,0.82,1012.7,0.25,9,58.79,79.39,11.8251,42.5903
Djibouti,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.39,0.0007,0.0018,0.22,rain,78.41,60.21,63.85,0.87,1014.6,0.56,8,61.85,78.41,11.8251,42.5903
Djibouti,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.0002,0.0005,0.12,rain,76.57,60.29,61.47,0.84,1014.3,0.43,8,60.21,76.57,11.8251,42.5903
Djibouti,,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.46,0.0002,0.0007,0.11,rain,76.36,60.33,61.93,0.86,1013.0,0.42,8,60.29,76.36,11.8251,42.5903
Djibouti,,1/9/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.5,0.0008,0.0019,0.16,rain,79.42,60.33,61.49,0.83,1011.4,0.51,9,60.33,79.42,11.8251,42.5903
Djibouti,,1/10/2020,Mostly cloudy throughout the day.,rain,0.53,0.0027,0.0138,0.37,rain,71.92,58.93,62.49,0.91,1012.9,0.59,7,60.33,71.92,11.8251,42.5903
Djibouti,,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.57,0.0001,0.001,0.18,rain,73.22,60.15,57.42,0.79,1015.5,0.75,7,58.93,73.22,11.8251,42.5903
Djibouti,,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.0008,0.0033,0.23,rain,73.02,57.47,59.09,0.82,1015.9,0.74,7,60.18,73.02,11.8251,42.5903
Djibouti,,1/13/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.65,0.0005,0.0012,0.21,rain,73.48,58.43,59.43,0.84,1015.5,0.56,7,57.47,73.48,11.8251,42.5903
Djibouti,,1/14/2020,Mostly cloudy throughout the day.,rain,0.68,0.0026,0.0079,0.39,rain,71.4,56.74,60.39,0.91,1016.1,0.63,6,58.43,71.4,11.8251,42.5903
Djibouti,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0003,0.0014,0.1,rain,70.84,55.13,54.47,0.78,1016.3,0.45,8,56.74,70.84,11.8251,42.5903
Djibouti,,1/16/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.76,0.0002,0.0008,0.08,rain,68.96,55.31,54.03,0.8,1015.7,0.35,8,55.13,68.96,11.8251,42.5903
Djibouti,,1/17/2020,Clear throughout the day.,clear-day,0.79,0.0,0.0002,0.04,,74.25,56.51,54.73,0.77,1015.0,0.2,10,55.31,74.25,11.8251,42.5903
Djibouti,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.83,0.0,0.0002,0.02,,74.41,56.21,56.8,0.8,1014.8,0.38,8,56.51,74.41,11.8251,42.5903
Djibouti,,1/19/2020,Clear throughout the day.,clear-day,0.86,0.0001,0.0003,0.06,rain,76.55,57.3,56.43,0.77,1015.4,0.31,10,56.21,76.55,11.8251,42.5903
Djibouti,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.9,0.0001,0.0003,0.1,rain,77.31,57.3,57.43,0.78,1014.1,0.39,7,57.3,77.31,11.8251,42.5903
Djibouti,,1/21/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.93,0.0009,0.0041,0.21,rain,75.16,59.58,59.63,0.85,1013.9,0.61,7,57.3,75.16,11.8251,42.5903
Djibouti,,1/22/2020,Possible light rain in the morning.,rain,0.96,0.0072,0.0186,0.62,rain,70.27,59.39,62.6,0.96,1014.8,0.84,6,59.58,70.27,11.8251,42.5903
Djibouti,,1/23/2020,Overcast throughout the day.,rain,1.0,0.0022,0.0067,0.53,rain,73.0,59.77,61.37,0.89,1015.6,0.88,6,59.39,73.0,11.8251,42.5903
Djibouti,,1/24/2020,Overcast throughout the day.,rain,0.03,0.0009,0.003,0.3,rain,75.58,59.68,61.21,0.86,1016.6,0.91,6,59.77,75.58,11.8251,42.5903
Djibouti,,1/25/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.06,0.0004,0.0011,0.19,rain,73.51,59.5,60.3,0.85,1015.9,0.84,7,59.68,73.51,11.8251,42.5903
Djibouti,,1/26/2020,Mostly cloudy throughout the day.,rain,0.09,0.0015,0.0097,0.35,rain,72.43,59.05,60.16,0.86,1015.9,0.74,7,59.5,72.43,11.8251,42.5903
Djibouti,,1/27/2020,Partly cloudy throughout the day.,rain,0.12,0.0029,0.0112,0.39,rain,69.05,57.83,60.06,0.91,1014.8,0.43,8,59.05,69.05,11.8251,42.5903
Djibouti,,1/28/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.15,0.0004,0.0011,0.14,rain,70.87,56.78,57.6,0.84,1014.8,0.63,7,57.83,70.87,11.8251,42.5903
Djibouti,,1/29/2020,Overcast throughout the day.,cloudy,0.18,0.0002,0.0004,0.1,rain,70.23,57.31,58.31,0.87,1015.2,0.89,6,56.78,70.23,11.8251,42.5903
Djibouti,,1/30/2020,Mostly cloudy throughout the day.,cloudy,0.21,0.0002,0.0004,0.11,rain,71.29,57.57,57.34,0.83,1013.9,0.93,7,57.31,71.29,11.8251,42.5903
Djibouti,,1/31/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0003,0.0007,0.13,rain,73.69,58.03,59.53,0.87,1014.0,0.67,7,57.57,73.69,11.8251,42.5903
Djibouti,,2/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.27,0.0009,0.0025,0.21,rain,74.16,58.97,61.0,0.89,1014.7,0.53,9,58.03,74.16,11.8251,42.5903
Djibouti,,2/2/2020,Mostly cloudy throughout the day.,rain,0.3,0.0022,0.005,0.34,rain,69.95,57.04,60.63,0.91,1015.3,0.67,7,58.97,69.95,11.8251,42.5903
Djibouti,,2/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.34,0.0001,0.0003,0.12,rain,71.76,59.09,57.96,0.83,1014.4,0.42,8,57.04,71.76,11.8251,42.5903
Djibouti,,2/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.37,0.0004,0.0012,0.17,rain,72.36,58.19,60.14,0.87,1013.9,0.49,9,59.09,72.36,11.8251,42.5903
Djibouti,,2/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.41,0.0001,0.0007,0.07,rain,75.07,58.45,57.18,0.77,1015.3,0.47,9,58.19,75.07,11.8251,42.5903
Djibouti,,2/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.44,0.0001,0.0003,0.1,rain,74.38,58.52,54.39,0.68,1015.5,0.46,10,58.45,74.38,11.8251,42.5903
Djibouti,,2/7/2020,Clear throughout the day.,clear-day,0.48,0.0,0.0003,0.02,,76.75,58.0,53.55,0.64,1015.3,0.02,12,58.52,76.75,11.8251,42.5903
Djibouti,,2/8/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.52,0.0001,0.0003,0.09,rain,78.41,57.82,52.19,0.6,1014.9,0.47,8,58.0,78.41,11.8251,42.5903
Djibouti,,2/9/2020,Partly cloudy throughout the day.,clear-day,0.56,0.0001,0.0004,0.08,rain,78.75,60.83,58.58,0.76,1013.5,0.31,8,57.82,78.75,11.8251,42.5903
Djibouti,,2/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.59,0.0006,0.0022,0.14,rain,75.69,60.83,62.02,0.86,1012.4,0.71,7,60.83,75.69,11.8251,42.5903
Djibouti,,2/11/2020,Overcast throughout the day.,cloudy,0.63,0.0005,0.0015,0.21,rain,70.13,59.47,60.26,0.86,1015.4,0.88,6,60.83,70.13,11.8251,42.5903
Djibouti,,2/12/2020,Mostly cloudy throughout the day.,rain,0.67,0.0045,0.012,0.39,rain,70.5,58.21,60.78,0.91,1017.3,0.7,6,59.47,70.5,11.8251,42.5903
Djibouti,,2/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.71,0.0004,0.0015,0.1,rain,72.11,57.28,55.55,0.76,1016.4,0.41,10,58.21,72.11,11.8251,42.5903
