Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Dominican Republic,,12/31/2019,Possible light rain in the evening.,rain,0.19,0.0107,0.0458,0.59,rain,76.48,62.95,67.13,0.96,1015.8,0.56,7,63.84,76.48,18.7357,-70.1627
Dominican Republic,,1/1/2020,Possible light rain in the evening.,rain,0.22,0.0074,0.0327,0.45,rain,77.72,62.47,66.91,0.95,1016.0,0.53,6,62.94,77.72,18.7357,-70.1627
Dominican Republic,,1/2/2020,Partly cloudy throughout the day.,rain,0.25,0.0057,0.0162,0.47,rain,73.72,61.16,66.4,0.97,1017.4,0.45,6,62.47,73.72,18.7357,-70.1627
Dominican Republic,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.28,0.0007,0.0018,0.19,rain,75.49,62.39,64.26,0.92,1019.2,0.36,6,61.24,75.49,18.7357,-70.1627
Dominican Republic,,1/4/2020,Partly cloudy throughout the day.,rain,0.31,0.0018,0.0054,0.27,rain,78.09,60.93,65.34,0.91,1019.1,0.45,6,62.38,78.09,18.7357,-70.1627
Dominican Republic,,1/5/2020,Clear throughout the day.,clear-day,0.34,0.0005,0.0014,0.2,rain,76.52,60.4,64.11,0.9,1017.7,0.26,7,60.92,76.52,18.7357,-70.1627
Dominican Republic,,1/6/2020,Clear throughout the day.,clear-day,0.37,0.0003,0.0014,0.15,rain,77.54,60.79,62.29,0.85,1016.9,0.3,7,61.57,77.54,18.7357,-70.1627
Dominican Republic,,1/7/2020,Possible light rain in the evening.,rain,0.4,0.01,0.0548,0.45,rain,75.72,60.73,64.66,0.94,1017.3,0.46,7,60.79,75.72,18.7357,-70.1627
Dominican Republic,,1/8/2020,Partly cloudy throughout the day.,rain,0.44,0.0028,0.0121,0.38,rain,77.22,62.49,65.02,0.92,1019.5,0.43,7,60.74,77.22,18.7357,-70.1627
Dominican Republic,,1/9/2020,Possible light rain in the morning and overnight.,rain,0.47,0.008,0.0209,0.58,rain,75.67,61.64,65.19,0.93,1021.3,0.52,6,62.49,75.67,18.7357,-70.1627
Dominican Republic,,1/10/2020,Rain in the morning and afternoon.,rain,0.51,0.0217,0.1045,0.73,rain,71.94,60.71,64.9,0.96,1020.9,0.55,6,61.64,71.94,18.7357,-70.1627
