Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Ecuador,,12/31/2019,Possible light rain throughout the day.,rain,0.19,0.0147,0.0417,0.8,rain,71.77,61.43,62.71,0.9,1009.6,0.98,7,58.69,71.77,-1.8312,-78.1834
Ecuador,,1/1/2020,Possible light rain throughout the day.,rain,0.22,0.0325,0.0738,0.86,rain,74.49,61.09,64.05,0.92,1009.3,0.82,8,61.33,74.49,-1.8312,-78.1834
Ecuador,,1/2/2020,Possible light rain until evening.,rain,0.25,0.019,0.075,0.78,rain,73.8,60.12,62.68,0.92,1010.5,0.96,7,61.09,73.8,-1.8312,-78.1834
Ecuador,,1/3/2020,Rain in the morning and afternoon.,rain,0.28,0.0251,0.1308,0.7,rain,72.77,56.07,60.78,0.91,1013.1,0.87,7,59.28,72.77,-1.8312,-78.1834
Ecuador,,1/4/2020,Mostly cloudy throughout the day.,rain,0.31,0.0015,0.0058,0.31,rain,78.26,58.87,59.36,0.78,1012.8,0.71,9,56.06,78.26,-1.8312,-78.1834
Ecuador,,1/5/2020,Mostly cloudy throughout the day.,rain,0.34,0.004,0.0125,0.35,rain,78.75,58.52,60.81,0.78,1011.5,0.6,11,58.85,78.75,-1.8312,-78.1834
Ecuador,,1/6/2020,Partly cloudy throughout the day.,rain,0.37,0.0033,0.0096,0.26,rain,77.33,58.96,60.42,0.78,1011.7,0.54,11,58.52,77.33,-1.8312,-78.1834
Ecuador,,1/7/2020,Foggy in the morning.,rain,0.4,0.0038,0.0071,0.35,rain,77.97,58.24,59.48,0.78,1012.7,0.72,8,58.96,77.97,-1.8312,-78.1834
Ecuador,,1/8/2020,Mostly cloudy throughout the day.,rain,0.44,0.0038,0.0151,0.3,rain,75.95,55.04,56.72,0.74,1014.7,0.7,8,58.24,75.95,-1.8312,-78.1834
Ecuador,,1/9/2020,Foggy in the afternoon.,rain,0.47,0.0017,0.0064,0.32,rain,77.3,62.59,54.89,0.68,1013.4,0.61,8,55.04,77.3,-1.8312,-78.1834
