Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Egypt,,12/31/2019,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.02,rain,63.2,41.48,32.62,0.57,1018.6,0.79,4,39.09,63.2,26.0,30.0
Egypt,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.05,rain,59.49,37.51,29.62,0.52,1019.0,0.48,5,41.48,59.49,26.0,30.0
Egypt,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0004,0.02,,58.17,36.87,35.97,0.68,1023.0,0.02,5,37.51,58.17,26.0,30.0
Egypt,,1/3/2020,Clear throughout the day.,partly-cloudy-day,0.3,0.0002,0.0003,0.09,rain,55.92,36.48,29.96,0.57,1023.1,0.32,5,36.87,55.92,26.0,30.0
Egypt,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.04,rain,56.95,37.37,32.71,0.64,1021.9,0.0,5,36.48,56.95,26.0,30.0
Egypt,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,63.33,40.36,32.93,0.57,1019.1,0.02,5,38.41,63.33,26.0,30.0
Egypt,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.05,rain,60.33,36.27,33.41,0.57,1020.0,0.1,5,40.38,60.33,26.0,30.0
Egypt,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.02,,57.19,37.22,30.41,0.58,1022.2,0.0,5,36.25,57.19,26.0,30.0
Egypt,,1/8/2020,Partly cloudy throughout the day.,clear-day,0.46,0.0,0.0001,0.01,,56.49,36.64,32.76,0.61,1022.0,0.23,4,37.22,56.49,26.0,30.0
Egypt,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.05,rain,58.42,40.3,36.11,0.67,1021.8,0.17,5,35.81,58.42,26.0,30.0
Egypt,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.04,rain,61.72,39.61,37.78,0.67,1024.7,0.13,5,40.3,61.72,26.0,30.0
Egypt,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.04,rain,66.6,42.96,33.87,0.55,1024.4,0.21,5,39.61,66.6,26.0,30.0
Egypt,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.61,0.0001,0.0003,0.03,rain,69.05,43.18,35.72,0.53,1022.9,0.42,4,42.96,69.05,26.0,30.0
Egypt,,1/13/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0,0.0,,70.05,47.83,26.86,0.39,1020.3,0.77,4,43.18,70.05,26.0,30.0
Egypt,,1/14/2020,Clear throughout the day.,partly-cloudy-day,0.69,0.0,0.0001,0.02,,77.16,45.43,34.47,0.4,1016.3,0.4,5,47.83,77.16,26.0,30.0
Egypt,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0001,0.0002,0.02,rain,64.94,44.32,35.39,0.5,1017.7,0.08,5,45.43,64.94,26.0,30.0
Egypt,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.0002,0.0007,0.07,rain,60.43,41.45,43.4,0.74,1019.5,0.45,4,44.32,60.43,26.0,30.0
Egypt,,1/17/2020,Clear throughout the day.,clear-day,0.79,0.0,0.0002,0.03,,61.71,40.09,37.72,0.64,1022.1,0.17,5,41.45,61.71,26.0,30.0
Egypt,,1/18/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0,0.0,,60.5,38.9,36.3,0.63,1024.0,0.06,5,40.09,60.5,26.0,30.0
Egypt,,1/19/2020,Clear throughout the day.,clear-day,0.86,0.0,0.0002,0.02,,62.56,40.82,35.6,0.6,1026.6,0.0,6,38.9,62.56,26.0,30.0
Egypt,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0001,0.0002,0.03,rain,60.26,38.57,36.52,0.62,1026.0,0.05,5,40.82,60.26,26.0,30.0
Egypt,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0,0.0001,0.01,,58.68,36.57,34.7,0.64,1025.5,0.07,5,38.57,58.68,26.0,30.0
Egypt,,1/22/2020,Clear throughout the day.,clear-day,0.96,0.0001,0.0002,0.02,rain,61.47,36.77,34.12,0.63,1026.1,0.04,5,36.57,61.47,26.0,30.0
