Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Equatorial Guinea,,12/31/2019,Possible light rain in the afternoon and evening.,rain,0.21,0.0079,0.0462,0.53,rain,85.45,69.94,74.06,0.96,1010.1,0.86,6,70.63,85.45,1.5,10.0
Equatorial Guinea,,1/1/2020,Possible light rain in the evening.,rain,0.24,0.0151,0.0621,0.49,rain,84.15,70.42,73.96,0.96,1010.6,0.83,8,70.48,84.15,1.5,10.0
Equatorial Guinea,,1/2/2020,Humid and overcast throughout the day.,rain,0.27,0.0017,0.0055,0.46,rain,86.98,70.17,73.65,0.93,1010.9,0.91,7,70.42,86.98,1.5,10.0
Equatorial Guinea,,1/3/2020,Humid and overcast throughout the day.,rain,0.3,0.0028,0.0194,0.3,rain,86.15,70.35,72.87,0.89,1011.4,0.94,7,70.17,86.15,1.5,10.0
Equatorial Guinea,,1/4/2020,Possible light rain in the evening.,rain,0.33,0.0083,0.0299,0.58,rain,86.45,70.61,74.33,0.93,1010.8,0.65,8,70.35,86.45,1.5,10.0
Equatorial Guinea,,1/5/2020,Possible light rain in the afternoon and evening.,rain,0.36,0.0102,0.0641,0.75,rain,85.31,70.06,74.61,0.94,1009.9,0.91,6,71.46,85.31,1.5,10.0
Equatorial Guinea,,1/6/2020,Humid and partly cloudy throughout the day.,rain,0.4,0.005,0.0302,0.45,rain,85.77,69.5,73.64,0.91,1010.3,0.59,9,70.23,85.77,1.5,10.0
Equatorial Guinea,,1/7/2020,Possible light rain in the afternoon.,rain,0.43,0.0082,0.0513,0.56,rain,84.63,69.24,73.52,0.94,1011.4,0.64,9,69.27,84.63,1.5,10.0
Equatorial Guinea,,1/8/2020,Possible light rain in the afternoon and evening.,rain,0.47,0.0148,0.0672,0.74,rain,83.6,67.77,73.67,0.95,1012.1,0.83,7,69.24,83.6,1.5,10.0
Equatorial Guinea,,1/9/2020,Possible light rain in the evening.,rain,0.5,0.0089,0.0604,0.63,rain,84.03,66.57,71.46,0.88,1012.6,0.95,6,67.77,84.03,1.5,10.0
Equatorial Guinea,,1/10/2020,Humid and partly cloudy throughout the day.,rain,0.54,0.0069,0.0441,0.51,rain,85.08,66.8,71.02,0.88,1012.8,0.5,11,66.57,85.08,1.5,10.0
Equatorial Guinea,,1/11/2020,Humid throughout the day.,rain,0.57,0.006999999999999999,0.0293,0.52,rain,86.06,69.02,71.81,0.89,1012.1,0.37,12,66.8,86.06,1.5,10.0
Equatorial Guinea,,1/12/2020,Humid and partly cloudy throughout the day.,rain,0.61,0.0067,0.0387,0.46,rain,87.86,70.57,73.74,0.9,1010.5,0.45,8,69.02,87.86,1.5,10.0
