Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Estonia,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0006,0.14,snow,39.13,34.8,30.36,0.82,1012.8,0.45,0,30.64,39.13,58.5953,25.0136
Estonia,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.18,rain,41.86,36.05,34.78,0.86,1008.7,0.72,0,34.84,41.86,58.5953,25.0136
Estonia,,1/2/2020,Light rain in the afternoon and evening.,rain,0.27,0.0055,0.0301,0.78,rain,41.43,34.77,35.63,0.86,1001.6,0.62,0,36.05,42.47,58.5953,25.0136
Estonia,,1/3/2020,Mostly cloudy throughout the day.,rain,0.3,0.0013,0.0057,0.46,rain,37.7,29.93,30.8,0.81,993.6,0.62,0,33.77,38.95,58.5953,25.0136
Estonia,,1/4/2020,Possible light snow (< 1 in.) overnight.,partly-cloudy-day,0.33,0.0001,0.0004,0.19,snow,32.22,24.65,23.1,0.76,1016.3,0.38,0,24.65,34.18,58.5953,25.0136
Estonia,,1/5/2020,Possible light rain in the morning.,snow,0.36,0.0083,0.0457,0.64,snow,38.04,35.42,33.48,0.92,1016.7,0.96,0,28.86,38.04,58.5953,25.0136
Estonia,,1/6/2020,Overcast throughout the day.,rain,0.39,0.0017,0.008,0.3,rain,41.93,36.57,36.5,0.9,1017.0,0.99,0,36.84,41.93,58.5953,25.0136
Estonia,,1/7/2020,Possible light rain in the morning and afternoon.,rain,0.43,0.0053,0.0317,0.66,rain,43.94,35.71,36.45,0.88,1008.3,0.95,0,36.57,44.59,58.5953,25.0136
Estonia,,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.46,0.0,0.0002,0.05,,41.08,34.78,33.31,0.85,1009.6,0.48,0,34.78,41.44,58.5953,25.0136
Estonia,,1/9/2020,Overcast throughout the day.,cloudy,0.5,0.0002,0.0025,0.23,rain,39.03,24.78,33.98,0.91,1011.9,0.98,0,33.13,39.03,58.5953,25.0136
Estonia,,1/10/2020,Dangerously windy overnight.,partly-cloudy-day,0.54,0.0002,0.0013,0.15,snow,34.01,33.02,25.2,0.81,1018.5,0.46,0,24.78,36.44,58.5953,25.0136
Estonia,,1/11/2020,Light rain in the morning and afternoon.,rain,0.57,0.0167,0.0419,0.92,rain,44.74,32.49,37.65,0.86,1003.9,0.98,0,36.35,44.74,58.5953,25.0136
Estonia,,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.0003,0.0014,0.2,rain,38.86,35.2,33.09,0.88,1008.3,0.58,0,32.14,40.66,58.5953,25.0136
Estonia,,1/13/2020,Light rain in the evening and overnight.,rain,0.65,0.0074,0.0583,0.82,rain,39.54,37.04,33.33,0.86,1010.6,0.84,0,35.2,40.04,58.5953,25.0136
Estonia,,1/14/2020,Light rain throughout the day.,rain,0.69,0.0123,0.03,0.98,rain,45.91,41.5,39.92,0.88,1004.0,0.99,0,40.56,46.31,58.5953,25.0136
Estonia,,1/15/2020,Light rain in the morning.,rain,0.72,0.0089,0.0361,0.92,rain,43.11,36.84,38.7,0.86,1010.9,0.91,0,40.57,46.06,58.5953,25.0136
Estonia,,1/16/2020,Overcast throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.12,rain,42.88,31.1,34.74,0.85,1022.0,0.67,0,35.4,42.88,58.5953,25.0136
Estonia,,1/17/2020,Overcast throughout the day.,rain,0.79,0.001,0.0031,0.29,rain,40.46,38.2,31.56,0.85,1014.9,0.84,0,31.1,40.97,58.5953,25.0136
Estonia,,1/18/2020,Overcast throughout the day.,rain,0.83,0.001,0.0024,0.42,rain,42.54,33.96,35.6,0.87,1020.3,0.73,0,35.29,42.54,58.5953,25.0136
Estonia,,1/19/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.86,0.0,0.0002,0.08,,40.73,38.29,32.33,0.84,1027.4,0.65,0,33.96,40.73,58.5953,25.0136
Estonia,,1/20/2020,Possible light rain in the morning and afternoon.,rain,0.9,0.0024,0.0189,0.45,rain,45.35,35.25,36.21,0.83,1013.0,0.76,0,36.22,45.35,58.5953,25.0136
