Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Eswatini,,12/31/2019,Overcast throughout the day.,rain,0.21,0.0005,0.0036,0.31,rain,87.77,69.44,69.47,0.78,1013.9,0.88,6,67.06,87.77,-26.5225,31.4659
Eswatini,,1/1/2020,Humid and mostly cloudy throughout the day.,rain,0.24,0.0045,0.0232,0.41,rain,93.09,69.57,71.68,0.77,1012.3,0.72,7,69.44,93.09,-26.5225,31.4659
Eswatini,,1/2/2020,Humid throughout the day.,rain,0.27,0.0049,0.0257,0.37,rain,96.59,66.75,71.25,0.75,1013.7,0.39,13,69.57,96.59,-26.5225,31.4659
Eswatini,,1/3/2020,Clear throughout the day.,rain,0.3,0.0129,0.0669,0.35,rain,97.39,67.47,69.16,0.72,1012.4,0.33,14,66.75,97.39,-26.5225,31.4659
Eswatini,,1/4/2020,Humid and partly cloudy throughout the day.,rain,0.33,0.0049,0.0286,0.29,rain,98.29,71.44,69.68,0.71,1009.2,0.52,14,67.47,98.29,-26.5225,31.4659
Eswatini,,1/5/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.36,0.0004,0.0014,0.18,rain,94.82,70.04,70.73,0.74,1011.7,0.67,10,71.44,94.82,-26.5225,31.4659
Eswatini,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.39,0.0001,0.0003,0.09,rain,94.88,67.42,65.96,0.65,1013.1,0.63,11,70.04,94.88,-26.5225,31.4659
Eswatini,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.0001,0.0005,0.07,rain,95.41,70.67,65.78,0.64,1011.9,0.6,11,67.42,95.41,-26.5225,31.4659
Eswatini,,1/8/2020,Rain in the evening and overnight.,rain,0.46,0.0296,0.1556,0.64,rain,95.73,69.22,72.29,0.76,1010.0,0.76,8,70.67,95.73,-26.5225,31.4659
Eswatini,,1/9/2020,Light rain and humid throughout the day.,rain,0.5,0.0208,0.0778,0.95,rain,75.63,65.45,71.39,0.99,1017.0,1.0,6,68.68,75.63,-26.5225,31.4659
Eswatini,,1/10/2020,Mostly cloudy throughout the day.,rain,0.54,0.0007,0.0037,0.47,rain,83.87,63.91,67.85,0.84,1018.4,0.75,7,65.45,83.87,-26.5225,31.4659
Eswatini,,1/11/2020,Possible light rain overnight.,rain,0.57,0.0058,0.0349,0.46,rain,91.81,67.52,68.47,0.76,1014.6,0.24,14,63.91,91.81,-26.5225,31.4659
Eswatini,,1/12/2020,Possible light rain starting in the afternoon.,rain,0.61,0.0219,0.0934,0.86,rain,86.09,67.17,69.59,0.84,1015.2,0.7,10,67.52,86.09,-26.5225,31.4659
Eswatini,,1/13/2020,Humid and mostly cloudy throughout the day.,rain,0.65,0.0061,0.0205,0.61,rain,86.34,65.79,69.39,0.84,1015.2,0.75,9,67.17,86.34,-26.5225,31.4659
Eswatini,,1/14/2020,Clear throughout the day.,partly-cloudy-day,0.69,0.0002,0.002,0.14,rain,89.57,66.15,66.1,0.71,1016.3,0.33,10,65.79,89.57,-26.5225,31.4659
Eswatini,,1/15/2020,Humid and partly cloudy throughout the day.,rain,0.72,0.0035,0.0247,0.33,rain,89.37,68.3,68.44,0.78,1016.0,0.52,9,66.15,89.37,-26.5225,31.4659
Eswatini,,1/16/2020,Humid throughout the day.,clear-day,0.76,0.0005,0.0055,0.21,rain,92.47,69.52,69.57,0.74,1011.5,0.11,15,68.3,92.47,-26.5225,31.4659
Eswatini,,1/17/2020,Rain starting in the afternoon.,rain,0.79,0.035,0.1756,0.8,rain,90.3,69.62,72.2,0.85,1008.2,0.88,8,69.52,90.3,-26.5225,31.4659
Eswatini,,1/18/2020,Possible drizzle in the morning.,rain,0.83,0.0038,0.0311,0.86,rain,74.94,63.75,68.74,0.93,1011.3,0.98,6,66.25,74.94,-26.5225,31.4659
Eswatini,,1/19/2020,Possible drizzle in the morning.,rain,0.86,0.0042,0.012,0.63,rain,71.91,59.62,62.49,0.85,1017.7,0.91,6,63.75,71.91,-26.5225,31.4659
Eswatini,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.9,0.0002,0.0012,0.09,rain,83.08,63.02,60.92,0.71,1016.3,0.53,9,59.62,83.08,-26.5225,31.4659
Eswatini,,1/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.93,0.0001,0.0005,0.06,rain,84.72,66.29,65.28,0.78,1012.6,0.62,10,63.02,84.72,-26.5225,31.4659
Eswatini,,1/22/2020,Possible light rain in the evening.,rain,0.96,0.0051,0.0313,0.46,rain,83.31,65.1,68.76,0.87,1013.4,0.86,8,66.29,83.31,-26.5225,31.4659
Eswatini,,1/23/2020,Mostly cloudy throughout the day.,rain,1.0,0.0007,0.0067,0.29,rain,83.14,67.51,67.02,0.81,1017.6,0.77,9,65.1,83.14,-26.5225,31.4659
Eswatini,,1/24/2020,Mostly cloudy throughout the day.,rain,0.03,0.0007,0.0087,0.26,rain,86.64,64.03,68.67,0.81,1014.9,0.74,8,67.51,86.64,-26.5225,31.4659
Eswatini,,1/25/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.06,0.0012,0.0188,0.11,rain,100.07,69.49,67.06,0.66,1009.7,0.32,11,64.03,100.07,-26.5225,31.4659
Eswatini,,1/26/2020,Overcast throughout the day.,partly-cloudy-day,0.09,0.001,0.0106,0.2,rain,81.51,64.01,62.18,0.68,1016.8,0.85,6,67.19,81.51,-26.5225,31.4659
Eswatini,,1/27/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.12,0.0002,0.0013,0.1,rain,88.05,61.55,63.57,0.72,1016.6,0.6,8,64.01,88.05,-26.5225,31.4659
Eswatini,,1/28/2020,Clear throughout the day.,clear-day,0.15,0.0001,0.0003,0.08,rain,94.33,66.02,65.9,0.71,1014.8,0.17,11,61.55,94.33,-26.5225,31.4659
