Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Ethiopia,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0002,0.0007,0.07,rain,82.75,62.81,55.8,0.59,1012.6,0.18,9,60.42,82.75,9.145,40.4897
Ethiopia,,1/1/2020,Mostly cloudy throughout the day.,rain,0.24,0.0073,0.0238,0.27,rain,82.77,61.97,59.15,0.65,1012.6,0.58,8,62.81,82.77,9.145,40.4897
Ethiopia,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0005,0.0025,0.1,rain,84.77,60.97,53.75,0.54,1013.9,0.21,10,61.97,84.77,9.145,40.4897
Ethiopia,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.3,0.0003,0.0006,0.16,rain,82.3,60.96,53.08,0.54,1012.7,0.41,8,60.97,82.3,9.145,40.4897
Ethiopia,,1/4/2020,Clear throughout the day.,partly-cloudy-day,0.33,0.0001,0.0006,0.07,rain,84.57,63.45,53.0,0.52,1011.9,0.36,10,60.94,84.57,9.145,40.4897
Ethiopia,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.0004,0.0033,0.09,rain,82.64,63.61,57.5,0.62,1013.8,0.49,9,63.45,82.64,9.145,40.4897
Ethiopia,,1/6/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.39,0.0029,0.0119,0.24,rain,80.4,62.88,58.18,0.65,1015.2,0.64,7,63.61,80.4,9.145,40.4897
Ethiopia,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.0001,0.0005,0.05,rain,82.73,60.55,53.22,0.55,1014.6,0.49,8,62.88,82.73,9.145,40.4897
Ethiopia,,1/8/2020,Clear throughout the day.,clear-day,0.46,0.0003,0.0023,0.03,rain,84.2,60.78,53.47,0.54,1013.5,0.27,10,60.55,84.2,9.145,40.4897
Ethiopia,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0002,0.0006,0.05,rain,85.95,64.54,52.4,0.51,1011.5,0.2,11,60.78,85.95,9.145,40.4897
Ethiopia,,1/10/2020,Clear throughout the day.,clear-day,0.53,0.0001,0.0026,0.09,rain,83.18,59.53,56.97,0.6,1012.3,0.09,11,64.54,83.18,9.145,40.4897
Ethiopia,,1/11/2020,Overcast throughout the day.,rain,0.57,0.0032,0.0072,0.39,rain,73.5,59.68,59.43,0.83,1015.6,0.91,7,59.43,73.5,9.145,40.4897
Ethiopia,,1/12/2020,Possible drizzle in the morning.,rain,0.61,0.0034,0.0067,0.49,rain,72.37,59.49,59.47,0.86,1016.0,0.89,6,59.11,72.37,9.145,40.4897
Ethiopia,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0017,0.0052,0.22,rain,77.44,57.77,57.4,0.75,1015.8,0.48,8,59.49,77.44,9.145,40.4897
Ethiopia,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.68,0.0,0.0001,0.02,,77.33,56.54,53.84,0.64,1015.8,0.33,7,57.77,77.33,9.145,40.4897
Ethiopia,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0004,0.06,rain,81.01,52.5,47.56,0.56,1015.6,0.32,8,56.54,81.01,9.145,40.4897
Ethiopia,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.05,rain,80.5,52.38,32.92,0.31,1015.3,0.04,12,52.5,80.5,9.145,40.4897
Ethiopia,,1/17/2020,Clear throughout the day.,clear-day,0.79,0.0,0.0002,0.04,,80.9,53.13,34.92,0.33,1015.2,0.05,12,52.38,80.9,9.145,40.4897
Ethiopia,,1/18/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0,0.0,,80.33,55.49,40.11,0.4,1015.2,0.1,11,53.13,80.33,9.145,40.4897
Ethiopia,,1/19/2020,Partly cloudy throughout the day.,clear-day,0.86,0.0001,0.0002,0.03,rain,79.5,56.47,45.93,0.48,1016.0,0.23,9,55.49,79.5,9.145,40.4897
Ethiopia,,1/20/2020,Partly cloudy throughout the day.,clear-day,0.9,0.0001,0.0002,0.05,rain,81.65,57.1,48.12,0.51,1014.4,0.28,10,56.47,81.65,9.145,40.4897
Ethiopia,,1/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.93,0.0,0.0001,0.02,,79.99,58.91,51.99,0.58,1013.7,0.41,9,57.1,79.99,9.145,40.4897
Ethiopia,,1/22/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.96,0.0001,0.0005,0.06,rain,80.72,61.01,55.48,0.64,1014.0,0.43,10,58.91,80.72,9.145,40.4897
Ethiopia,,1/23/2020,Mostly cloudy throughout the day.,rain,1.0,0.0014,0.0055,0.25,rain,76.89,60.45,60.8,0.81,1015.6,0.8,7,61.01,76.89,9.145,40.4897
Ethiopia,,1/24/2020,Overcast throughout the day.,rain,0.03,0.0023,0.0096,0.33,rain,79.91,62.22,61.26,0.83,1016.5,0.97,6,60.45,79.91,9.145,40.4897
Ethiopia,,1/25/2020,Overcast throughout the day.,rain,0.06,0.003,0.006999999999999999,0.35,rain,72.94,61.75,60.82,0.83,1015.5,0.98,6,62.19,72.94,9.145,40.4897
Ethiopia,,1/26/2020,Overcast throughout the day.,rain,0.09,0.0031,0.0089,0.48,rain,72.72,61.17,60.22,0.83,1015.6,0.91,6,61.75,72.72,9.145,40.4897
Ethiopia,,1/27/2020,Mostly cloudy throughout the day.,rain,0.12,0.0017,0.0046,0.31,rain,80.53,60.53,60.31,0.78,1014.0,0.63,7,61.17,80.53,9.145,40.4897
Ethiopia,,1/28/2020,Clear throughout the day.,partly-cloudy-day,0.15,0.0001,0.0003,0.12,rain,80.38,61.05,56.8,0.66,1013.6,0.38,10,60.53,80.38,9.145,40.4897
Ethiopia,,1/29/2020,Overcast throughout the day.,cloudy,0.18,0.0005,0.0027,0.12,rain,80.73,60.22,56.67,0.64,1014.0,0.96,6,61.05,80.73,9.145,40.4897
Ethiopia,,1/30/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.09,rain,83.11,62.58,54.86,0.58,1012.7,0.85,10,60.22,83.11,9.145,40.4897
Ethiopia,,1/31/2020,Overcast throughout the day.,rain,0.24,0.0028,0.0147,0.29,rain,81.22,63.15,56.57,0.64,1013.6,0.88,6,62.58,81.22,9.145,40.4897
