Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Finland,,12/31/2019,Possible light rain starting in the afternoon.,snow,0.21,0.0043,0.0216,0.65,snow,38.56,37.04,28.29,0.89,999.3,0.68,0,25.82,39.48,64.0,26.0
Finland,,1/1/2020,Overcast throughout the day.,rain,0.24,0.0004,0.0059,0.5,rain,41.97,37.03,34.09,0.83,992.2,0.91,0,37.01,41.97,64.0,26.0
Finland,,1/2/2020,Light rain in the afternoon and evening.,rain,0.27,0.0064,0.0308,0.81,rain,39.85,28.47,32.88,0.86,981.4,0.96,0,29.67,39.85,64.0,26.0
Finland,,1/3/2020,Foggy throughout the day.,snow,0.3,0.0055,0.0165,0.39,snow,32.86,17.07,24.39,0.8,980.5,0.86,0,27.78,32.86,64.0,26.0
Finland,,1/4/2020,Foggy overnight.,partly-cloudy-day,0.33,0.0003,0.0064,0.24,snow,23.68,22.69,16.16,0.79,1011.7,0.42,0,16.79,28.35,64.0,26.0
Finland,,1/5/2020,Foggy in the morning.,partly-cloudy-day,0.36,0.0009,0.0049,0.13,snow,32.98,29.06,26.48,0.87,1006.8,0.8,0,24.87,32.98,64.0,26.0
Finland,,1/6/2020,Overcast throughout the day.,cloudy,0.39,0.0005,0.0021,0.19,rain,38.52,34.66,33.37,0.93,1004.6,0.99,0,32.05,38.52,64.0,26.0
Finland,,1/7/2020,Light rain until evening.,rain,0.43,0.0126,0.0375,0.84,rain,39.57,32.21,34.34,0.91,989.3,0.98,0,33.55,39.57,64.0,26.0
Finland,,1/8/2020,Partly cloudy throughout the day.,snow,0.46,0.0005,0.0046,0.32,snow,35.81,28.21,26.72,0.77,993.5,0.33,0,31.26,35.81,64.0,26.0
Finland,,1/9/2020,Clear throughout the day.,partly-cloudy-day,0.5,0.0001,0.0003,0.07,snow,29.58,25.0,24.59,0.84,1006.0,0.32,0,26.01,31.83,64.0,26.0
Finland,,1/10/2020,Light rain overnight.,snow,0.54,0.0017,0.0078,0.3,snow,33.92,31.82,24.25,0.84,1005.2,0.73,0,24.91,37.95,64.0,26.0
Finland,,1/11/2020,Possible light rain in the morning.,rain,0.57,0.0055,0.027999999999999997,0.78,rain,37.28,27.26,30.9,0.86,988.0,0.59,0,30.53,38.13,64.0,26.0
Finland,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0004,0.06,snow,30.88,28.9,25.96,0.85,996.3,0.23,0,27.07,32.42,64.0,26.0
Finland,,1/13/2020,Light rain in the evening and overnight.,rain,0.65,0.0037,0.0256,0.71,rain,34.63,33.64,27.49,0.84,997.4,0.89,0,28.9,36.26,64.0,26.0
Finland,,1/14/2020,Possible light rain starting in the afternoon.,rain,0.69,0.0108,0.0266,0.89,rain,37.26,32.82,32.99,0.91,988.2,0.97,0,33.22,38.15,64.0,26.0
Finland,,1/15/2020,Possible drizzle in the morning.,rain,0.72,0.0022,0.0083,0.51,rain,34.19,31.53,30.25,0.9,998.2,0.92,0,30.3,35.95,64.0,26.0
Finland,,1/16/2020,Light rain in the evening and overnight.,rain,0.76,0.0026,0.0229,0.7,rain,35.34,33.26,30.42,0.87,1009.5,0.72,0,32.57,35.49,64.0,26.0
Finland,,1/17/2020,"Light rain until afternoon, starting again overnight.",rain,0.79,0.004,0.0139,0.76,rain,38.75,31.32,33.44,0.93,1005.8,1.0,0,32.59,38.75,64.0,26.0
Finland,,1/18/2020,Light rain in the morning.,rain,0.83,0.006,0.0188,0.83,rain,33.66,24.26,28.29,0.91,1009.6,0.99,0,25.97,36.5,64.0,26.0
Finland,,1/19/2020,Light rain in the evening and overnight.,rain,0.86,0.004,0.0322,0.76,rain,38.73,36.91,29.45,0.86,1011.4,0.96,0,24.26,43.49,64.0,26.0
Finland,,1/20/2020,Windy in the morning.,rain,0.9,0.0008,0.0042,0.39,rain,39.34,26.63,29.4,0.74,996.3,0.57,0,31.17,44.81,64.0,26.0
Finland,,1/21/2020,Clear throughout the day.,partly-cloudy-day,0.93,0.0002,0.0005,0.19,snow,30.0,20.77,21.05,0.76,1003.3,0.32,0,24.44,31.79,64.0,26.0
Finland,,1/22/2020,Possible light rain (with a chance of 1–2 in. of snow) in the evening and overnight.,snow,0.96,0.0074,0.0379,0.51,snow,30.69,29.7,22.17,0.84,1005.7,0.66,0,20.42,37.0,64.0,26.0
Finland,,1/23/2020,Foggy overnight.,rain,1.0,0.0007,0.0092,0.37,rain,31.42,26.32,26.8,0.84,992.2,0.43,0,27.97,37.44,64.0,26.0
Finland,,1/24/2020,Foggy in the morning.,snow,0.03,0.0009,0.0067,0.27,snow,28.01,20.44,21.53,0.82,994.3,0.48,0,22.46,30.95,64.0,26.0
Finland,,1/25/2020,Foggy in the morning.,cloudy,0.06,0.0004,0.0023,0.16,snow,25.72,7.61,14.69,0.82,1003.9,0.93,0,10.73,25.72,64.0,26.0
Finland,,1/26/2020,Foggy starting in the afternoon.,cloudy,0.09,0.0029,0.0101,0.18,snow,16.68,15.69,7.17,0.76,1012.8,0.99,0,7.61,17.47,64.0,26.0
Finland,,1/27/2020,Foggy throughout the day.,snow,0.12,0.0073,0.0257,0.49,snow,22.96,21.88,15.62,0.82,1003.5,1.0,0,16.83,23.14,64.0,26.0
