Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
France,France,12/31/2019,Overcast throughout the day.,partly-cloudy-day,0.21,0.0005,0.0036,0.18,rain,52.04,39.55,34.3,0.85,1032.5,0.63,1,29.33,52.04,46.2276,2.2137
France,France,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0002,0.0007,0.1,rain,52.89,39.62,37.52,0.81,1029.3,0.82,1,39.55,52.89,46.2276,2.2137
France,France,1/2/2020,Overcast throughout the day.,cloudy,0.27,0.0011,0.0065,0.24,rain,51.56,40.06,39.26,0.8,1029.5,0.97,1,40.86,51.56,46.2276,2.2137
France,France,1/3/2020,Overcast throughout the day.,rain,0.3,0.0011,0.006999999999999999,0.3,rain,47.14,29.57,35.97,0.83,1036.4,0.9,1,29.85,47.14,46.2276,2.2137
France,France,1/4/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.33,0.0001,0.0003,0.08,rain,46.76,28.18,30.68,0.79,1035.9,0.43,1,29.93,46.76,46.2276,2.2137
France,France,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,55.35,36.62,29.38,0.7,1029.0,0.09,1,29.07,55.35,46.2276,2.2137
France,France,1/6/2020,Overcast throughout the day.,cloudy,0.4,0.001,0.0019,0.2,rain,50.86,45.22,40.25,0.86,1031.7,0.97,1,36.62,50.86,46.2276,2.2137
France,France,1/7/2020,Overcast throughout the day.,rain,0.43,0.0012,0.0098,0.37,rain,56.31,44.23,44.92,0.86,1030.4,0.95,1,45.19,56.31,46.2276,2.2137
France,France,1/8/2020,Light rain in the evening and overnight.,rain,0.47,0.0024,0.0188,0.59,rain,55.37,43.16,41.18,0.75,1022.3,0.79,1,44.23,55.37,46.2276,2.2137
France,France,1/9/2020,Possible drizzle in the morning.,rain,0.5,0.0039,0.0273,0.74,rain,45.98,27.21,38.0,0.83,1025.8,0.79,1,34.05,47.09,46.2276,2.2137
France,France,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.03,rain,49.14,26.46,29.5,0.81,1034.0,0.56,1,27.21,49.14,46.2276,2.2137
France,France,1/11/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.57,0.0001,0.0006,0.06,rain,48.77,38.04,28.98,0.75,1030.8,0.67,1,26.46,48.77,46.2276,2.2137
France,France,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.0009,0.0078,0.19,rain,57.63,43.16,36.01,0.71,1022.1,0.83,1,39.48,57.63,46.2276,2.2137
France,France,1/13/2020,Overcast throughout the day.,cloudy,0.65,0.0,0.0,0.0,,57.57,44.23,29.04,0.46,1015.6,0.96,1,43.16,57.57,46.2276,2.2137
France,France,1/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.69,0.0001,0.0008,0.1,rain,59.14,38.09,38.11,0.64,1018.2,0.59,1,44.23,59.14,46.2276,2.2137
France,France,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0,0.0002,0.05,,61.89,46.48,38.64,0.71,1023.2,0.18,1,38.09,61.89,46.2276,2.2137
France,France,1/16/2020,Light rain in the morning and afternoon.,rain,0.76,0.006,0.0305,0.83,rain,49.81,32.51,38.33,0.75,1023.3,0.72,1,39.82,49.82,46.2276,2.2137
France,France,1/17/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.8,0.0,0.0002,0.05,,48.52,31.66,31.49,0.76,1029.3,0.52,1,32.48,48.52,46.2276,2.2137
France,France,1/18/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.83,0.0001,0.0006,0.16,rain,41.64,29.2,28.03,0.76,1035.1,0.75,1,31.15,41.64,46.2276,2.2137
France,France,1/19/2020,Clear throughout the day.,partly-cloudy-day,0.87,0.0001,0.0006,0.06,snow,43.16,23.94,23.9,0.68,1039.7,0.34,1,29.07,43.16,46.2276,2.2137
France,France,1/20/2020,Partly cloudy throughout the day.,clear-day,0.9,0.0001,0.0002,0.06,snow,49.16,25.22,21.84,0.65,1038.0,0.28,1,23.94,49.16,46.2276,2.2137
France,France,1/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.93,0.0,0.0001,0.02,,50.89,31.32,22.51,0.59,1032.2,0.36,1,25.22,50.89,46.2276,2.2137
France,France,1/22/2020,Overcast throughout the day.,partly-cloudy-day,0.97,0.0002,0.0022,0.06,rain,50.14,33.2,26.99,0.63,1025.6,0.82,1,31.32,50.14,46.2276,2.2137
France,France,1/23/2020,Clear throughout the day.,clear-day,1.0,0.0001,0.0002,0.07,rain,58.15,35.75,35.85,0.79,1023.1,0.23,1,33.2,58.15,46.2276,2.2137
France,France,1/24/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.03,0.0001,0.0003,0.08,rain,57.98,36.47,36.22,0.8,1020.5,0.72,1,35.75,57.98,46.2276,2.2137
France,France,1/25/2020,Possible drizzle in the afternoon.,rain,0.06,0.0008,0.0055,0.43,rain,51.35,41.31,37.87,0.85,1019.3,0.84,1,36.47,51.35,46.2276,2.2137
France,France,1/26/2020,Light rain starting in the afternoon.,rain,0.09,0.0086,0.0221,0.9,rain,48.53,41.42,39.22,0.79,1014.2,0.97,1,41.79,48.53,46.2276,2.2137
France,France,1/27/2020,Light rain throughout the day.,rain,0.12,0.0201,0.0337,0.98,rain,43.07,41.82,39.07,0.86,1011.3,0.98,1,40.25,47.08,46.2276,2.2137
France,France,1/28/2020,Light rain in the morning.,rain,0.15,0.0071,0.0311,0.81,rain,49.0,36.46,39.54,0.88,1018.6,0.94,1,38.32,49.0,46.2276,2.2137
France,France,1/29/2020,Light rain throughout the day.,rain,0.18,0.0079,0.0243,0.93,rain,51.85,50.34,43.73,0.9,1016.9,0.94,1,36.46,52.23,46.2276,2.2137
France,France,1/30/2020,Possible drizzle in the morning.,rain,0.21,0.0031,0.0104,0.64,rain,56.38,47.99,49.18,0.91,1018.1,0.92,1,48.45,56.38,46.2276,2.2137
France,France,1/31/2020,Possible drizzle overnight.,rain,0.24,0.0012,0.0061,0.4,rain,56.24,50.17,46.8,0.85,1017.0,0.73,1,47.99,56.24,46.2276,2.2137
France,France,2/1/2020,Light rain in the morning and afternoon.,rain,0.27,0.013999999999999999,0.068,0.95,rain,57.86,51.94,50.92,0.89,1021.1,0.97,2,50.91,57.86,46.2276,2.2137
France,France,2/2/2020,Windy overnight.,wind,0.31,0.0004,0.0022,0.24,rain,61.63,39.02,48.36,0.78,1023.3,0.75,2,51.67,61.63,46.2276,2.2137
France,France,2/3/2020,Possible light rain in the morning and afternoon.,rain,0.34,0.0077,0.0348,0.68,rain,45.32,30.4,37.42,0.83,1027.2,0.67,1,38.21,56.04,46.2276,2.2137
France,France,2/4/2020,Foggy in the morning.,partly-cloudy-day,0.37,0.0001,0.0008,0.15,rain,48.17,29.29,31.77,0.82,1035.4,0.83,2,30.4,48.17,46.2276,2.2137
France,France,2/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.41,0.0,0.0003,0.01,,49.74,27.68,23.49,0.61,1028.4,0.54,2,29.29,49.74,46.2276,2.2137
France,France,2/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.44,0.0001,0.0003,0.04,rain,59.64,32.42,31.44,0.72,1024.0,0.43,2,27.68,59.64,46.2276,2.2137
France,France,2/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.48,0.0001,0.0003,0.03,rain,58.92,42.37,36.08,0.74,1023.6,0.54,2,32.42,58.92,46.2276,2.2137
France,France,2/8/2020,Possible drizzle overnight.,wind,0.52,0.0003,0.0026,0.15,rain,59.06,48.33,40.74,0.71,1021.1,0.82,2,42.37,59.06,46.2276,2.2137
France,France,2/9/2020,Drizzle in the morning and overnight.,rain,0.56,0.0054,0.0112,0.81,rain,55.51,43.68,44.22,0.76,1018.0,0.99,2,48.07,55.51,46.2276,2.2137
France,France,2/10/2020,Possible drizzle in the afternoon.,rain,0.6,0.0029,0.0147,0.72,rain,48.8,34.69,38.38,0.78,1021.7,0.88,2,38.44,49.17,46.2276,2.2137
France,France,2/11/2020,Partly cloudy throughout the day.,rain,0.64,0.0007,0.0033,0.34,rain,51.4,32.84,34.04,0.79,1024.9,0.69,2,34.03,51.4,46.2276,2.2137
France,France,2/12/2020,Light rain in the afternoon and evening.,rain,0.67,0.0063,0.0324,0.73,rain,53.3,41.6,38.76,0.79,1015.2,0.94,2,32.84,53.3,46.2276,2.2137
France,France,2/13/2020,Overcast throughout the day.,rain,0.71,0.0009,0.004,0.32,rain,54.69,29.71,38.62,0.79,1025.2,0.9,2,36.22,54.69,46.2276,2.2137
France,France,2/14/2020,Clear throughout the day.,partly-cloudy-day,0.75,0.0001,0.0003,0.03,rain,62.61,50.35,34.03,0.68,1023.8,0.46,2,29.71,62.61,46.2276,2.2137
