Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
French Guiana,,12/31/2019,Humid and overcast throughout the day.,cloudy,0.18,0.0009,0.0033,0.15,rain,83.26,65.33,69.4,0.87,1011.8,0.92,6,66.51,83.26,3.9339,-53.1258
French Guiana,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0002,0.0006,0.1,rain,84.22,65.87,67.83,0.83,1012.3,0.69,9,65.33,84.22,3.9339,-53.1258
French Guiana,,1/2/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.24,0.0005,0.0026,0.12,rain,85.47,66.54,67.92,0.83,1012.5,0.69,9,65.87,85.47,3.9339,-53.1258
French Guiana,,1/3/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.27,0.0007,0.0052,0.17,rain,84.56,70.36,70.21,0.88,1013.5,0.64,6,66.54,84.56,3.9339,-53.1258
French Guiana,,1/4/2020,Possible light rain in the evening and overnight.,rain,0.31,0.0051,0.0258,0.47,rain,84.31,69.2,72.4,0.92,1013.7,0.75,6,70.26,84.31,3.9339,-53.1258
French Guiana,,1/5/2020,Possible light rain in the morning.,rain,0.34,0.0106,0.0491,0.68,rain,85.43,69.86,71.97,0.9,1012.1,0.53,9,69.2,85.43,3.9339,-53.1258
French Guiana,,1/6/2020,Humid and overcast throughout the day.,rain,0.37,0.0006,0.0015,0.26,rain,86.37,70.28,70.69,0.84,1012.3,0.77,6,69.86,86.37,3.9339,-53.1258
French Guiana,,1/7/2020,Possible light rain and humid throughout the day.,rain,0.4,0.0108,0.0266,0.85,rain,81.74,71.46,73.12,0.95,1013.0,0.87,7,70.28,81.74,3.9339,-53.1258
French Guiana,,1/8/2020,Possible drizzle in the afternoon and evening.,rain,0.44,0.0044,0.0147,0.7,rain,85.67,70.02,73.37,0.92,1013.0,0.69,7,71.46,85.67,3.9339,-53.1258
French Guiana,,1/9/2020,Possible drizzle in the afternoon.,rain,0.47,0.0047,0.0121,0.59,rain,83.74,67.61,71.65,0.89,1013.1,0.68,9,70.02,83.74,3.9339,-53.1258
French Guiana,,1/10/2020,Partly cloudy throughout the day.,rain,0.51,0.001,0.0052,0.29,rain,84.25,66.93,68.89,0.84,1013.0,0.48,8,67.61,84.25,3.9339,-53.1258
French Guiana,,1/11/2020,Partly cloudy throughout the day.,rain,0.54,0.001,0.0051,0.32,rain,87.97,69.53,67.57,0.78,1012.7,0.43,9,66.93,87.97,3.9339,-53.1258
French Guiana,,1/12/2020,Possible drizzle in the afternoon.,rain,0.58,0.0028,0.0082,0.58,rain,85.13,69.71,70.18,0.84,1012.9,0.43,8,69.53,85.13,3.9339,-53.1258
French Guiana,,1/13/2020,Light rain and humid throughout the day.,rain,0.62,0.0102,0.0292,0.93,rain,78.68,69.24,72.72,0.98,1012.6,0.91,7,69.81,78.68,3.9339,-53.1258
French Guiana,,1/14/2020,Rain and humid throughout the day.,rain,0.66,0.0385,0.1193,0.96,rain,76.45,70.32,72.76,1.0,1012.0,0.82,7,69.24,76.45,3.9339,-53.1258
French Guiana,,1/15/2020,Light rain until evening.,rain,0.69,0.018000000000000002,0.0598,0.91,rain,80.46,70.15,73.99,0.99,1011.5,0.86,7,70.32,80.46,3.9339,-53.1258
French Guiana,,1/16/2020,Rain starting in the afternoon.,rain,0.73,0.0414,0.1665,0.89,rain,83.45,69.51,73.84,0.97,1012.6,0.76,8,70.15,83.45,3.9339,-53.1258
French Guiana,,1/17/2020,Light rain until evening.,rain,0.77,0.0136,0.0719,0.88,rain,82.12,70.31,74.03,0.98,1013.3,0.91,6,69.51,82.12,3.9339,-53.1258
French Guiana,,1/18/2020,Humid and mostly cloudy throughout the day.,rain,0.8,0.0012,0.0038,0.31,rain,84.73,70.22,73.18,0.92,1013.4,0.73,8,70.31,84.73,3.9339,-53.1258
French Guiana,,1/19/2020,Humid and partly cloudy throughout the day.,rain,0.84,0.0011,0.0055,0.28,rain,87.84,70.95,71.53,0.84,1012.7,0.55,10,70.22,87.84,3.9339,-53.1258
French Guiana,,1/20/2020,Humid and mostly cloudy throughout the day.,rain,0.87,0.0044,0.0187,0.58,rain,84.3,69.36,73.27,0.93,1012.0,0.77,9,70.95,84.3,3.9339,-53.1258
French Guiana,,1/21/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.9,0.0006,0.0015,0.17,rain,84.87,67.22,69.5,0.83,1012.1,0.8,7,69.36,84.87,3.9339,-53.1258
French Guiana,,1/22/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.94,0.0001,0.0006,0.07,rain,88.25,66.07,66.58,0.75,1011.7,0.63,8,67.22,88.25,3.9339,-53.1258
French Guiana,,1/23/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.97,0.0001,0.0002,0.03,rain,88.3,66.61,65.33,0.72,1011.7,0.54,11,66.07,88.3,3.9339,-53.1258
French Guiana,,1/24/2020,Humid throughout the day.,partly-cloudy-day,0.0,0.0004,0.0032,0.14,rain,89.96,71.37,68.95,0.78,1011.8,0.64,7,66.61,89.96,3.9339,-53.1258
French Guiana,,1/25/2020,Light rain and humid throughout the day.,rain,0.03,0.019,0.0628,0.91,rain,82.75,70.11,74.17,0.96,1012.4,0.77,8,71.37,82.75,3.9339,-53.1258
French Guiana,,1/26/2020,Light rain and humid throughout the day.,rain,0.07,0.0245,0.0753,0.97,rain,80.14,69.32,73.9,1.0,1012.8,0.95,6,70.11,80.14,3.9339,-53.1258
French Guiana,,1/27/2020,Possible light rain in the afternoon and evening.,rain,0.1,0.0071,0.027999999999999997,0.81,rain,78.74,69.82,73.65,1.0,1013.3,0.98,6,69.32,78.74,3.9339,-53.1258
French Guiana,,1/28/2020,Humid and mostly cloudy throughout the day.,rain,0.13,0.001,0.0055,0.4,rain,81.21,70.03,73.74,0.96,1012.2,0.73,9,69.82,81.21,3.9339,-53.1258
French Guiana,,1/29/2020,Humid and partly cloudy throughout the day.,rain,0.16,0.0044,0.0094,0.57,rain,84.86,70.39,73.22,0.92,1011.8,0.57,11,70.03,84.86,3.9339,-53.1258
French Guiana,,1/30/2020,Light rain starting in the afternoon.,rain,0.19,0.0101,0.0362,0.73,rain,86.72,70.6,73.97,0.94,1012.2,0.81,8,70.39,86.72,3.9339,-53.1258
French Guiana,,1/31/2020,Light rain in the morning and afternoon.,rain,0.22,0.0164,0.0624,0.86,rain,81.3,68.37,73.83,0.95,1013.5,0.82,8,70.6,81.3,3.9339,-53.1258
French Guiana,,2/1/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.25,0.0005,0.0021,0.16,rain,85.82,65.57,69.01,0.82,1014.1,0.61,7,68.37,85.82,3.9339,-53.1258
French Guiana,,2/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.28,0.0012,0.0068,0.21,rain,85.37,68.78,67.88,0.82,1013.7,0.59,9,65.57,85.37,3.9339,-53.1258
French Guiana,,2/3/2020,Humid and mostly cloudy throughout the day.,rain,0.31,0.0023,0.0098,0.37,rain,86.84,69.87,70.57,0.84,1014.2,0.64,9,68.78,86.84,3.9339,-53.1258
French Guiana,,2/4/2020,Humid and partly cloudy throughout the day.,clear-day,0.34,0.0009,0.0029,0.24,rain,87.51,70.83,69.98,0.81,1013.8,0.29,10,69.87,87.51,3.9339,-53.1258
French Guiana,,2/5/2020,Possible light rain in the morning.,rain,0.38,0.0046,0.0269,0.45,rain,85.56,66.94,69.45,0.82,1013.5,0.68,10,70.83,85.56,3.9339,-53.1258
French Guiana,,2/6/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.41,0.002,0.0065,0.21,rain,85.5,66.16,67.32,0.79,1013.4,0.64,8,66.94,85.5,3.9339,-53.1258
French Guiana,,2/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.45,0.0036,0.0175,0.23,rain,83.21,65.58,68.43,0.83,1013.0,0.42,10,66.16,83.21,3.9339,-53.1258
French Guiana,,2/8/2020,Possible light rain in the afternoon and evening.,rain,0.49,0.0117,0.0652,0.65,rain,83.3,66.64,70.01,0.91,1013.2,0.65,7,65.58,83.3,3.9339,-53.1258
French Guiana,,2/9/2020,Humid and mostly cloudy throughout the day.,rain,0.53,0.001,0.0032,0.28,rain,82.34,66.42,68.81,0.87,1014.8,0.65,6,66.64,82.34,3.9339,-53.1258
French Guiana,,2/10/2020,Rain starting in the afternoon.,rain,0.57,0.024,0.1082,0.89,rain,84.89,71.16,71.95,0.94,1014.2,0.27,9,66.42,84.89,3.9339,-53.1258
French Guiana,,2/11/2020,Light rain until evening.,rain,0.6,0.0142,0.0528,0.92,rain,83.37,68.25,74.33,0.97,1012.4,0.49,11,70.92,83.37,3.9339,-53.1258
French Guiana,,2/12/2020,Possible drizzle in the morning.,rain,0.64,0.0013,0.0071,0.51,rain,85.05,68.9,70.71,0.87,1012.6,0.72,8,68.25,85.05,3.9339,-53.1258
French Guiana,,2/13/2020,Humid and mostly cloudy throughout the day.,rain,0.68,0.0017,0.0083,0.32,rain,83.87,67.63,71.06,0.88,1012.0,0.85,7,68.9,83.87,3.9339,-53.1258
French Guiana,,2/14/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0005,0.0016,0.22,rain,87.72,70.34,69.58,0.82,1012.5,0.63,10,67.63,87.72,3.9339,-53.1258
French Guiana,,2/15/2020,Light rain starting in the afternoon.,rain,0.75,0.0174,0.0647,0.83,rain,83.37,70.57,72.14,0.91,1012.6,0.67,7,70.34,83.37,3.9339,-53.1258
French Guiana,,2/16/2020,Light rain until evening.,rain,0.79,0.0146,0.0453,0.92,rain,82.12,69.08,73.57,0.96,1011.4,0.69,7,70.57,82.12,3.9339,-53.1258
French Guiana,,2/17/2020,Humid and mostly cloudy throughout the day.,rain,0.82,0.0017,0.0031,0.26,rain,84.16,68.77,71.16,0.88,1011.6,0.61,8,69.08,84.16,3.9339,-53.1258
