Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Gabon,,12/31/2019,Humid and partly cloudy throughout the day.,rain,0.21,0.0024,0.0068,0.35,rain,87.76,70.5,71.21,0.87,1010.0,0.69,11,67.98,87.76,-0.8037,11.6094
Gabon,,1/1/2020,Possible light rain in the evening.,rain,0.24,0.0058,0.0246,0.53,rain,84.17,68.98,73.01,0.92,1010.3,0.9,7,70.5,84.17,-0.8037,11.6094
Gabon,,1/2/2020,Rain in the morning and afternoon.,rain,0.27,0.0492,0.2491,0.83,rain,85.04,70.62,72.29,0.92,1011.1,0.97,6,68.98,85.04,-0.8037,11.6094
Gabon,,1/3/2020,Humid and mostly cloudy throughout the day.,rain,0.3,0.0016,0.0068,0.39,rain,86.37,70.92,72.32,0.88,1011.4,0.75,7,70.62,86.37,-0.8037,11.6094
Gabon,,1/4/2020,Possible light rain in the afternoon.,rain,0.33,0.012,0.048,0.61,rain,86.26,69.86,73.87,0.94,1011.0,0.74,6,70.92,86.26,-0.8037,11.6094
Gabon,,1/5/2020,Humid and mostly cloudy throughout the day.,rain,0.36,0.0022,0.0111,0.34,rain,88.83,70.75,71.84,0.85,1009.9,0.74,10,69.86,88.83,-0.8037,11.6094
Gabon,,1/6/2020,Humid and mostly cloudy throughout the day.,rain,0.4,0.0065,0.0282,0.56,rain,88.1,70.62,72.63,0.89,1010.0,0.81,7,70.68,88.1,-0.8037,11.6094
Gabon,,1/7/2020,Rain in the afternoon and evening.,rain,0.43,0.0185,0.106,0.68,rain,84.88,69.53,72.55,0.91,1011.2,0.63,9,70.62,84.88,-0.8037,11.6094
Gabon,,1/8/2020,Rain and humid throughout the day.,rain,0.47,0.0373,0.1369,0.88,rain,83.22,64.64,71.99,0.93,1012.4,0.89,7,69.53,83.22,-0.8037,11.6094
Gabon,,1/9/2020,Humid and mostly cloudy throughout the day.,rain,0.5,0.0051,0.0335,0.49,rain,83.11,66.05,69.29,0.91,1013.2,0.76,8,64.64,83.11,-0.8037,11.6094
Gabon,,1/10/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.0009,0.006,0.2,rain,89.59,69.01,69.14,0.82,1013.0,0.66,7,66.05,89.59,-0.8037,11.6094
Gabon,,1/11/2020,Humid and partly cloudy throughout the day.,rain,0.57,0.0066,0.052000000000000005,0.35,rain,87.15,69.71,71.16,0.85,1012.1,0.41,11,69.01,87.15,-0.8037,11.6094
Gabon,,1/12/2020,Humid and partly cloudy throughout the day.,rain,0.61,0.0032,0.0245,0.25,rain,89.74,70.56,71.5,0.82,1010.6,0.52,11,69.71,89.74,-0.8037,11.6094
Gabon,,1/13/2020,Humid and partly cloudy throughout the day.,rain,0.65,0.0066,0.0487,0.32,rain,87.64,71.23,73.21,0.87,1009.6,0.66,9,70.56,87.64,-0.8037,11.6094
Gabon,,1/14/2020,Possible light rain in the evening and overnight.,rain,0.69,0.0073,0.0332,0.62,rain,88.07,70.53,74.28,0.92,1009.7,0.76,7,71.23,88.07,-0.8037,11.6094
Gabon,,1/15/2020,Possible light rain until evening.,rain,0.72,0.0133,0.0316,0.79,rain,83.09,69.95,73.96,0.96,1011.1,0.94,7,70.53,83.09,-0.8037,11.6094
Gabon,,1/16/2020,Light rain starting in the afternoon.,rain,0.76,0.0156,0.0648,0.82,rain,83.48,68.39,72.98,0.94,1012.3,0.96,7,69.95,83.48,-0.8037,11.6094
