Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
"Gambia, The",,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0003,0.03,rain,95.27,64.88,12.06,0.08,1012.3,0.56,6,68.43,95.27,13.4432,-15.3101
"Gambia, The",,1/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.04,rain,94.93,66.68,13.04,0.09,1012.9,0.58,6,64.88,94.93,13.4432,-15.3101
"Gambia, The",,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.27,0.0001,0.0004,0.03,rain,95.24,65.38,14.08,0.09,1013.3,0.86,6,66.68,95.24,13.4432,-15.3101
"Gambia, The",,1/4/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.0002,0.0004,0.05,rain,92.74,62.97,11.52,0.09,1014.2,0.48,6,65.38,92.74,13.4432,-15.3101
"Gambia, The",,1/5/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.02,rain,92.02,61.79,11.54,0.09,1012.9,0.06,9,62.97,92.02,13.4432,-15.3101
"Gambia, The",,1/6/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,89.66,60.52,15.86,0.12,1012.7,0.1,9,61.79,89.66,13.4432,-15.3101
"Gambia, The",,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.4,0.0,0.0,0.0,,89.33,59.14,15.86,0.12,1012.6,0.8,5,60.52,89.33,13.4432,-15.3101
"Gambia, The",,1/8/2020,Clear throughout the day.,partly-cloudy-day,0.43,0.0,0.0002,0.01,,90.94,62.7,15.97,0.11,1012.9,0.49,8,59.15,90.94,13.4432,-15.3101
"Gambia, The",,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.47,0.0,0.0,0.0,,91.85,61.91,14.01,0.1,1013.9,0.78,6,62.7,91.85,13.4432,-15.3101
"Gambia, The",,1/10/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.04,rain,93.15,65.82,14.52,0.1,1014.3,0.44,7,61.91,93.15,13.4432,-15.3101
"Gambia, The",,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.04,rain,95.82,66.94,18.73,0.11,1013.6,0.7,6,65.82,95.82,13.4432,-15.3101
"Gambia, The",,1/12/2020,Clear throughout the day.,partly-cloudy-day,0.58,0.0001,0.0003,0.08,rain,96.47,68.07,17.46,0.1,1013.3,0.44,8,66.94,96.47,13.4432,-15.3101
"Gambia, The",,1/13/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0004,0.03,rain,95.66,65.3,14.99,0.09,1012.2,0.01,9,67.83,95.66,13.4432,-15.3101
"Gambia, The",,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0,0.0,,95.42,66.87,24.38,0.13,1011.0,0.32,8,65.3,95.42,13.4432,-15.3101
"Gambia, The",,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0001,0.03,,93.55,65.21,13.85,0.09,1012.6,0.62,7,66.87,93.55,13.4432,-15.3101
"Gambia, The",,1/16/2020,Clear throughout the day.,partly-cloudy-day,0.72,0.0,0.0002,0.04,,97.38,67.35,2.89,0.05,1013.2,0.32,9,65.21,97.38,13.4432,-15.3101
"Gambia, The",,1/17/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.06,rain,97.33,66.98,0.85,0.05,1013.7,0.09,10,67.35,97.33,13.4432,-15.3101
"Gambia, The",,1/18/2020,Clear throughout the day.,clear-day,0.8,0.0,0.0002,0.02,,98.19,68.51,12.29,0.08,1012.7,0.2,9,66.98,98.19,13.4432,-15.3101
"Gambia, The",,1/19/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.83,0.0,0.0002,0.01,,98.48,64.96,18.28,0.1,1011.5,0.44,8,68.51,98.48,13.4432,-15.3101
"Gambia, The",,1/20/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.87,0.0,0.0002,0.02,,99.0,67.42,26.82,0.15,1009.5,0.51,7,64.96,99.0,13.4432,-15.3101
