Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Germany,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.1,snow,35.55,25.02,24.43,0.85,1034.9,0.12,1,23.4,35.55,51.0,9.0
Germany,,1/1/2020,Foggy in the morning.,partly-cloudy-day,0.24,0.0008,0.0014,0.17,rain,33.64,30.33,24.98,0.86,1029.0,0.5,0,25.02,33.64,51.0,9.0
Germany,,1/2/2020,Light rain starting in the afternoon.,rain,0.27,0.0055,0.0181,0.75,rain,43.35,31.87,35.44,0.9,1020.7,0.97,1,31.57,43.95,51.0,9.0
Germany,,1/3/2020,Possible drizzle in the afternoon and evening.,rain,0.3,0.0033,0.011000000000000001,0.65,rain,40.14,31.87,33.28,0.86,1027.9,0.99,1,31.87,41.82,51.0,9.0
Germany,,1/4/2020,Partly cloudy throughout the day.,rain,0.33,0.0004,0.0041,0.36,rain,41.01,27.78,33.26,0.89,1034.6,0.61,1,31.87,41.01,51.0,9.0
Germany,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.0002,0.0005,0.1,rain,40.06,30.7,29.58,0.84,1028.8,0.61,1,28.8,40.06,51.0,9.0
Germany,,1/6/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.4,0.0002,0.0009,0.19,rain,42.69,35.64,33.04,0.89,1027.0,0.81,1,30.37,42.69,51.0,9.0
Germany,,1/7/2020,Light rain overnight.,rain,0.43,0.0034,0.0124,0.53,rain,42.69,41.7,36.38,0.9,1025.7,0.95,1,35.64,43.63,51.0,9.0
Germany,,1/8/2020,Light rain throughout the day.,rain,0.47,0.0151,0.0294,0.99,rain,50.14,43.92,43.81,0.92,1017.8,0.98,1,42.77,50.14,51.0,9.0
Germany,,1/9/2020,Drizzle in the morning and afternoon.,rain,0.5,0.0052,0.0103,0.88,rain,46.12,30.87,40.52,0.88,1018.1,0.89,1,37.7,46.34,51.0,9.0
Germany,,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.04,rain,41.82,31.75,31.23,0.84,1031.7,0.59,1,30.87,41.82,51.0,9.0
Germany,,1/11/2020,Overcast throughout the day.,cloudy,0.57,0.0003,0.0012,0.13,rain,38.96,37.9,31.79,0.87,1024.7,0.97,1,31.75,39.89,51.0,9.0
Germany,,1/12/2020,Foggy in the morning and afternoon.,cloudy,0.61,0.0005,0.0016,0.24,rain,43.33,38.1,36.38,0.88,1020.4,0.96,1,37.9,43.33,51.0,9.0
Germany,,1/13/2020,Possible light rain in the morning.,rain,0.65,0.0045,0.0175,0.62,rain,45.97,43.98,37.17,0.8,1011.4,0.95,1,39.96,46.29,51.0,9.0
Germany,,1/14/2020,Clear throughout the day.,rain,0.69,0.0021,0.0161,0.29,rain,53.35,37.16,39.59,0.75,1014.7,0.59,1,43.4,53.35,51.0,9.0
Germany,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0005,0.0052,0.23,rain,50.24,36.81,39.61,0.89,1026.0,0.27,1,37.16,50.24,51.0,9.0
Germany,,1/16/2020,Possible drizzle in the evening.,rain,0.76,0.0014,0.0124,0.5,rain,46.37,36.34,37.18,0.87,1019.2,0.44,1,36.81,46.37,51.0,9.0
Germany,,1/17/2020,Mostly cloudy throughout the day.,rain,0.8,0.0008,0.0055,0.38,rain,41.54,31.98,32.78,0.84,1024.6,0.83,0,32.9,41.54,51.0,9.0
Germany,,1/18/2020,Mostly cloudy throughout the day.,snow,0.83,0.0005,0.0032,0.35,snow,41.38,31.4,31.19,0.84,1035.8,0.82,1,31.98,41.38,51.0,9.0
Germany,,1/19/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.87,0.0002,0.0006,0.14,snow,39.46,25.25,28.85,0.83,1046.6,0.51,1,29.93,39.46,51.0,9.0
Germany,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.9,0.0001,0.0002,0.07,snow,39.15,22.18,25.03,0.81,1043.1,0.35,1,25.25,39.15,51.0,9.0
Germany,,1/21/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.93,0.0001,0.0006,0.05,snow,37.39,29.05,22.91,0.76,1037.0,0.58,1,22.18,37.39,51.0,9.0
Germany,,1/22/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.97,0.0001,0.0002,0.09,rain,39.8,25.08,27.83,0.83,1033.5,0.39,1,27.83,39.8,51.0,9.0
Germany,,1/23/2020,Partly cloudy throughout the day.,clear-day,1.0,0.0001,0.0003,0.08,snow,35.38,25.16,22.51,0.75,1025.4,0.26,1,25.08,35.38,51.0,9.0
Germany,,1/24/2020,Clear throughout the day.,partly-cloudy-day,0.03,0.0001,0.0004,0.04,snow,37.01,28.88,22.88,0.75,1023.0,0.47,1,25.16,37.01,51.0,9.0
Germany,,1/25/2020,Foggy overnight.,cloudy,0.06,0.0002,0.0005,0.2,snow,38.87,32.47,29.67,0.87,1019.1,0.89,1,28.88,38.87,51.0,9.0
Germany,,1/26/2020,Light rain throughout the day.,rain,0.09,0.008,0.0291,0.88,rain,43.26,38.32,35.9,0.92,1010.2,0.94,1,32.71,43.26,51.0,9.0
Germany,,1/27/2020,Light rain in the morning and afternoon.,rain,0.12,0.0204,0.0858,0.84,rain,39.58,33.67,33.68,0.84,996.7,0.85,1,33.71,42.25,51.0,9.0
Germany,,1/28/2020,Possible drizzle in the morning and afternoon.,rain,0.15,0.0033,0.0129,0.61,rain,41.08,34.29,31.53,0.84,1006.9,0.86,1,33.67,41.08,51.0,9.0
Germany,,1/29/2020,Possible drizzle in the evening and overnight.,rain,0.18,0.0013,0.0099,0.42,rain,47.19,40.37,35.59,0.83,1010.7,0.95,1,34.29,47.19,51.0,9.0
Germany,,1/30/2020,Overcast throughout the day.,rain,0.21,0.0012,0.0071,0.35,rain,55.32,47.15,44.89,0.85,1008.5,0.94,1,46.04,55.32,51.0,9.0
Germany,,1/31/2020,Light rain until evening.,rain,0.24,0.0151,0.0706,0.93,rain,50.78,40.0,44.71,0.89,1006.0,0.97,1,42.77,50.78,51.0,9.0
Germany,,2/1/2020,Light rain in the morning and afternoon.,rain,0.27,0.0075,0.0389,0.81,rain,52.23,44.25,40.77,0.87,1009.5,0.83,1,40.0,52.23,51.0,9.0
Germany,,2/2/2020,"Light rain until morning, starting again in the evening.",rain,0.31,0.0025,0.0243,0.68,rain,49.17,35.86,41.1,0.84,1011.3,1.0,1,42.75,49.17,51.0,9.0
Germany,,2/3/2020,Light rain in the morning and afternoon.,rain,0.34,0.0144,0.0855,0.97,rain,41.9,31.47,33.68,0.84,1012.0,0.85,1,35.73,42.99,51.0,9.0
Germany,,2/4/2020,Clear throughout the day.,clear-day,0.37,0.0002,0.0007,0.14,rain,44.97,27.81,28.79,0.77,1032.8,0.25,1,29.39,44.97,51.0,9.0
Germany,,2/5/2020,Overcast throughout the day.,cloudy,0.41,0.0001,0.0003,0.03,snow,43.49,27.18,29.61,0.83,1032.7,0.93,1,27.81,43.49,51.0,9.0
Germany,,2/6/2020,Clear throughout the day.,partly-cloudy-day,0.44,0.0001,0.0003,0.07,rain,43.69,27.02,28.64,0.81,1029.1,0.32,1,27.18,43.69,51.0,9.0
Germany,,2/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.48,0.0001,0.0003,0.07,snow,39.53,33.23,27.98,0.82,1023.7,0.56,1,27.02,39.53,51.0,9.0
Germany,,2/8/2020,Rain overnight.,rain,0.52,0.0005,0.0163,0.5,rain,49.54,42.07,35.84,0.8,1011.1,0.85,1,33.23,49.57,51.0,9.0
Germany,,2/9/2020,Rain and dangerously windy throughout the day.,rain,0.56,0.0406,0.1766,0.98,rain,43.78,34.32,37.36,0.83,996.1,0.86,1,38.43,48.64,51.0,9.0
Germany,,2/10/2020,Possible drizzle in the morning.,rain,0.6,0.0047,0.0478,0.74,rain,41.72,32.94,30.06,0.77,1003.6,0.45,1,32.95,41.72,51.0,9.0
Germany,,2/11/2020,Partly cloudy throughout the day.,snow,0.64,0.0005,0.0015,0.34,snow,42.9,30.6,29.71,0.78,1013.4,0.29,1,32.97,42.9,51.0,9.0
Germany,,2/12/2020,Light rain throughout the day.,rain,0.67,0.0094,0.0538,0.87,rain,39.22,36.51,31.77,0.87,1008.6,0.89,1,30.6,39.33,51.0,9.0
Germany,,2/13/2020,Overcast throughout the day.,rain,0.71,0.0006,0.0028,0.53,rain,45.38,33.88,35.21,0.86,1017.5,0.92,1,33.88,45.38,51.0,9.0
Germany,,2/14/2020,Windy overnight.,partly-cloudy-day,0.75,0.0001,0.0003,0.06,rain,48.37,41.73,35.98,0.86,1021.1,0.82,1,34.44,48.37,51.0,9.0
Germany,,2/15/2020,Possible light rain in the morning and overnight.,rain,0.78,0.0059,0.0274,0.61,rain,58.35,41.66,41.83,0.73,1009.2,1.0,1,42.56,58.35,51.0,9.0
Germany,,2/16/2020,Overcast throughout the day.,rain,0.81,0.0025,0.0151,0.71,rain,49.09,38.18,37.87,0.78,1014.1,0.85,1,40.53,49.95,51.0,9.0
Germany,,2/17/2020,"Possible drizzle until afternoon, starting again overnight.",rain,0.85,0.003,0.0096,0.69,rain,43.24,37.65,35.0,0.81,1021.4,0.86,1,38.18,43.24,51.0,9.0
Germany,,2/18/2020,Light rain in the morning and afternoon.,rain,0.88,0.0058,0.0255,0.87,rain,41.84,33.41,33.2,0.81,1018.2,0.83,1,34.26,41.84,51.0,9.0
Germany,,2/19/2020,"Light rain until morning, starting again in the evening.",rain,0.91,0.005,0.0223,0.8,rain,45.28,34.24,36.23,0.86,1017.1,0.89,2,33.41,45.28,51.0,9.0
Germany,,2/20/2020,Overcast throughout the day.,rain,0.94,0.002,0.021,0.75,rain,44.73,36.58,32.23,0.77,1024.2,0.88,1,34.24,44.73,51.0,9.0
Germany,,2/21/2020,Possible drizzle overnight.,wind,0.97,0.0003,0.0021,0.19,rain,51.74,43.41,34.38,0.7,1021.6,0.92,2,36.58,51.74,51.0,9.0
Germany,,2/22/2020,Light rain and dangerously windy until evening.,rain,0.01,0.024,0.0567,0.96,rain,51.87,33.18,42.78,0.87,1014.8,1.0,2,38.14,51.87,51.0,9.0
Germany,,2/23/2020,Light rain starting in the afternoon.,rain,0.04,0.0051,0.0181,0.77,rain,48.66,43.73,35.57,0.87,1016.8,0.98,2,33.18,49.1,51.0,9.0
Germany,,2/24/2020,"Light rain until morning, starting again in the evening.",rain,0.07,0.0108,0.062,0.85,rain,44.99,32.55,38.61,0.85,1000.3,0.9,2,37.06,47.3,51.0,9.0
Germany,,2/25/2020,Light snow (< 1 in.) in the morning and afternoon.,rain,0.1,0.0035,0.0115,0.83,rain,39.84,32.2,31.42,0.86,997.9,0.95,1,32.55,39.84,51.0,9.0
Germany,,2/26/2020,Light snow (< 1 in.) starting in the afternoon.,snow,0.13,0.006,0.0232,0.74,snow,37.56,29.47,30.78,0.88,1001.9,0.92,1,32.08,37.56,51.0,9.0
Germany,,2/27/2020,Possible light rain overnight.,snow,0.16,0.0017,0.017,0.53,snow,41.49,34.77,30.02,0.82,1014.3,0.72,2,29.47,41.49,51.0,9.0
Germany,,2/28/2020,Light rain in the afternoon and evening.,rain,0.19,0.0069,0.0313,0.75,rain,53.0,37.73,39.45,0.87,998.2,0.96,1,34.77,53.0,51.0,9.0
Germany,,2/29/2020,Light rain throughout the day.,rain,0.22,0.0039,0.0176,0.76,rain,47.73,34.41,36.0,0.82,996.2,0.83,1,37.73,47.73,51.0,9.0
Germany,,3/1/2020,"Light rain until morning, starting again in the evening.",rain,0.25,0.0075,0.0356,0.89,rain,48.68,35.65,36.37,0.85,992.9,0.85,2,34.41,48.68,51.0,9.0
Germany,,3/2/2020,Drizzle in the morning.,rain,0.28,0.0048,0.0221,0.8,rain,44.12,28.31,33.06,0.82,1001.7,0.68,1,31.94,44.12,51.0,9.0
Germany,,3/3/2020,Foggy in the morning.,rain,0.32,0.0038,0.0163,0.5,rain,44.68,31.89,31.64,0.87,1011.1,0.72,1,28.31,44.68,51.0,9.0
Germany,,3/4/2020,Light rain starting in the afternoon.,rain,0.35,0.0142,0.0589,0.83,rain,42.57,37.96,34.42,0.91,999.5,0.96,2,31.89,42.57,51.0,9.0
Germany,,3/5/2020,"Light rain until afternoon, starting again overnight.",rain,0.39,0.0102,0.0367,0.91,rain,40.8,34.73,36.85,0.91,993.2,1.0,2,36.51,43.79,51.0,9.0
Germany,,3/6/2020,Possible drizzle in the morning.,rain,0.43,0.0011,0.0059,0.54,rain,44.25,33.13,32.99,0.83,1015.9,0.82,1,33.55,44.25,51.0,9.0
Germany,,3/7/2020,Overcast throughout the day.,cloudy,0.47,0.0009,0.0065,0.21,rain,47.92,39.49,35.56,0.81,1015.7,0.92,2,33.13,47.92,51.0,9.0
Germany,,3/8/2020,Mostly cloudy throughout the day.,rain,0.5,0.0014,0.0035,0.5,rain,48.24,36.61,37.24,0.82,1012.7,0.67,2,37.43,48.24,51.0,9.0
Germany,,3/9/2020,Light rain throughout the day.,rain,0.54,0.0133,0.0327,0.97,rain,50.43,48.83,40.11,0.9,1008.4,0.88,2,36.61,53.38,51.0,9.0
Germany,,3/10/2020,"Light rain until afternoon, starting again overnight.",rain,0.58,0.012,0.0324,0.97,rain,52.47,47.67,48.77,0.93,1010.9,0.96,2,48.83,52.47,51.0,9.0
Germany,,3/11/2020,Drizzle in the morning.,rain,0.62,0.0032,0.0116,0.74,rain,48.94,37.18,39.42,0.77,1010.4,0.68,2,38.23,52.02,51.0,9.0
