Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Greece,,12/31/2019,Clear throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.06,rain,47.4,25.8,13.73,0.43,1023.7,0.33,2,29.37,47.4,39.0742,21.8243
Greece,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0002,0.0004,0.11,snow,39.74,25.93,16.81,0.56,1028.1,0.08,2,25.8,39.74,39.0742,21.8243
Greece,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0003,0.01,,46.38,32.2,6.48,0.32,1025.4,0.17,2,25.93,46.38,39.0742,21.8243
Greece,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0003,0.05,rain,54.71,32.92,10.92,0.3,1019.8,0.18,2,32.2,54.71,39.0742,21.8243
Greece,,1/4/2020,Possible light rain (with a chance of 1–3 in. of snow) in the afternoon and evening.,rain,0.33,0.0105,0.0329,0.7,rain,39.9,25.92,26.89,0.73,1014.1,0.83,1,27.73,39.9,39.0742,21.8243
Greece,,1/5/2020,Partly cloudy throughout the day.,snow,0.36,0.0021,0.0206,0.28,snow,36.65,22.91,18.54,0.63,1017.6,0.61,1,25.9,36.65,39.0742,21.8243
Greece,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.07,snow,38.53,22.39,12.37,0.5,1023.0,0.02,2,22.91,38.53,39.0742,21.8243
Greece,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.01,,39.0,23.24,3.43,0.35,1027.8,0.0,2,22.39,39.0,39.0742,21.8243
Greece,,1/8/2020,Clear throughout the day.,clear-day,0.46,0.0,0.0,0.0,,44.7,29.74,0.48,0.25,1028.4,0.01,2,23.24,44.7,39.0742,21.8243
Greece,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.03,rain,51.86,33.27,6.14,0.28,1024.5,0.06,2,29.74,51.86,39.0742,21.8243
Greece,,1/10/2020,Partly cloudy throughout the day.,clear-day,0.54,0.0002,0.001,0.04,rain,53.29,30.67,22.81,0.51,1023.3,0.28,2,33.27,53.29,39.0742,21.8243
Greece,,1/11/2020,Possible drizzle starting in the afternoon.,rain,0.57,0.0029,0.0106,0.55,rain,45.98,36.23,31.35,0.8,1025.6,0.72,2,30.67,45.98,39.0742,21.8243
Greece,,1/12/2020,Foggy in the morning.,rain,0.61,0.0013,0.006999999999999999,0.5,rain,49.92,33.34,36.42,0.86,1027.5,0.73,2,35.35,49.92,39.0742,21.8243
Greece,,1/13/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0,0.0,,51.55,32.91,34.77,0.82,1025.8,0.59,2,33.34,51.55,39.0742,21.8243
Greece,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0002,0.03,,48.28,33.79,32.09,0.78,1027.2,0.63,2,32.91,48.28,39.0742,21.8243
Greece,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0002,0.0023,0.05,rain,50.62,29.79,27.15,0.63,1025.5,0.42,2,33.79,50.62,39.0742,21.8243
