Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Greenland,,12/31/2019,Foggy throughout the day.,fog,0.18,0.0011,0.0025,0.17,snow,-23.59,-54.62,-39.92,0.63,1008.3,0.94,0,-47.23,-23.59,71.7069,-42.6043
Greenland,,1/1/2020,Foggy throughout the day.,fog,0.21,0.0002,0.0006,0.15,snow,-51.49,-66.63,-71.95,0.34,1026.2,0.68,0,-59.5,-46.15,71.7069,-42.6043
Greenland,,1/2/2020,Foggy overnight.,partly-cloudy-day,0.24,0.0001,0.0003,0.17,snow,-64.3,-65.82,-89.53,0.18,1038.6,0.45,0,-68.82,-58.82,71.7069,-42.6043
Greenland,,1/3/2020,Windy overnight.,fog,0.27,0.0007,0.0016,0.2,snow,-22.33,-23.32,-46.97,0.52,1028.8,0.78,0,-61.98,-19.05,71.7069,-42.6043
Greenland,,1/4/2020,Foggy throughout the day.,wind,0.31,0.0019,0.0033,0.17,snow,-10.46,-30.3,-25.62,0.66,1000.2,0.9,0,-24.29,-10.46,71.7069,-42.6043
Greenland,,1/5/2020,Foggy throughout the day.,fog,0.34,0.001,0.0023,0.18,snow,-22.24,-29.59,-33.5,0.66,990.0,0.97,0,-30.99,-19.37,71.7069,-42.6043
Greenland,,1/6/2020,Dangerously windy and foggy throughout the day.,wind,0.37,0.001,0.0027,0.11,snow,-16.09,-24.75,-29.85,0.61,981.5,0.83,0,-28.86,-15.33,71.7069,-42.6043
Greenland,,1/7/2020,Windy in the morning.,wind,0.4,0.0001,0.0005,0.08,snow,-22.49,-35.32,-37.22,0.53,978.6,0.78,0,-35.11,-18.11,71.7069,-42.6043
Greenland,,1/8/2020,Foggy in the morning and afternoon.,cloudy,0.44,0.001,0.0022,0.12,snow,-16.92,-23.17,-33.37,0.6,976.1,0.94,0,-35.31,-16.92,71.7069,-42.6043
Greenland,,1/9/2020,Dangerously windy in the morning and afternoon.,wind,0.47,0.0001,0.0002,0.11,snow,-15.92,-43.29,-33.16,0.55,986.3,0.63,0,-37.74,-15.92,71.7069,-42.6043
Greenland,,1/10/2020,Windy throughout the day.,wind,0.51,0.0001,0.0003,0.1,snow,-29.87,-35.01,-48.5,0.49,1008.7,0.32,0,-43.38,-29.32,71.7069,-42.6043
Greenland,,1/11/2020,Windy throughout the day.,wind,0.54,0.0002,0.0008,0.13,snow,-21.18,-25.1,-37.86,0.55,1003.4,0.68,0,-35.01,-18.07,71.7069,-42.6043
Greenland,,1/12/2020,Windy in the morning.,wind,0.58,0.0002,0.0005,0.13,snow,-23.21,-42.31,-39.54,0.55,1013.4,0.59,0,-40.65,-20.56,71.7069,-42.6043
Greenland,,1/13/2020,,clear-day,0.62,0.0001,0.0002,0.1,snow,-36.81,-42.34,-55.11,0.4,1020.2,0.27,0,-42.31,-36.69,71.7069,-42.6043
Greenland,,1/14/2020,,partly-cloudy-day,0.66,0.0,0.0002,0.06,,-39.06,-47.11,-56.73,0.4,1015.6,0.45,0,-44.31,-38.66,71.7069,-42.6043
