Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Guadeloupe,,12/31/2019,Humid throughout the day.,clear-day,0.19,0.0003,0.0014,0.16,rain,86.66,73.21,72.17,0.78,1014.3,0.16,7,74.51,86.66,16.265,-61.551
Guadeloupe,,1/1/2020,Humid throughout the day.,clear-day,0.22,0.0003,0.001,0.16,rain,86.73,74.25,71.57,0.77,1014.8,0.22,6,73.21,86.73,16.265,-61.551
Guadeloupe,,1/2/2020,Possible light rain in the morning.,rain,0.25,0.0061,0.031,0.56,rain,85.99,72.32,72.17,0.79,1015.4,0.36,6,74.25,85.99,16.265,-61.551
Guadeloupe,,1/3/2020,Possible light rain overnight.,rain,0.28,0.0043,0.0223,0.35,rain,85.34,74.1,71.76,0.8,1016.8,0.29,7,72.32,85.34,16.265,-61.551
Guadeloupe,,1/4/2020,Possible light rain in the morning.,rain,0.31,0.0145,0.0288,0.7,rain,81.97,72.74,73.01,0.86,1016.4,0.57,6,74.1,81.97,16.265,-61.551
Guadeloupe,,1/5/2020,Possible drizzle in the morning.,rain,0.34,0.008,0.0157,0.64,rain,82.57,72.66,72.25,0.84,1015.1,0.55,5,72.74,82.57,16.265,-61.551
Guadeloupe,,1/6/2020,Humid and partly cloudy throughout the day.,rain,0.37,0.0011,0.0048,0.28,rain,84.2,71.03,70.55,0.78,1015.0,0.38,6,72.66,84.2,16.265,-61.551
Guadeloupe,,1/7/2020,Humid and partly cloudy throughout the day.,rain,0.4,0.0015,0.0046,0.3,rain,85.22,73.69,70.42,0.78,1016.4,0.35,6,71.03,85.22,16.265,-61.551
Guadeloupe,,1/8/2020,Possible light rain overnight.,rain,0.44,0.0083,0.0225,0.55,rain,85.18,74.26,71.85,0.79,1017.9,0.49,6,73.69,85.18,16.265,-61.551
Guadeloupe,,1/9/2020,Humid and partly cloudy throughout the day.,rain,0.47,0.0073,0.0187,0.57,rain,85.15,74.84,71.03,0.76,1018.5,0.44,6,74.26,85.15,16.265,-61.551
