Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Guam,,12/31/2019,Humid and overcast throughout the day.,rain,0.2,0.0013,0.006,0.32,rain,84.34,75.99,71.93,0.75,1014.6,0.91,5,77.46,84.34,13.4443,144.7937
Guam,,1/1/2020,Humid and partly cloudy throughout the day.,rain,0.23,0.0013,0.0066,0.42,rain,84.82,76.59,71.64,0.75,1014.0,0.59,8,75.99,84.82,13.4443,144.7937
Guam,,1/2/2020,Possible drizzle in the morning.,rain,0.26,0.0032,0.0128,0.53,rain,84.72,76.38,72.71,0.79,1012.3,0.32,8,76.59,84.72,13.4443,144.7937
Guam,,1/3/2020,Humid and mostly cloudy throughout the day.,rain,0.29,0.0015,0.0066,0.28,rain,84.24,76.96,71.83,0.75,1011.5,0.58,7,76.38,84.24,13.4443,144.7937
Guam,,1/4/2020,Humid throughout the day.,partly-cloudy-day,0.32,0.0004,0.0013,0.2,rain,85.45,76.72,71.87,0.74,1012.7,0.37,9,76.96,85.45,13.4443,144.7937
Guam,,1/5/2020,Humid throughout the day.,partly-cloudy-day,0.35,0.0004,0.0061,0.23,rain,84.87,76.09,71.27,0.74,1012.8,0.33,8,76.72,84.87,13.4443,144.7937
Guam,,1/6/2020,Humid and mostly cloudy throughout the day.,rain,0.38,0.0011,0.003,0.29,rain,84.83,76.75,72.04,0.77,1012.3,0.62,7,76.09,84.83,13.4443,144.7937
Guam,,1/7/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.42,0.0008,0.0024,0.2,rain,84.8,77.38,72.41,0.77,1011.7,0.62,7,76.75,84.8,13.4443,144.7937
Guam,,1/8/2020,Light rain starting in the afternoon.,rain,0.45,0.0073,0.0475,0.74,rain,84.95,77.53,75.31,0.84,1010.0,0.79,6,77.38,84.95,13.4443,144.7937
Guam,,1/9/2020,Light rain in the morning and overnight.,rain,0.49,0.0089,0.0304,0.86,rain,85.75,77.09,75.99,0.84,1008.5,0.74,6,77.53,85.75,13.4443,144.7937
