Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Guatemala,,12/31/2019,Possible light rain in the morning.,rain,0.19,0.0147,0.0461,0.78,rain,80.25,64.04,71.24,0.97,1015.3,0.8,5,68.32,80.25,15.7835,-90.2308
Guatemala,,1/1/2020,Clear throughout the day.,clear-day,0.22,0.0017,0.0086,0.24,rain,85.36,61.86,67.57,0.85,1014.6,0.24,8,64.04,85.36,15.7835,-90.2308
Guatemala,,1/2/2020,Humid throughout the day.,partly-cloudy-day,0.25,0.0007,0.0053,0.12,rain,87.37,66.08,66.91,0.79,1011.7,0.34,7,61.86,87.37,15.7835,-90.2308
Guatemala,,1/3/2020,Possible light rain overnight.,clear-day,0.28,0.0005,0.0052,0.13,rain,90.98,68.61,68.98,0.77,1012.0,0.19,8,66.08,90.98,15.7835,-90.2308
Guatemala,,1/4/2020,Light rain and humid throughout the day.,rain,0.31,0.0439,0.0933,0.89,rain,75.21,61.12,69.35,0.98,1021.6,0.91,5,63.99,75.21,15.7835,-90.2308
Guatemala,,1/5/2020,Possible light rain in the morning.,rain,0.34,0.006999999999999999,0.0191,0.62,rain,70.29,59.75,62.04,0.95,1025.3,0.8,5,61.14,70.29,15.7835,-90.2308
Guatemala,,1/6/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.37,0.0003,0.001,0.16,rain,75.58,60.82,62.63,0.88,1021.3,0.64,5,59.75,75.58,15.7835,-90.2308
Guatemala,,1/7/2020,Light rain in the evening and overnight.,rain,0.41,0.0071,0.045,0.71,rain,75.74,63.8,64.99,0.92,1020.6,0.68,6,60.82,75.74,15.7835,-90.2308
Guatemala,,1/8/2020,Light rain until evening.,rain,0.44,0.0152,0.049,0.9,rain,70.22,62.77,65.88,0.98,1021.7,0.95,5,63.8,70.22,15.7835,-90.2308
Guatemala,,1/9/2020,Light rain in the evening and overnight.,rain,0.48,0.0034,0.0341,0.48,rain,78.38,66.31,67.02,0.93,1018.2,0.61,6,62.77,78.38,15.7835,-90.2308
Guatemala,,1/10/2020,Possible light rain in the morning.,rain,0.51,0.0048,0.0206,0.67,rain,83.58,66.11,70.39,0.92,1014.6,0.57,6,66.31,83.58,15.7835,-90.2308
Guatemala,,1/11/2020,Possible light rain overnight.,rain,0.55,0.0026,0.0189,0.37,rain,84.63,67.22,70.5,0.87,1014.4,0.23,8,66.01,84.63,15.7835,-90.2308
Guatemala,,1/12/2020,"Light rain until morning, starting again in the evening.",rain,0.59,0.0186,0.0443,0.84,rain,81.09,66.72,70.6,0.95,1015.7,0.64,5,67.31,81.09,15.7835,-90.2308
Guatemala,,1/13/2020,Light rain and humid throughout the day.,rain,0.62,0.0189,0.0385,0.89,rain,80.63,67.09,70.63,0.96,1017.2,0.68,6,66.72,80.63,15.7835,-90.2308
