Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Guernsey,,1/1/2020,Overcast throughout the day.,rain,0.21,0.0005,0.0025,0.31,rain,50.14,47.76,44.22,0.86,1027.8,0.79,1,46.56,50.14,49.45,-2.58
Guernsey,,1/2/2020,Windy overnight.,wind,0.24,0.0013,0.0046,0.19,rain,52.01,49.65,44.63,0.8,1021.7,0.8,1,48.33,52.58,49.45,-2.58
Guernsey,,1/3/2020,Mostly cloudy throughout the day.,rain,0.27,0.0014,0.0071,0.42,rain,51.84,44.81,42.4,0.77,1024.9,0.61,1,45.69,52.18,49.45,-2.58
Guernsey,,1/4/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.0004,0.001,0.13,rain,51.18,46.49,38.91,0.71,1037.1,0.62,1,44.81,51.18,49.45,-2.58
Guernsey,,1/5/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.33,0.0002,0.0007,0.09,rain,48.45,43.54,37.61,0.69,1034.9,0.8,1,45.26,48.6,49.45,-2.58
Guernsey,,1/6/2020,Possible light rain and windy in the afternoon.,rain,0.36,0.002,0.0174,0.5,rain,52.51,48.89,41.24,0.78,1023.7,0.53,1,43.25,52.51,49.45,-2.58
Guernsey,,1/7/2020,Mostly cloudy throughout the day.,rain,0.4,0.0009,0.0043,0.27,rain,55.05,51.86,48.05,0.87,1024.6,0.83,1,48.89,55.05,49.45,-2.58
Guernsey,,1/8/2020,Light rain starting in the afternoon.,rain,0.43,0.005,0.0158,0.9,rain,53.58,51.74,49.94,0.9,1022.6,0.93,1,51.74,54.05,49.45,-2.58
Guernsey,,1/9/2020,Light rain throughout the day.,rain,0.47,0.009000000000000001,0.0316,0.89,rain,54.52,45.33,47.22,0.85,1011.3,0.73,1,46.25,54.52,49.45,-2.58
Guernsey,,1/10/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.5,0.0002,0.0039,0.19,rain,49.68,45.89,36.86,0.67,1025.8,0.58,1,45.25,49.68,49.45,-2.58
Guernsey,,1/11/2020,Windy in the evening and overnight.,partly-cloudy-day,0.54,0.0004,0.001,0.12,rain,52.11,48.84,41.43,0.73,1027.1,0.86,1,47.81,52.11,49.45,-2.58
Guernsey,,1/12/2020,Windy in the morning.,rain,0.58,0.001,0.0051,0.44,rain,52.71,46.42,43.41,0.77,1022.3,0.57,1,48.04,52.71,49.45,-2.58
Guernsey,,1/13/2020,Light rain starting in the afternoon.,rain,0.61,0.0173,0.0937,0.97,rain,53.21,46.83,43.59,0.8,1009.2,0.7,1,46.45,53.21,49.45,-2.58
Guernsey,,1/14/2020,Light rain and dangerously windy throughout the day.,rain,0.65,0.011000000000000001,0.0502,0.99,rain,56.42,45.16,47.31,0.83,999.2,0.83,1,46.85,56.42,49.45,-2.58
Guernsey,,1/15/2020,Light rain and dangerously windy in the morning.,rain,0.69,0.0219,0.0962,0.97,rain,51.06,47.37,41.97,0.76,1008.5,0.58,1,45.12,53.08,49.45,-2.58
Guernsey,,1/16/2020,Light rain in the afternoon and evening.,rain,0.72,0.0103,0.0535,0.85,rain,55.19,46.52,44.57,0.8,1012.1,0.71,1,47.33,55.19,49.45,-2.58
Guernsey,,1/17/2020,Possible light rain until evening.,rain,0.76,0.008,0.0308,0.8,rain,48.85,43.25,38.72,0.72,1016.5,0.54,1,44.25,50.69,49.45,-2.58
Guernsey,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.8,0.0002,0.0021,0.18,rain,48.19,42.14,34.95,0.66,1028.3,0.46,1,42.73,48.19,49.45,-2.58
Guernsey,,1/19/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0002,0.01,,47.48,42.51,33.34,0.64,1043.2,0.26,1,42.14,47.48,49.45,-2.58
Guernsey,,1/20/2020,Clear throughout the day.,clear-day,0.87,0.0,0.0002,0.02,,49.08,43.8,33.66,0.62,1046.9,0.31,1,42.51,49.08,49.45,-2.58
Guernsey,,1/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.9,0.0001,0.0002,0.07,rain,47.67,40.73,35.15,0.68,1041.3,0.39,1,41.2,47.67,49.45,-2.58
