Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Holy See,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.05,rain,57.35,33.51,28.26,0.6,1029.9,0.27,2,31.12,57.35,41.9029,12.4534
Holy See,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.06,rain,58.72,34.31,32.65,0.66,1030.9,0.01,1,33.51,58.72,41.9029,12.4534
Holy See,,1/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.27,0.0001,0.0003,0.02,rain,57.46,38.31,34.23,0.7,1028.7,0.52,1,34.31,57.46,41.9029,12.4534
Holy See,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.0001,0.0003,0.08,rain,59.26,38.26,40.25,0.79,1024.7,0.64,1,38.31,59.26,41.9029,12.4534
Holy See,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.04,rain,61.51,33.31,34.02,0.64,1026.1,0.05,1,38.26,61.51,41.9029,12.4534
Holy See,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,55.28,30.9,26.58,0.55,1028.5,0.0,1,33.31,55.28,41.9029,12.4534
Holy See,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.0002,0.04,rain,53.55,35.55,23.77,0.52,1026.2,0.35,1,30.9,53.55,41.9029,12.4534
Holy See,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.04,,57.08,33.76,32.2,0.65,1028.4,0.22,1,35.55,57.08,41.9029,12.4534
Holy See,,1/8/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0001,0.02,,57.92,35.12,33.57,0.71,1029.3,0.04,2,33.76,57.92,41.9029,12.4534
Holy See,,1/9/2020,Partly cloudy throughout the day.,clear-day,0.5,0.0001,0.0004,0.05,rain,59.48,36.36,37.74,0.76,1026.0,0.29,1,35.12,59.48,41.9029,12.4534
Holy See,,1/10/2020,Clear throughout the day.,clear-day,0.54,0.0001,0.0003,0.04,rain,59.02,36.47,37.08,0.74,1025.7,0.0,1,36.36,59.02,41.9029,12.4534
Holy See,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.07,rain,57.73,34.61,36.3,0.72,1026.3,0.01,2,36.47,57.73,41.9029,12.4534
Holy See,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.06,rain,58.96,41.12,36.94,0.74,1025.9,0.17,2,34.61,58.96,41.9029,12.4534
Holy See,,1/13/2020,Clear throughout the day.,partly-cloudy-day,0.65,0.0,0.0002,0.01,,59.53,35.88,39.32,0.73,1026.3,0.41,2,41.12,59.53,41.9029,12.4534
Holy See,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.01,,59.26,36.11,36.26,0.72,1028.1,0.07,2,35.88,59.26,41.9029,12.4534
Holy See,,1/15/2020,Overcast throughout the day.,partly-cloudy-day,0.72,0.0,0.0002,0.05,,57.8,35.44,36.47,0.74,1028.7,0.77,1,36.11,57.8,41.9029,12.4534
Holy See,,1/16/2020,Possible drizzle overnight.,partly-cloudy-day,0.76,0.0001,0.0005,0.06,rain,58.49,44.22,37.65,0.75,1027.1,0.46,2,35.44,58.49,41.9029,12.4534
Holy See,,1/17/2020,Light rain until evening.,rain,0.8,0.0132,0.0596,0.97,rain,57.37,39.84,44.63,0.84,1021.7,0.8,1,44.15,57.37,41.9029,12.4534
Holy See,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.83,0.0007,0.0036,0.23,rain,57.09,41.96,41.38,0.8,1023.2,0.53,1,39.84,57.09,41.9029,12.4534
Holy See,,1/19/2020,Overcast throughout the day.,partly-cloudy-day,0.87,0.0001,0.0027,0.11,rain,57.49,39.48,36.19,0.64,1033.0,0.84,1,41.96,57.49,41.9029,12.4534
Holy See,,1/20/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.9,0.0001,0.0002,0.06,rain,59.58,37.87,35.81,0.65,1037.3,0.6,2,39.48,59.58,41.9029,12.4534
Holy See,,1/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.93,0.0,0.0001,0.03,,61.74,37.19,38.66,0.73,1033.7,0.5,2,37.87,61.74,41.9029,12.4534
Holy See,,1/22/2020,Clear throughout the day.,clear-day,0.97,0.0001,0.0002,0.05,rain,61.54,37.81,39.09,0.75,1029.5,0.08,2,37.19,61.54,41.9029,12.4534
Holy See,,1/23/2020,Possible light rain overnight.,partly-cloudy-day,1.0,0.0004,0.0045,0.2,rain,60.21,49.9,41.46,0.77,1026.9,0.38,2,37.81,60.21,41.9029,12.4534
Holy See,,1/24/2020,Possible drizzle in the morning.,rain,0.03,0.006999999999999999,0.0253,0.82,rain,61.89,44.95,48.81,0.84,1022.7,0.6,2,48.81,61.89,41.9029,12.4534
Holy See,,1/25/2020,Overcast throughout the day.,rain,0.06,0.0009,0.0029,0.35,rain,60.47,39.62,44.85,0.82,1020.3,0.65,2,44.61,60.47,41.9029,12.4534
Holy See,,1/26/2020,Clear throughout the day.,clear-day,0.09,0.0002,0.001,0.16,rain,61.45,47.57,42.86,0.81,1020.8,0.2,2,39.62,61.45,41.9029,12.4534
