Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Honduras,,12/31/2019,Overcast throughout the day.,rain,0.19,0.0038,0.0141,0.37,rain,76.33,58.33,65.62,0.88,1015.6,0.88,5,63.04,76.33,15.2,-86.2419
Honduras,,1/1/2020,Mostly cloudy throughout the day.,rain,0.22,0.0086,0.0454,0.44,rain,76.25,58.04,63.51,0.88,1015.2,0.75,5,58.33,76.25,15.2,-86.2419
Honduras,,1/2/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.25,0.0002,0.0008,0.14,rain,81.1,59.65,60.71,0.76,1014.1,0.58,8,57.78,81.1,15.2,-86.2419
Honduras,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.28,0.0001,0.0004,0.07,rain,82.25,59.25,61.61,0.77,1014.6,0.53,8,59.65,82.25,15.2,-86.2419
Honduras,,1/4/2020,Possible light rain overnight.,rain,0.31,0.0022,0.006999999999999999,0.27,rain,80.37,64.74,62.77,0.81,1019.1,0.62,8,59.32,80.37,15.2,-86.2419
Honduras,,1/5/2020,Possible light rain throughout the day.,rain,0.34,0.0275,0.0481,0.73,rain,70.95,60.74,65.68,0.98,1021.6,0.93,5,62.51,70.95,15.2,-86.2419
Honduras,,1/6/2020,Possible light rain throughout the day.,rain,0.37,0.0114,0.0409,0.68,rain,69.01,61.63,63.78,0.97,1019.1,0.97,5,60.74,69.01,15.2,-86.2419
Honduras,,1/7/2020,Mostly cloudy throughout the day.,rain,0.41,0.0086,0.0265,0.6,rain,74.56,61.69,64.53,0.94,1019.0,0.85,6,61.63,74.56,15.2,-86.2419
Honduras,,1/8/2020,Possible light rain in the morning and overnight.,rain,0.44,0.0084,0.0176,0.67,rain,72.19,59.22,64.15,0.95,1020.1,0.82,6,61.69,72.19,15.2,-86.2419
Honduras,,1/9/2020,Possible light rain in the afternoon and evening.,rain,0.48,0.0148,0.0624,0.68,rain,73.77,62.46,65.06,0.95,1017.7,0.64,6,59.31,73.77,15.2,-86.2419
Honduras,,1/10/2020,Mostly cloudy throughout the day.,rain,0.51,0.0069,0.0175,0.52,rain,77.32,63.57,65.43,0.91,1014.8,0.55,6,62.41,77.32,15.2,-86.2419
Honduras,,1/11/2020,Partly cloudy throughout the day.,rain,0.55,0.0037,0.0066,0.48,rain,78.1,61.56,65.71,0.89,1015.2,0.41,8,63.57,78.1,15.2,-86.2419
Honduras,,1/12/2020,Partly cloudy throughout the day.,rain,0.59,0.0039,0.0225,0.31,rain,80.36,61.33,64.02,0.84,1016.2,0.52,7,61.66,80.36,15.2,-86.2419
Honduras,,1/13/2020,Mostly cloudy throughout the day.,rain,0.62,0.0064,0.0189,0.64,rain,78.72,62.23,64.91,0.88,1017.0,0.56,6,61.41,78.72,15.2,-86.2419
Honduras,,1/14/2020,Possible light rain until evening.,rain,0.66,0.0153,0.0458,0.74,rain,77.3,59.87,65.28,0.9,1016.9,0.59,7,62.3,77.3,15.2,-86.2419
