Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Hungary,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.12,snow,42.94,24.13,27.95,0.8,1033.1,0.07,1,26.83,42.94,47.1625,19.5033
Hungary,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.16,snow,39.45,24.5,25.01,0.81,1033.2,0.2,1,24.13,39.45,47.1625,19.5033
Hungary,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0002,0.0007,0.07,snow,35.42,26.72,23.95,0.82,1029.3,0.04,1,24.5,35.42,47.1625,19.5033
Hungary,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.3,0.0002,0.0004,0.19,snow,44.15,33.8,29.0,0.79,1023.4,0.76,1,26.72,44.15,47.1625,19.5033
Hungary,,1/4/2020,Windy in the morning.,wind,0.33,0.0001,0.0003,0.1,rain,41.61,23.52,25.05,0.64,1027.0,0.15,1,29.4,41.61,47.1625,19.5033
Hungary,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,37.36,22.54,18.82,0.64,1033.3,0.11,1,22.4,37.36,47.1625,19.5033
Hungary,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.05,snow,37.0,21.07,18.54,0.65,1030.4,0.07,1,22.54,37.0,47.1625,19.5033
Hungary,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0001,0.0005,0.02,snow,33.72,22.32,18.54,0.69,1033.3,0.05,1,21.07,33.72,47.1625,19.5033
Hungary,,1/8/2020,Overcast throughout the day.,cloudy,0.47,0.0003,0.0022,0.05,snow,37.71,24.46,26.11,0.81,1029.6,0.93,1,22.32,37.71,47.1625,19.5033
Hungary,,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.04,snow,38.86,25.81,24.0,0.77,1024.2,0.7,1,24.3,38.86,47.1625,19.5033
