Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
India,,12/31/2019,Possible light rain overnight.,rain,0.2,0.0142,0.0457,0.7,rain,72.76,60.06,59.45,0.85,1016.2,0.31,5,58.13,72.76,21.0,78.0
India,,1/1/2020,Light rain overnight and in the morning.,rain,0.23,0.0112,0.0669,0.84,rain,69.67,59.7,59.61,0.87,1017.7,0.55,4,60.06,69.67,21.0,78.0
India,,1/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.26,0.0009,0.0069,0.21,rain,76.69,60.1,60.62,0.82,1016.3,0.66,5,59.57,76.69,21.0,78.0
India,,1/3/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.29,0.0003,0.0009,0.13,rain,77.46,55.97,59.25,0.77,1015.2,0.68,5,60.15,77.46,21.0,78.0
India,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.05,rain,77.1,52.19,49.01,0.6,1016.8,0.01,7,56.33,77.1,21.0,78.0
India,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0002,0.01,,79.01,55.27,48.45,0.58,1018.2,0.0,7,52.19,79.01,21.0,78.0
India,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.05,rain,82.41,63.33,53.07,0.61,1016.1,0.17,7,55.27,82.41,21.0,78.0
India,,1/7/2020,Light rain in the morning.,rain,0.42,0.0148,0.0647,0.79,rain,79.63,61.87,63.18,0.79,1013.3,0.7,5,63.33,79.63,21.0,78.0
India,,1/8/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.46,0.0004,0.0021,0.09,rain,78.77,50.46,56.26,0.65,1015.0,0.54,5,61.87,78.77,21.0,78.0
India,,1/9/2020,Clear throughout the day.,clear-day,0.49,0.0001,0.0003,0.02,rain,77.67,46.31,45.06,0.52,1017.7,0.1,7,53.11,77.67,21.0,78.0
India,,1/10/2020,Clear throughout the day.,clear-day,0.53,0.0001,0.0003,0.02,rain,77.99,49.17,39.78,0.5,1018.3,0.01,8,46.38,77.99,21.0,78.0
India,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0001,0.0003,0.02,rain,81.03,53.76,44.49,0.51,1016.5,0.0,7,49.17,81.03,21.0,78.0
India,,1/12/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0003,0.02,rain,84.56,56.92,42.98,0.45,1013.1,0.0,7,53.76,84.56,21.0,78.0
India,,1/13/2020,Partly cloudy throughout the day.,clear-day,0.64,0.0,0.0,0.0,,86.1,62.32,44.99,0.41,1012.9,0.21,6,56.92,86.1,21.0,78.0
India,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.68,0.0002,0.0034,0.08,rain,86.32,63.09,56.72,0.58,1013.2,0.42,6,62.32,86.32,21.0,78.0
India,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.72,0.0003,0.0033,0.18,rain,82.35,62.25,59.34,0.65,1013.0,0.61,6,63.09,82.35,21.0,78.0
India,,1/16/2020,Clear throughout the day.,partly-cloudy-day,0.75,0.0001,0.0004,0.04,rain,82.33,58.41,51.17,0.5,1014.2,0.47,7,62.25,82.33,21.0,78.0
India,,1/17/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.79,0.0002,0.002,0.06,rain,84.22,61.31,57.49,0.64,1015.0,0.38,6,58.41,84.22,21.0,78.0
India,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.82,0.0001,0.0012,0.03,rain,83.04,58.77,59.84,0.7,1015.7,0.38,6,61.31,83.04,21.0,78.0
India,,1/19/2020,Clear throughout the day.,clear-day,0.86,0.0001,0.0002,0.03,rain,83.4,58.65,55.24,0.62,1016.4,0.15,6,58.77,83.4,21.0,78.0
India,,1/20/2020,Clear throughout the day.,clear-day,0.89,0.0001,0.0002,0.04,rain,86.35,64.68,59.34,0.66,1016.3,0.21,7,58.65,86.35,21.0,78.0
India,,1/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.93,0.0005,0.0036,0.12,rain,88.36,64.79,62.53,0.67,1016.8,0.63,6,64.68,88.36,21.0,78.0
India,,1/22/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.96,0.0006,0.0022,0.12,rain,87.24,61.98,61.16,0.64,1016.4,0.68,6,64.79,87.24,21.0,78.0
India,,1/23/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.99,0.0,0.0002,0.02,,86.96,63.11,57.07,0.58,1016.1,0.36,7,61.98,86.96,21.0,78.0
India,,1/24/2020,Clear throughout the day.,clear-day,0.02,0.0,0.0002,0.03,,87.25,59.02,56.23,0.56,1014.8,0.29,7,63.11,87.25,21.0,78.0
India,,1/25/2020,Clear throughout the day.,clear-day,0.05,0.0001,0.0003,0.05,rain,89.0,59.42,51.73,0.51,1014.0,0.0,8,59.02,89.0,21.0,78.0
India,,1/26/2020,Clear throughout the day.,clear-day,0.09,0.0009,0.0074,0.09,rain,87.94,63.9,52.11,0.5,1011.6,0.07,8,59.42,87.94,21.0,78.0
India,,1/27/2020,Clear throughout the day.,clear-day,0.12,0.0003,0.0058,0.09,rain,86.99,61.11,52.72,0.51,1010.7,0.27,7,63.9,86.99,21.0,78.0
India,,1/28/2020,Clear throughout the day.,clear-day,0.15,0.0002,0.0003,0.09,rain,84.93,57.32,54.79,0.58,1014.8,0.07,8,61.11,84.93,21.0,78.0
India,,1/29/2020,Clear throughout the day.,clear-day,0.18,0.0001,0.0003,0.03,rain,83.65,53.81,49.45,0.53,1015.7,0.0,9,57.32,83.65,21.0,78.0
India,,1/30/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.01,rain,84.15,55.95,45.9,0.47,1014.4,0.0,9,53.81,84.15,21.0,78.0
India,,1/31/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.07,rain,81.07,56.88,49.28,0.53,1015.3,0.53,6,55.95,81.07,21.0,78.0
India,,2/1/2020,Partly cloudy throughout the day.,clear-day,0.27,0.0001,0.0003,0.05,rain,82.43,58.62,47.71,0.48,1017.3,0.29,7,56.88,82.43,21.0,78.0
