Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Indonesia,,12/31/2019,"Rain until morning, starting again in the evening.",rain,0.2,0.0222,0.1542,0.92,rain,89.31,71.76,74.9,0.88,1011.6,0.97,6,71.85,89.31,-0.7893,113.9213
Indonesia,,1/1/2020,Rain in the morning and overnight.,rain,0.23,0.0327,0.191,0.93,rain,87.56,72.42,75.46,0.92,1012.7,0.97,7,71.76,87.56,-0.7893,113.9213
Indonesia,,1/2/2020,Rain until evening.,rain,0.26,0.0462,0.2011,0.97,rain,82.56,71.77,76.19,0.99,1011.2,0.92,8,72.42,82.56,-0.7893,113.9213
Indonesia,,1/3/2020,Humid and mostly cloudy throughout the day.,rain,0.29,0.0025,0.0145,0.5,rain,90.38,72.33,74.3,0.86,1008.8,0.88,7,71.77,90.38,-0.7893,113.9213
Indonesia,,1/4/2020,Possible drizzle in the morning.,rain,0.32,0.0022,0.0065,0.66,rain,84.51,73.11,75.33,0.94,1009.5,0.92,6,72.33,84.51,-0.7893,113.9213
Indonesia,,1/5/2020,Possible light rain overnight.,rain,0.35,0.0011,0.0048,0.47,rain,89.3,71.68,75.31,0.88,1009.9,0.86,7,72.92,89.3,-0.7893,113.9213
Indonesia,,1/6/2020,Light rain in the morning and overnight.,rain,0.39,0.0104,0.0336,0.83,rain,91.12,72.7,74.06,0.84,1009.4,0.91,6,71.72,91.12,-0.7893,113.9213
Indonesia,,1/7/2020,Humid and overcast throughout the day.,rain,0.42,0.0041,0.0269,0.64,rain,89.93,73.61,73.83,0.82,1009.0,1.0,6,72.7,89.93,-0.7893,113.9213
Indonesia,,1/8/2020,"Light rain until morning, starting again in the evening.",rain,0.46,0.0057,0.0221,0.81,rain,88.92,73.01,75.16,0.87,1008.4,0.9,7,73.61,88.92,-0.7893,113.9213
Indonesia,,1/9/2020,"Light rain until morning, starting again in the evening.",rain,0.49,0.0189,0.0928,0.93,rain,87.51,71.82,74.83,0.89,1008.5,0.99,6,72.46,87.51,-0.7893,113.9213
Indonesia,,1/10/2020,"Rain until morning, starting again in the evening.",rain,0.53,0.0119,0.0862,0.96,rain,83.36,71.22,74.07,0.94,1009.6,1.0,6,71.82,83.36,-0.7893,113.9213
Indonesia,,1/11/2020,Rain in the morning and overnight.,rain,0.57,0.0374,0.2274,0.97,rain,87.25,71.03,73.26,0.88,1009.4,0.97,6,71.25,87.25,-0.7893,113.9213
Indonesia,,1/12/2020,Humid and partly cloudy throughout the day.,rain,0.6,0.0004,0.004,0.47,rain,94.31,72.56,71.93,0.76,1008.0,0.61,13,71.03,94.31,-0.7893,113.9213
Indonesia,,1/13/2020,"Light rain until morning, starting again in the evening.",rain,0.64,0.0065,0.0242,0.81,rain,91.43,72.38,75.52,0.86,1009.2,0.87,6,72.56,91.43,-0.7893,113.9213
Indonesia,,1/14/2020,"Light rain until morning, starting again in the evening.",rain,0.68,0.0179,0.0618,0.97,rain,85.46,72.03,75.34,0.93,1010.4,0.95,7,72.04,85.46,-0.7893,113.9213
Indonesia,,1/15/2020,Light rain and humid throughout the day.,rain,0.71,0.0104,0.0249,0.95,rain,86.16,72.65,76.27,0.94,1010.7,0.86,8,72.03,86.16,-0.7893,113.9213
Indonesia,,1/16/2020,Possible light rain in the afternoon.,rain,0.75,0.0059,0.0365,0.89,rain,89.4,72.17,76.35,0.89,1010.7,0.63,9,72.65,89.4,-0.7893,113.9213
Indonesia,,1/17/2020,Light rain starting in the afternoon.,rain,0.79,0.0223,0.0702,0.95,rain,90.08,72.65,76.3,0.89,1010.6,0.84,8,72.17,90.08,-0.7893,113.9213
