Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Iran,,12/31/2019,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.02,rain,57.8,30.42,23.43,0.49,1012.9,0.76,3,34.41,57.8,32.0,53.0
Iran,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.05,rain,55.41,31.2,16.13,0.38,1017.2,0.62,3,30.42,55.41,32.0,53.0
Iran,,1/2/2020,Clear throughout the day.,partly-cloudy-day,0.27,0.0,0.0002,0.01,,58.72,33.83,16.66,0.37,1019.4,0.37,4,31.2,58.72,32.0,53.0
Iran,,1/3/2020,Possible light rain in the evening.,rain,0.3,0.0046,0.0298,0.47,rain,55.12,32.97,29.96,0.6,1013.9,0.66,3,33.83,55.12,32.0,53.0
Iran,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0004,0.07,rain,55.53,27.28,18.69,0.47,1011.1,0.22,3,32.97,55.53,32.0,53.0
Iran,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,51.79,27.68,14.78,0.39,1020.0,0.0,3,29.41,51.79,32.0,53.0
Iran,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.05,snow,51.91,28.74,16.5,0.43,1024.0,0.0,4,27.68,51.91,32.0,53.0
Iran,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.02,,55.72,37.72,14.55,0.37,1019.1,0.0,4,28.74,55.72,32.0,53.0
Iran,,1/8/2020,Clear throughout the day.,clear-day,0.46,0.0008,0.0093,0.07,rain,58.63,36.41,22.61,0.41,1012.4,0.12,3,37.72,58.63,32.0,53.0
Iran,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0006,0.0029,0.13,rain,56.64,32.3,27.72,0.56,1011.7,0.3,3,34.26,56.64,32.0,53.0
Iran,,1/10/2020,Possible light snow (< 1 in.) in the afternoon.,snow,0.53,0.0033,0.0137,0.49,snow,37.64,26.19,26.76,0.74,1013.7,0.86,2,29.53,37.64,32.0,53.0
Iran,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0002,0.0008,0.03,snow,46.13,27.76,17.17,0.55,1020.5,0.27,4,26.19,46.13,32.0,53.0
Iran,,1/12/2020,Mostly cloudy throughout the day.,cloudy,0.61,0.0004,0.0036,0.03,snow,49.94,28.85,13.21,0.41,1018.1,0.88,2,23.36,49.94,32.0,53.0
Iran,,1/13/2020,Overcast throughout the day.,partly-cloudy-day,0.65,0.0014,0.0095,0.1,snow,41.73,24.34,23.25,0.66,1023.1,0.77,2,28.57,41.73,32.0,53.0
Iran,,1/14/2020,Clear throughout the day.,clear-day,0.68,0.0,0.0001,0.02,,46.5,26.33,20.08,0.6,1030.5,0.11,3,24.34,46.5,32.0,53.0
Iran,,1/15/2020,Clear throughout the day.,partly-cloudy-day,0.72,0.0001,0.0002,0.03,rain,49.58,27.89,19.7,0.52,1029.1,0.44,3,26.33,49.58,32.0,53.0
Iran,,1/16/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.03,snow,52.9,40.21,20.31,0.5,1026.2,0.45,3,27.89,52.9,32.0,53.0
Iran,,1/17/2020,Windy in the morning.,wind,0.79,0.0001,0.0002,0.03,rain,62.32,38.06,25.78,0.41,1015.6,0.43,3,40.24,62.32,32.0,53.0
Iran,,1/18/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0,0.0,,60.49,30.9,24.93,0.44,1015.2,0.05,4,38.06,60.49,32.0,53.0
Iran,,1/19/2020,Clear throughout the day.,clear-day,0.86,0.0001,0.0002,0.02,rain,52.28,29.46,24.28,0.56,1020.9,0.05,4,30.9,52.28,32.0,53.0
Iran,,1/20/2020,Clear throughout the day.,clear-day,0.9,0.0001,0.0002,0.05,snow,52.73,29.82,24.86,0.58,1018.8,0.09,4,29.46,52.73,32.0,53.0
Iran,,1/21/2020,Partly cloudy throughout the day.,rain,0.93,0.002,0.013999999999999999,0.26,rain,54.73,39.95,25.99,0.56,1018.0,0.55,4,29.82,54.73,32.0,53.0
Iran,,1/22/2020,Clear throughout the day.,rain,0.96,0.0041,0.0224,0.36,rain,57.65,26.27,18.38,0.46,1014.0,0.32,4,33.17,57.65,32.0,53.0
Iran,,1/23/2020,Clear throughout the day.,clear-day,0.99,0.0,0.0002,0.01,,51.98,26.88,1.39,0.22,1018.3,0.0,4,26.27,51.98,32.0,53.0
Iran,,1/24/2020,Clear throughout the day.,clear-day,0.03,0.0,0.0002,0.02,,48.73,29.23,9.34,0.33,1020.8,0.05,4,26.88,48.73,32.0,53.0
Iran,,1/25/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.06,0.0002,0.0007,0.09,snow,47.57,25.07,19.21,0.52,1022.4,0.43,4,29.23,47.57,32.0,53.0
Iran,,1/26/2020,Clear throughout the day.,clear-day,0.09,0.0001,0.0004,0.04,snow,51.72,24.67,15.94,0.47,1023.9,0.0,5,25.07,51.72,32.0,53.0
Iran,,1/27/2020,Clear throughout the day.,clear-day,0.12,0.0,0.0,0.0,,51.84,26.03,12.93,0.43,1024.8,0.0,5,24.67,51.84,32.0,53.0
Iran,,1/28/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.15,0.0002,0.0003,0.01,rain,54.37,31.79,10.19,0.32,1020.1,0.43,3,26.03,54.37,32.0,53.0
Iran,,1/29/2020,Clear throughout the day.,clear-day,0.18,0.0001,0.0003,0.02,snow,53.87,26.13,14.05,0.34,1019.8,0.2,4,31.79,53.87,32.0,53.0
Iran,,1/30/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.02,rain,58.44,32.12,12.25,0.36,1018.4,0.0,4,26.13,58.44,32.0,53.0
Iran,,1/31/2020,Windy in the afternoon.,wind,0.24,0.0001,0.0003,0.02,rain,61.17,36.23,14.41,0.32,1013.5,0.0,4,32.12,61.17,32.0,53.0
Iran,,2/1/2020,Partly cloudy throughout the day.,clear-day,0.27,0.0001,0.0003,0.03,rain,53.74,24.08,10.02,0.3,1015.8,0.23,4,31.66,53.74,32.0,53.0
