Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Iraq,,12/31/2019,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.04,rain,66.58,45.58,41.99,0.64,1017.6,0.63,3,46.4,66.58,33.0,44.0
Iraq,,1/1/2020,Overcast throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.05,rain,66.16,48.72,40.55,0.6,1018.9,0.68,2,45.58,66.16,33.0,44.0
Iraq,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0003,0.02,,69.78,47.95,40.46,0.54,1018.2,0.05,3,48.72,69.78,33.0,44.0
Iraq,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0001,0.0003,0.08,rain,65.06,43.6,41.54,0.62,1015.2,0.11,3,47.26,65.06,33.0,44.0
Iraq,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.06,rain,64.3,45.74,39.91,0.63,1015.5,0.06,3,45.14,64.3,33.0,44.0
Iraq,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,68.45,45.84,41.29,0.61,1020.3,0.18,3,45.74,68.45,33.0,44.0
Iraq,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.04,rain,68.57,48.42,38.96,0.56,1020.8,0.0,3,45.84,68.57,33.0,44.0
Iraq,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.0015,0.0121,0.11,rain,65.79,44.48,39.32,0.54,1013.3,0.32,3,48.43,65.79,33.0,44.0
Iraq,,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.46,0.0011,0.0104,0.17,rain,63.54,51.23,37.78,0.56,1014.1,0.5,2,44.48,63.54,33.0,44.0
Iraq,,1/9/2020,Mostly cloudy throughout the day.,rain,0.5,0.0004,0.0026,0.26,rain,62.64,45.49,42.22,0.61,1012.9,0.8,2,49.81,62.64,33.0,44.0
Iraq,,1/10/2020,Clear throughout the day.,clear-day,0.53,0.0001,0.0003,0.07,rain,63.54,44.33,40.23,0.63,1016.0,0.14,3,45.49,63.54,33.0,44.0
Iraq,,1/11/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.57,0.0001,0.0003,0.04,rain,63.61,43.85,33.95,0.52,1021.5,0.43,3,44.33,63.61,33.0,44.0
Iraq,,1/12/2020,Possible light rain in the evening.,rain,0.61,0.0023,0.0166,0.49,rain,64.36,40.63,39.52,0.63,1019.0,0.74,2,43.85,64.36,33.0,44.0
Iraq,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0001,0.01,,62.52,40.19,35.87,0.62,1023.6,0.01,3,40.63,62.52,33.0,44.0
Iraq,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.68,0.0,0.0001,0.02,,62.36,42.28,33.42,0.54,1026.0,0.41,3,40.19,62.36,33.0,44.0
Iraq,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0003,0.07,rain,66.16,46.63,31.65,0.48,1025.1,0.57,3,42.28,66.16,33.0,44.0
Iraq,,1/16/2020,Clear throughout the day.,partly-cloudy-day,0.76,0.0012,0.0085,0.17,rain,73.59,45.81,34.04,0.42,1015.4,0.57,3,46.63,73.59,33.0,44.0
Iraq,,1/17/2020,Clear throughout the day.,clear-day,0.79,0.0,0.0002,0.05,,65.5,45.62,41.27,0.61,1014.0,0.09,3,45.81,65.5,33.0,44.0
Iraq,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.83,0.0002,0.0016,0.17,rain,63.62,48.27,43.48,0.68,1018.8,0.47,3,45.62,63.62,33.0,44.0
Iraq,,1/19/2020,Possible light rain overnight.,clear-day,0.86,0.0002,0.003,0.12,rain,67.55,47.16,44.52,0.66,1021.8,0.27,3,48.27,67.55,33.0,44.0
Iraq,,1/20/2020,Light rain starting in the afternoon.,rain,0.9,0.0115,0.0523,0.93,rain,63.0,47.99,45.81,0.75,1017.0,0.62,2,47.16,63.0,33.0,44.0
Iraq,,1/21/2020,Light rain throughout the day.,rain,0.93,0.0241,0.0617,0.99,rain,52.29,45.91,45.69,0.86,1013.9,0.9,2,47.97,52.29,33.0,44.0
Iraq,,1/22/2020,Clear throughout the day.,rain,0.96,0.0016,0.0097,0.5,rain,57.52,42.74,41.96,0.73,1019.0,0.34,3,45.91,57.52,33.0,44.0
Iraq,,1/23/2020,Rain in the evening and overnight.,rain,1.0,0.0165,0.1176,0.85,rain,60.36,44.12,40.09,0.68,1016.3,0.55,2,42.74,60.36,33.0,44.0
Iraq,,1/24/2020,Partly cloudy throughout the day.,rain,0.03,0.004,0.0535,0.67,rain,55.52,44.18,40.94,0.75,1021.3,0.65,3,44.12,55.52,33.0,44.0
Iraq,,1/25/2020,Clear throughout the day.,clear-day,0.06,0.0001,0.0003,0.05,rain,59.27,40.18,38.25,0.65,1026.0,0.0,4,44.18,59.27,33.0,44.0
Iraq,,1/26/2020,Clear throughout the day.,clear-day,0.09,0.0001,0.0004,0.04,rain,63.41,42.3,40.0,0.7,1025.0,0.08,4,40.18,63.41,33.0,44.0
Iraq,,1/27/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.12,0.0,0.0002,0.02,,64.5,48.06,41.59,0.68,1021.5,0.8,3,42.3,64.5,33.0,44.0
Iraq,,1/28/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.15,0.0004,0.0017,0.11,rain,66.84,44.02,40.92,0.59,1017.6,0.64,2,48.06,66.84,33.0,44.0
Iraq,,1/29/2020,Clear throughout the day.,clear-day,0.18,0.0001,0.0003,0.05,rain,67.28,45.28,40.6,0.62,1021.7,0.0,3,44.02,67.28,33.0,44.0
Iraq,,1/30/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.05,rain,70.99,47.73,40.44,0.56,1015.1,0.1,3,45.28,70.99,33.0,44.0
