Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Ireland,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0005,0.21,rain,45.52,43.94,38.83,0.9,1024.7,0.71,0,36.03,45.52,53.1424,-7.6921
Ireland,,1/2/2020,Light rain starting in the afternoon.,rain,0.24,0.0049,0.0257,0.7,rain,53.89,37.84,46.13,0.89,1008.2,0.94,0,45.14,53.89,53.1424,-7.6921
Ireland,,1/3/2020,Clear throughout the day.,rain,0.27,0.0002,0.0047,0.3,rain,47.91,40.2,37.13,0.84,1025.6,0.42,0,37.59,47.91,53.1424,-7.6921
Ireland,,1/4/2020,Overcast throughout the day.,cloudy,0.3,0.0003,0.0006,0.19,rain,48.06,44.54,40.8,0.87,1032.3,0.88,0,41.09,48.06,53.1424,-7.6921
Ireland,,1/5/2020,Windy overnight.,rain,0.33,0.0021,0.006999999999999999,0.33,rain,53.0,45.63,44.69,0.88,1025.2,0.78,0,45.17,53.0,53.1424,-7.6921
Ireland,,1/6/2020,Light rain in the morning.,rain,0.36,0.0092,0.0712,0.91,rain,50.14,41.55,41.94,0.84,1011.9,0.65,0,41.89,50.14,53.1424,-7.6921
Ireland,,1/7/2020,Light rain in the morning and afternoon.,rain,0.4,0.0055,0.0289,0.77,rain,56.89,40.9,47.64,0.88,1009.8,0.91,0,41.57,56.89,53.1424,-7.6921
Ireland,,1/8/2020,Light rain in the evening and overnight.,rain,0.43,0.0043,0.0591,0.73,rain,48.2,33.64,38.58,0.84,1017.7,0.85,0,39.34,48.2,53.1424,-7.6921
Ireland,,1/9/2020,Possible light rain in the morning.,rain,0.47,0.0177,0.0921,0.87,rain,42.41,32.81,34.12,0.89,1007.0,0.83,0,33.64,42.41,53.1424,-7.6921
Ireland,,1/10/2020,Possible light rain and dangerously windy starting in the afternoon.,rain,0.5,0.002,0.0159,0.68,rain,47.69,46.7,36.84,0.86,1019.4,0.6,0,32.81,49.73,53.1424,-7.6921
Ireland,,1/11/2020,Light rain throughout the day.,rain,0.54,0.0179,0.0704,0.96,rain,54.21,40.31,46.8,0.91,1010.1,0.94,1,42.22,54.21,53.1424,-7.6921
Ireland,,1/12/2020,Light rain in the morning.,rain,0.58,0.0052,0.0291,0.87,rain,46.42,37.56,38.45,0.88,1013.3,0.64,0,38.11,46.42,53.1424,-7.6921
Ireland,,1/13/2020,Light rain until evening.,rain,0.61,0.0141,0.077,0.86,rain,48.32,36.46,37.99,0.82,990.7,0.65,0,37.82,48.32,53.1424,-7.6921
Ireland,,1/14/2020,Possible drizzle in the morning.,rain,0.65,0.0023,0.0087,0.62,rain,44.51,35.87,34.68,0.84,985.8,0.77,0,36.46,44.51,53.1424,-7.6921
Ireland,,1/15/2020,Possible drizzle overnight.,rain,0.69,0.0006,0.0028,0.36,rain,47.87,38.2,34.44,0.8,997.4,0.29,0,35.87,47.87,53.1424,-7.6921
Ireland,,1/16/2020,Light rain in the morning and afternoon.,rain,0.72,0.0091,0.0448,0.77,rain,53.15,33.67,41.81,0.85,997.6,0.88,0,38.69,53.15,53.1424,-7.6921
Ireland,,1/17/2020,Partly cloudy throughout the day.,rain,0.76,0.0012,0.0076,0.35,rain,45.6,26.8,33.47,0.84,1011.1,0.43,0,33.6,45.6,53.1424,-7.6921
